time,abs_time,angle,is_rotating,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
11340.651185,1619096991.454285,185.0024,0,237.099,3.73723e-05,-75.024,9.65754109194164e-06,-3.6102918266359836e-05,1,313.098,2.89493e-05,-7.524,2.8700049413609695e-05,-3.7906640772247034e-06,1,237.1,1.95691e-05,-41.22,1.4719582251901303e-05,-1.289509880301474e-05,5.0,1,313.1,3.97044e-05,79.098,7.509282042856335e-06,3.898781941274525e-05,5.0,1,39.795,49.176,3.521,3.772,3.607,3.782,8.313,3.596,2.27306,3.00047,4102.5,0.4,9.1,2.273,3.0,15.9707,15.9707,0.009951837360858917,15.757542757417102
11340.84712,1619096991.65022,185.0024,0,237.099,3.73779e-05,-75.024,9.658988212673167e-06,-3.610832805763015e-05,1,313.098,2.89493e-05,-7.524,2.8700049413609695e-05,-3.7906640772247034e-06,1,237.1,1.95691e-05,-41.22,1.4719582251901303e-05,-1.289509880301474e-05,5.0,1,313.1,3.97062e-05,79.098,7.5096224763517955e-06,3.898958692654581e-05,5.0,1,39.795,49.176,3.6,3.772,3.607,3.782,8.279,3.596,2.27292,3.0002,4102.7,0.4,9.1,2.273,3.0,15.9707,15.9707,0.009557784534990788,15.758101221640487
11341.043057,1619096991.846157,185.0024,0,237.099,3.73817e-05,-75.03,9.656188494804633e-06,-3.6113010379125176e-05,1,313.098,2.89493e-05,-7.524,2.8700049413609695e-05,-3.7906640772247034e-06,1,237.1,1.95691e-05,-41.22,1.4719582251901303e-05,-1.289509880301474e-05,5.0,1,313.1,3.97081e-05,79.098,7.509981822819225e-06,3.899145263555751e-05,5.0,1,39.786,49.176,3.6,3.802,3.607,3.782,8.279,3.596,2.27299,3.00042,4102.8,0.4,9.1,2.273,3.0,15.9707,15.9707,0.009951837360858917,15.758380453752181
11341.242993,1619096992.046093,185.0024,0,237.099,3.73835e-05,-75.03,9.656653458658353e-06,-3.611474928930535e-05,1,313.098,2.89493e-05,-7.518,2.870044621365725e-05,-3.7876585942990387e-06,1,237.1,1.95691e-05,-41.214,1.472093254277859e-05,-1.2893557301263382e-05,5.0,1,313.1,3.97118e-05,79.104,7.506598005765694e-06,3.899587216129208e-05,5.0,1,39.786,49.183,3.673,3.785,3.607,3.782,8.242,3.596,2.27308,3.00034,4103.0,0.4,9.0,2.273,3.0,15.9707,15.9707,0.009951837360858917,15.758938917975566
11341.656861,1619096992.459961,185.0024,0,237.099,3.73947e-05,-75.036,9.655763453366481e-06,-3.612658052213955e-05,1,313.098,2.89475e-05,-7.518,2.8698661686805664e-05,-3.787423086515785e-06,1,237.1,1.95691e-05,-41.22,1.4719582251901303e-05,-1.289509880301474e-05,5.0,1,313.1,3.97156e-05,79.098,7.511400295716976e-06,3.8998817276393176e-05,5.0,1,39.783,49.185,3.673,3.785,3.607,3.781,8.242,3.596,2.27292,3.00017,4103.0,0.4,9.1,2.273,3.0,15.9707,15.9707,0.009951837360858917,15.758938917975566
11341.96676,1619096992.76986,185.0024,0,237.099,3.73984e-05,-75.036,9.656718838080823e-06,-3.613015504868827e-05,1,313.098,2.89475e-05,-7.512,2.869905814746507e-05,-3.7844177489303036e-06,1,237.1,1.95691e-05,-41.22,1.4719582251901303e-05,-1.289509880301474e-05,5.0,1,313.1,3.97193e-05,79.098,7.512100075679865e-06,3.9002450499205435e-05,5.0,1,39.783,49.185,3.711,3.684,3.607,3.781,8.199,3.596,2.27296,3.0,4103.2,0.4,9.1,2.273,3.0,15.9707,15.9707,0.009951837360858917,15.759496658588047
11342.167696,1619096992.970796,185.0024,0,237.099,3.74003e-05,-75.042,9.653425654888253e-06,-3.613300171886562e-05,1,313.098,2.89456e-05,-7.512,2.8697174454210724e-05,-3.7841693546398475e-06,1,237.1,1.95709e-05,-41.22,1.4720936184788018e-05,-1.289628491672694e-05,5.0,1,313.1,3.9723e-05,79.098,7.512799855642755e-06,3.90060837220177e-05,5.0,1,39.8,49.185,3.711,3.684,3.606,3.781,8.199,3.596,2.2728,3.00009,4103.2,0.4,9.1,2.273,3.0,15.9702,15.9702,0.009951837360858917,15.759496658588047
11342.575565,1619096993.378665,185.0024,0,237.099,3.74096e-05,-75.054,9.648256314706569e-06,-3.614400810986138e-05,1,313.098,2.89456e-05,-7.506,2.8697570574148282e-05,-3.7811641728148384e-06,1,237.1,1.95709e-05,-41.22,1.4720936184788018e-05,-1.289628491672694e-05,5.0,1,313.1,3.97267e-05,79.086,7.521669646767924e-06,3.900814246557877e-05,5.0,1,39.792,49.178,3.664,3.596,3.605,3.781,8.153,3.596,2.27289,3.0002,4103.4,0.4,9.1,2.273,3.0,15.9702,15.9702,0.009163730777800083,15.760054399200524
11342.866472,1619096993.669572,185.0024,0,237.099,3.74133e-05,-75.06,9.645425157469089e-06,-3.614859320114218e-05,1,313.098,2.89456e-05,-7.506,2.8697570574148282e-05,-3.7811641728148384e-06,1,237.1,1.95709e-05,-41.226,1.4719585608275487e-05,-1.2897826418844731e-05,5.0,1,313.1,3.97286e-05,79.086,7.522029383980651e-06,3.901000809928821e-05,5.0,1,39.792,49.178,3.537,3.596,3.605,3.781,8.106,3.596,2.2727,3.00025,4103.5,0.4,9.1,2.273,3.0,15.9702,15.9702,0.009557784534990788,15.760333269506766
11343.06241,1619096993.86551,185.0024,0,237.099,3.74152e-05,-75.066,9.642129274554315e-06,-3.615143889380868e-05,1,313.098,2.89456e-05,-7.5,2.8697966379381767e-05,-3.7781589495247248e-06,1,237.1,1.95709e-05,-41.226,1.4719585608275487e-05,-1.2897826418844731e-05,5.0,1,313.1,3.97323e-05,79.086,7.522729924868594e-06,3.901364117545921e-05,5.0,1,39.788,49.178,3.537,3.598,3.605,3.781,8.106,3.596,2.27286,3.00047,4103.5,0.4,9.1,2.273,3.0,15.9702,15.9702,0.009951837360858917,15.760333269506766
11343.258346,1619096994.061446,185.0024,0,237.099,3.7417e-05,-75.072,9.638807140905344e-06,-3.6154187667550106e-05,1,313.098,2.89438e-05,-7.5,2.8696181778631292e-05,-3.7779240023787287e-06,1,237.1,1.95709e-05,-41.232,1.4718234870344643e-05,-1.2899367779522026e-05,5.0,1,313.1,3.9736e-05,79.074,7.53160205949964e-06,3.901569769230509e-05,5.0,1,39.788,49.179,3.494,3.598,3.605,3.781,8.054,3.596,2.27286,3.00038,4103.4,0.4,9.1,2.273,3.0,15.9702,15.9702,0.009557784534990788,15.760054399200524
11343.648222,1619096994.451322,185.0024,0,237.099,3.74189e-05,-75.072,9.639296590448809e-06,-3.615602354312988e-05,1,313.098,2.89438e-05,-7.494,2.8696577244562535e-05,-3.774918924540707e-06,1,237.1,1.95709e-05,-41.232,1.4718234870344643e-05,-1.2899367779522026e-05,5.0,1,313.1,3.97379e-05,79.074,7.531962187441885e-06,3.901756325063042e-05,5.0,1,39.791,49.184,3.494,3.67,3.605,3.781,8.054,3.596,2.27283,3.00023,4103.6,0.4,9.1,2.273,3.0,15.9702,15.9702,0.009951837360858917,15.760612139813006
11343.847157,1619096994.650257,185.0024,0,237.099,3.74189e-05,-75.078,9.635510287670826e-06,-3.615703276965893e-05,1,313.098,2.89438e-05,-7.494,2.8696577244562535e-05,-3.774918924540707e-06,1,237.1,1.95728e-05,-41.238,1.4718312728989989e-05,-1.2902161456579719e-05,5.0,1,313.1,3.97416e-05,79.068,7.536749738022678e-06,3.9020407147368604e-05,5.0,1,39.791,49.184,3.501,3.67,3.605,3.78,8.001,3.596,2.27288,3.00056,4103.7,0.4,9.1,2.273,3.0,15.9718,15.9718,0.009557784534990788,15.760891010119245
11344.051091,1619096994.854191,185.0024,0,237.099,3.74208e-05,-75.084,9.632212944255506e-06,-3.615987757773132e-05,1,313.098,2.89438e-05,-7.494,2.8696577244562535e-05,-3.774918924540707e-06,1,237.1,1.95728e-05,-41.238,1.4718312728989989e-05,-1.2902161456579719e-05,5.0,1,313.1,3.97416e-05,79.068,7.536749738022678e-06,3.9020407147368604e-05,5.0,1,39.789,49.184,3.501,3.74,3.605,3.78,8.001,3.596,2.27271,3.00038,4103.8,0.4,9.1,2.273,3.0,15.9718,15.9718,0.009951837360858917,15.761169880425484
11344.248029,1619096995.051129,185.0024,0,237.099,3.74189e-05,-75.084,9.631723879227659e-06,-3.615804159968175e-05,1,313.098,2.89438e-05,-7.494,2.8696577244562535e-05,-3.774918924540707e-06,1,237.1,1.95728e-05,-41.244,1.471696153710203e-05,-1.2903702683937641e-05,5.0,1,313.1,3.97435e-05,79.062,7.541196422827462e-06,3.9021483169689166e-05,5.0,1,39.789,49.185,3.57,3.74,3.605,3.78,7.946,3.596,2.27304,3.00034,4103.9,0.4,9.1,2.273,3.0,15.9718,15.9718,0.010345919989049435,15.761448750731724
11344.612911,1619096995.416011,185.0024,0,237.099,3.74226e-05,-75.09,9.628889380539443e-06,-3.616262545857719e-05,1,313.098,2.894e-05,-7.494,2.8692809702169024e-05,-3.7744233195436696e-06,1,237.1,1.95747e-05,-41.25,1.471703867945874e-05,-1.2906496526839318e-05,5.0,1,313.1,3.97472e-05,79.062,7.541898485473289e-06,3.902511595209956e-05,5.0,1,39.788,49.185,3.57,3.796,3.604,3.78,7.946,3.596,2.27291,3.00041,4104.0,0.4,9.1,2.273,3.0,15.9718,15.9718,0.01073997188359499,15.761727621037965
11344.892821,1619096995.695921,185.0024,0,237.099,3.74226e-05,-75.096,9.625102386467565e-06,-3.6163633595229565e-05,1,313.098,2.894e-05,-7.5,2.8692414288158073e-05,-3.7774280028482927e-06,1,237.1,1.95747e-05,-41.25,1.471703867945874e-05,-1.2906496526839318e-05,5.0,1,313.1,3.97472e-05,79.062,7.541898485473289e-06,3.902511595209956e-05,5.0,1,39.788,49.186,3.664,3.796,3.604,3.78,7.946,3.596,2.27298,3.00047,4104.0,0.4,9.0,2.273,3.0,15.9718,15.9718,0.009951837360858917,15.761727621037965
