time,abs_time,angle,is_rotating,Freq_272,V_272_R,V_272_theta,V_272_X,V_272_Y,Vout_272,Harm_272,Freq_363,V_363_R,V_363_theta,V_363_X,V_363_Y,Vout_363,Harm_363,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
3.279946,1619022163.76148,185.0024,0,237.1,6.77587e-06,0.714,6.775343885092205e-06,8.443634077618492e-08,1.45,1,313.1,5.60426e-06,0.858,5.6036316386344885e-06,8.39202365020315e-08,1.0,1,38.537,47.403,3.372,3.643,3.561,3.531,5.827,3.41,296.813,299.979,-1.0248,36.6,46.1,296.8,300.0,0,0,0.0074927909299731255,0.0015050764684670888
3.933737,1619022164.415271,185.0024,0,237.1,6.77633e-06,0.69,6.7758386259471e-06,8.160382358274594e-08,1.45,1,313.1,5.60287e-06,0.87,5.602224099759535e-06,8.507275106323888e-08,1.0,1,38.537,47.403,3.462,3.643,3.561,3.531,5.827,3.41,296.752,299.996,-1.0248,45.0,45.7,296.8,300.0,0,0,0.00709837581962347,0.0015032575876417157
4.061696,1619022164.54323,185.0024,0,237.1,6.77633e-06,0.69,6.7758386259471e-06,8.160382358274594e-08,1.45,1,313.1,5.60333e-06,0.888,5.6026570416624535e-06,8.683986647918952e-08,1.0,1,38.537,47.403,3.462,3.643,3.561,3.531,5.827,3.41,296.791,300.004,-1.0248,40.5,45.6,296.8,300.0,0,0,0.007887205109000206,0.0015044204786612166
4.19765,1619022164.679184,185.0024,0,237.1,6.77587e-06,0.696,6.77537007720074e-06,8.230779958693655e-08,1.45,1,313.1,5.60426e-06,0.894,5.6035778038857475e-06,8.744108530304914e-08,1.0,1,38.533,47.403,3.462,3.655,3.561,3.531,5.827,3.41,296.799,300.005,-1.0248,39.7,46.4,296.8,300.0,0,0,0.008281619288027287,0.0015046590204088061
4.311614,1619022164.793148,185.0024,0,237.1,6.77587e-06,0.696,6.77537007720074e-06,8.230779958693655e-08,1.45,1,313.1,5.60473e-06,0.906,5.604029308609191e-06,8.862212561881425e-08,1.0,1,38.533,47.394,3.462,3.655,3.561,3.531,5.827,3.41,296.773,299.999,-1.0248,45.2,46.8,296.8,300.0,0,0,0.0074927909299731255,0.00150388375972914
4.423578,1619022164.905112,185.0024,0,237.1,6.7754e-06,0.696,6.774900111877278e-06,8.230209040629911e-08,1.45,1,313.1,5.60566e-06,0.906,5.604959192342574e-06,8.863683080119154e-08,1.0,1,38.533,47.394,3.462,3.655,3.561,3.531,5.827,3.41,296.767,299.996,-1.0247,42.3,46.4,296.8,300.0,0,0,0.005126262549310923,0.0015041492857688996
4.540541,1619022165.022075,185.0024,0,237.1,6.77494e-06,0.69,6.774448726740588e-06,8.158708453450302e-08,1.45,1,313.1,5.60613e-06,0.9,5.605438385654412e-06,8.805726280131725e-08,1.0,1,38.533,47.394,3.488,3.655,3.561,3.531,5.826,3.41,296.766,300.006,-1.0247,41.4,45.3,296.8,300.0,0,0,0.007887205109000206,0.0015041194680462935
4.655504,1619022165.137038,185.0024,0,237.1,6.77494e-06,0.69,6.774448726740588e-06,8.158708453450302e-08,1.45,1,313.1,5.60706e-06,0.894,5.606377463046972e-06,8.748477261214055e-08,1.0,1,38.538,47.394,3.488,3.591,3.561,3.531,5.826,3.41,296.775,300.02,-1.0247,39.9,44.5,296.8,300.0,0,0,0.00709837581962347,0.0015043878275497538
4.783463,1619022165.264997,185.0024,0,237.1,6.77494e-06,0.69,6.774448726740588e-06,8.158708453450302e-08,1.45,1,313.1,5.60799e-06,0.882,5.607325552664647e-06,8.632488942420302e-08,1.0,1,38.538,47.394,3.488,3.591,3.561,3.531,5.826,3.41,296.835,300.011,-1.0248,35.7,46.8,296.8,300.0,0,0,0.0074927909299731255,0.001505732458272961
4.907424,1619022165.388958,185.0024,0,237.1,6.77494e-06,0.696,6.774440145816018e-06,8.229650269759012e-08,1.45,1,313.1,5.60892e-06,0.87,5.6082734023140375e-06,8.51646129383016e-08,1.0,1,38.538,47.384,3.488,3.591,3.561,3.531,5.826,3.41,296.863,300.007,-1.0247,35.3,46.4,296.8,300.0,0,0,0.00709837581962347,0.001507011787139156
5.021386,1619022165.50292,185.0024,0,237.1,6.7754e-06,0.696,6.774900111877278e-06,8.230209040629911e-08,1.45,1,313.1,5.60892e-06,0.864,5.6082822899806335e-06,8.457731545507332e-08,1.0,1,38.538,47.384,3.516,3.591,3.561,3.531,5.826,3.41,296.858,300.002,-1.0246,40.2,46.7,296.8,300.0,0,0,0.0074927909299731255,0.0015073071312549612
5.13535,1619022165.616884,185.0024,0,237.1,6.77587e-06,0.702,6.775361420798015e-06,8.301731422966631e-08,1.45,1,313.1,5.60845e-06,0.852,5.607829932771584e-06,8.339572897368688e-08,1.0,1,38.538,47.384,3.516,3.512,3.561,3.531,5.825,3.41,296.834,299.998,-1.0247,43.4,46.6,296.8,300.0,0,0,0.0074927909299731255,0.001506147073183558
5.251312,1619022165.732846,185.0024,0,237.1,6.77587e-06,0.702,6.775361420798015e-06,8.301731422966631e-08,1.45,1,313.1,5.60799e-06,0.846,5.6073786853471035e-06,8.280168606366227e-08,1.0,1,38.532,47.384,3.516,3.512,3.561,3.531,5.825,3.41,296.845,300.001,-1.0247,38.1,45.8,296.8,300.0,0,0,0.0074927909299731255,0.0015064750681322338
5.380271,1619022165.861805,185.0024,0,237.1,6.77587e-06,0.702,6.775361420798015e-06,8.301731422966631e-08,1.45,1,313.1,5.60706e-06,0.84,5.606457425517886e-06,8.220084826423911e-08,1.0,1,38.532,47.398,3.516,3.512,3.561,3.531,5.825,3.41,296.813,299.989,-1.0248,43.2,47.2,296.8,300.0,0,0,0.00709837581962347,0.0015050764684670888
5.504231,1619022165.985765,185.0024,0,237.1,6.77494e-06,0.702,6.7744314906014e-06,8.300591995819511e-08,1.45,1,313.1,5.60659e-06,0.834,5.6059960526202905e-06,8.160689986589088e-08,1.0,1,38.532,47.398,3.468,3.512,3.561,3.531,5.825,3.41,296.813,299.981,-1.0247,40.3,47.2,296.8,300.0,0,0,0.0074927909299731255,0.001505520901008814
5.622193,1619022166.103727,185.0024,0,237.1,6.77447e-06,0.696,6.773970180492555e-06,8.229079351695266e-08,1.45,1,313.1,5.60613e-06,0.834,5.605536101351479e-06,8.160020432119467e-08,1.0,1,38.532,47.398,3.468,3.512,3.561,3.531,5.823,3.41,296.824,299.986,-1.0247,38.4,45.9,296.8,300.0,0,0,0.0074927909299731255,0.00150584889595749
5.739155,1619022166.220689,185.0024,0,237.1,6.77307e-06,0.696,6.772570283784372e-06,8.227378744696879e-08,1.45,1,313.1,5.60613e-06,0.822,5.605553068715019e-06,8.04261818043891e-08,1.0,1,38.533,47.398,3.468,3.463,3.561,3.531,5.823,3.41,296.832,299.995,-1.0247,38.8,45.4,296.8,300.0,0,0,0.0074927909299731255,0.001506087437738344
5.85312,1619022166.334654,185.0024,0,237.1,6.77214e-06,0.69,6.771648929777828e-06,8.155336558840215e-08,1.45,1,313.1,5.60659e-06,0.816,5.6060214135387645e-06,7.984572026622548e-08,1.0,1,38.533,47.388,3.468,3.463,3.561,3.531,5.823,3.41,296.823,299.997,-1.0248,41.4,46.3,296.8,300.0,0,0,0.0074927909299731255,0.0015053746456515761
5.987076,1619022166.46861,185.0024,0,237.1,6.77121e-06,0.69,6.770718997215198e-06,8.154216608130436e-08,1.45,1,313.1,5.60706e-06,0.81,5.606499697258373e-06,7.926530288701183e-08,1.0,1,38.533,47.388,3.468,3.463,3.561,3.531,5.823,3.41,296.798,299.993,-1.0247,42.6,46.6,296.8,300.0,0,0,0.009070475585758686,0.0015050736351697117
6.10404,1619022166.585574,185.0024,0,237.1,6.77121e-06,0.684,6.770727499166225e-06,8.083313760012288e-08,1.45,1,313.1,5.60799e-06,0.798,5.6074460853801874e-06,7.810403097411082e-08,1.0,1,38.533,47.388,3.373,3.463,3.561,3.531,5.824,3.41,296.789,299.989,-1.0247,42.1,46.7,296.8,300.0,0,0,0.007887205109000206,0.00150480527566625
6.216003,1619022166.697537,185.0024,0,237.1,6.77121e-06,0.684,6.770727499166225e-06,8.083313760012288e-08,1.45,1,313.1,5.60892e-06,0.792,5.608384144820195e-06,7.752967515377353e-08,1.0,1,38.532,47.388,3.373,3.468,3.561,3.531,5.824,3.41,296.755,299.991,-1.0247,46.9,46.0,296.8,300.0,0,0,0.007887205109000206,0.0015037914730976177
