time,abs_time,angle,is_rotating,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
3.687813,1619085654.490913,185.0024,0,237.099,2.90248e-06,-142.032,-2.288183113785773e-06,-1.7856674349345248e-06,1,313.098,5.27131e-06,-177.888,-5.267729184465833e-06,-1.9426362301503937e-07,1,237.1,1.57693e-05,-1.95,1.576016803040806e-05,-5.365874982738292e-07,5.0,1,313.1,5.18005e-06,23.268,4.758741782636721e-06,2.046288017041463e-06,5.0,1,39.05,48.325,3.38,3.559,3.633,3.608,5.874,3.497,2.27331,3.00025,-673.19,0.5,10.0,2.273,3.0,0,0,0.009225547313690186,-3.216873017737578
4.656504,1619085655.459604,185.0024,0,237.099,2.90248e-06,-142.068,-2.289304629981791e-06,-1.7842293747004436e-06,1,313.098,5.27364e-06,-177.894,-5.270077925025051e-06,-1.9379761031461812e-07,1,237.1,1.57693e-05,-1.95,1.576016803040806e-05,-5.365874982738292e-07,5.0,1,313.1,5.18005e-06,23.268,4.758741782636721e-06,2.046288017041463e-06,5.0,1,39.05,48.325,3.38,3.612,3.633,3.608,5.874,3.497,2.2734,3.00034,-673.19,0.5,10.0,2.273,3.0,0,0,0.00961960107088089,-3.216873017737578
4.871433,1619085655.674533,185.0024,0,237.099,2.90295e-06,-142.068,-2.289675338195488e-06,-1.7845182958320652e-06,1,313.098,5.27457e-06,-177.906,-5.271047777285427e-06,-1.92727824857636e-07,1,237.1,1.57693e-05,-1.95,1.576016803040806e-05,-5.365874982738292e-07,5.0,1,313.1,5.18005e-06,23.268,4.758741782636721e-06,2.046288017041463e-06,5.0,1,39.053,48.325,3.38,3.612,3.633,3.608,5.874,3.497,2.27325,3.00037,-673.19,0.5,10.0,2.273,3.0,0,0,0.008437497541308403,-3.216873017737578
5.070368,1619085655.873468,185.0024,0,237.099,2.90341e-06,-142.074,-2.290225050374459e-06,-1.7845612476845127e-06,1,313.098,5.27504e-06,-177.906,-5.271517463431468e-06,-1.9274499821540412e-07,1,237.1,1.57693e-05,-1.95,1.576016803040806e-05,-5.365874982738292e-07,5.0,1,313.1,5.18005e-06,23.268,4.758741782636721e-06,2.046288017041463e-06,5.0,1,39.053,48.322,3.397,3.612,3.633,3.608,5.876,3.497,2.27319,3.00019,-673.18,0.5,10.0,2.273,3.0,0,0,0.00961960107088089,-3.2168260307764593
5.270304,1619085656.073404,185.0024,0,237.099,2.90341e-06,-142.08,-2.290411916633407e-06,-1.784321406093555e-06,1,313.098,5.27551e-06,-177.918,-5.272027405964405e-06,-1.9165800494690218e-07,1,237.1,1.57711e-05,-1.956,1.576191070388174e-05,-5.382993338824009e-07,5.0,1,313.1,5.18191e-06,23.262,4.760664841161628e-06,2.0465242530269547e-06,5.0,1,39.047,48.322,3.397,3.691,3.633,3.608,5.876,3.497,2.27331,3.00031,-673.19,0.5,10.0,2.273,3.0,0,0,0.00961960107088089,-3.216873017737578
5.470241,1619085656.273341,185.0024,0,237.099,2.90341e-06,-142.08,-2.290411916633407e-06,-1.784321406093555e-06,1,313.098,5.27597e-06,-177.918,-5.2724871022983605e-06,-1.916747166358717e-07,1,237.1,1.57711e-05,-1.956,1.576191070388174e-05,-5.382993338824009e-07,5.0,1,313.1,5.18191e-06,23.262,4.760664841161628e-06,2.0465242530269547e-06,5.0,1,39.047,48.319,3.468,3.691,3.633,3.608,5.876,3.497,2.27331,3.00023,-673.19,0.5,10.0,2.273,3.0,0,0,0.00961960107088089,-3.216873017737578
5.670177,1619085656.473277,185.0024,0,237.099,2.90388e-06,-142.086,-2.2909695567378303e-06,-1.78437034959127e-06,1,313.098,5.27597e-06,-177.924,-5.272507145518066e-06,-1.911225820276838e-07,1,237.1,1.57711e-05,-1.956,1.576191070388174e-05,-5.382993338824009e-07,5.0,1,313.1,5.18191e-06,23.262,4.760664841161628e-06,2.0465242530269547e-06,5.0,1,39.047,48.319,3.468,3.72,3.633,3.608,5.876,3.496,2.27345,3.00025,-673.2,0.5,10.0,2.273,3.0,0,0,0.00961960107088089,-3.2169200046986965
5.870113,1619085656.673213,185.0024,0,237.099,2.90434e-06,-142.092,-2.2915193422229993e-06,-1.7844130519075099e-06,1,313.098,5.27644e-06,-177.93,-5.272996824216658e-06,-1.9058742193819204e-07,1,237.1,1.57711e-05,-1.956,1.576191070388174e-05,-5.382993338824009e-07,5.0,1,313.1,5.18191e-06,23.262,4.760664841161628e-06,2.0465242530269547e-06,5.0,1,39.054,48.316,3.468,3.72,3.633,3.608,5.876,3.496,2.27345,3.00033,-673.19,0.5,10.0,2.273,3.0,0,0,0.008831523358821869,-3.216873017737578
6.070048,1619085656.873148,185.0024,0,237.099,2.90481e-06,-142.086,-2.291703265323504e-06,-1.7849418141232479e-06,1,313.098,5.2769e-06,-177.936,-5.2734764551337374e-06,-1.900518012282962e-07,1,237.1,1.57711e-05,-1.956,1.576191070388174e-05,-5.382993338824009e-07,5.0,1,313.1,5.18191e-06,23.262,4.760664841161628e-06,2.0465242530269547e-06,5.0,1,39.054,48.316,3.543,3.72,3.633,3.608,5.875,3.496,2.27332,3.00031,-673.19,0.5,10.0,2.273,3.0,0,0,0.009225547313690186,-3.216873017737578
6.270984,1619085657.074084,185.0024,0,237.099,2.90481e-06,-142.092,-2.291890171427171e-06,-1.7847018177318955e-06,1,313.098,5.27737e-06,-177.942,-5.273966025240382e-06,-1.8951644126610657e-07,1,237.1,1.57693e-05,-1.956,1.5760111752681953e-05,-5.382378962654316e-07,5.0,1,313.1,5.18191e-06,23.274,4.760236113714452e-06,2.0475212794471124e-06,5.0,1,39.049,48.316,3.543,3.729,3.633,3.608,5.875,3.496,2.27332,3.00026,-673.2,0.5,10.0,2.273,3.0,0,0,0.00961960107088089,-3.2169200046986965
