time,abs_time,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
3.265906,1619351243.185408,36.8299,4.42614e-06,-94.674,-3.606695085667626e-07,-4.411420724119409e-06,1,13.2165,5.29926e-07,-29.58,4.608593108465724e-07,-2.6159178328460986e-07,1,36.83,1.64827e-05,-4.704,1.6427180728250006e-05,-1.351714693051603e-06,5.0,1,13.217,5.25083e-06,15.516,5.05946764147473e-06,1.4046362069127118e-06,5.0,1,39.493,48.896,3.583,3.743,3.463,3.642,5.88,3.522,2.27309,2.99918,-4068.9,0.4,9.2,2.273,3.0,0,0,0.00964348390698433,-15.773945215225897
4.2376,1619351244.157102,36.829,4.37305e-06,-93.912,-2.9834802881918675e-07,-4.3628608453857095e-06,1,13.217,5.113e-07,-31.11,4.377632589333157e-07,-2.6417989917494246e-07,1,36.83,1.64827e-05,-4.698,1.6427322189409297e-05,-1.3499944352999734e-06,5.0,1,13.217,5.24896e-06,15.54,5.057077185360276e-06,1.4062543948050747e-06,5.0,1,39.493,48.896,3.608,3.658,3.463,3.642,5.879,3.522,2.27304,2.99986,-4068.9,0.4,9.1,2.273,3.0,0,0,0.00964348390698433,-15.773945215225897
4.43586,1619351244.355362,36.8299,4.36002e-06,-93.846,-2.924481902787125e-07,-4.3502009673580265e-06,1,13.2165,5.06177e-07,-31.38,4.321398123142322e-07,-2.635722632258945e-07,1,36.83,1.64827e-05,-4.704,1.6427180728250006e-05,-1.351714693051603e-06,5.0,1,13.217,5.24896e-06,15.54,5.057077185360276e-06,1.4062543948050747e-06,5.0,1,39.499,48.896,3.608,3.658,3.463,3.642,5.879,3.522,2.27302,3.00113,-4069.0,0.4,9.0,2.273,3.0,0,0,0.00964348390698433,-15.774229811454997
4.632259,1619351244.551761,36.829,4.34977e-06,-93.804,-2.885792266421339e-07,-4.3401867566788675e-06,1,13.2165,5.02452e-07,-31.548,4.281906685536785e-07,-2.628892612252426e-07,1,36.83,1.64827e-05,-4.704,1.6427180728250006e-05,-1.351714693051603e-06,5.0,1,13.217,5.24896e-06,15.54,5.057077185360276e-06,1.4062543948050747e-06,5.0,1,39.499,48.903,3.621,3.658,3.463,3.642,5.879,3.522,2.27304,3.00095,-4068.9,0.4,8.9,2.273,3.0,0,0,0.00964348390698433,-15.773945215225897
4.827281,1619351244.746783,36.829,4.33813e-06,-93.786,-2.864471122986056e-07,-4.328662605095918e-06,1,13.2165,5.00124e-07,-31.68,4.2560276421308847e-07,-2.626524366347631e-07,1,36.83,1.64827e-05,-4.704,1.6427180728250006e-05,-1.351714693051603e-06,5.0,1,13.217,5.24896e-06,15.54,5.057077185360276e-06,1.4062543948050747e-06,5.0,1,39.499,48.903,3.621,3.553,3.463,3.642,5.878,3.522,2.27294,3.00118,-4069.1,0.4,9.1,2.273,3.0,0,0,0.009249579161405563,-15.774514407684096
5.017268,1619351244.93677,36.8299,4.32835e-06,-93.774,-2.848967826335005e-07,-4.318963712019942e-06,1,13.217,4.99193e-07,-31.716,4.246456823226157e-07,-2.6243036358958194e-07,1,36.83,1.64827e-05,-4.704,1.6427180728250006e-05,-1.351714693051603e-06,5.0,1,13.217,5.24896e-06,15.54,5.057077185360276e-06,1.4062543948050747e-06,5.0,1,39.497,48.905,3.621,3.553,3.463,3.642,5.878,3.522,2.27291,2.99979,-4068.9,0.4,9.0,2.273,3.0,0,0,0.00964348390698433,-15.773945215225897
5.220727,1619351245.140229,36.829,4.3209e-06,-93.78,-2.8485791618810885e-07,-4.311500061183459e-06,1,13.217,4.99658e-07,-31.644,4.2537099246520294e-07,-2.6214048854224753e-07,1,36.83,1.64827e-05,-4.704,1.6427180728250006e-05,-1.351714693051603e-06,5.0,1,13.217,5.24896e-06,15.54,5.057077185360276e-06,1.4062543948050747e-06,5.0,1,39.497,48.905,3.525,3.553,3.463,3.641,5.877,3.522,2.27277,3.00128,-4069.0,0.4,9.2,2.273,3.0,0,0,0.010825198143720627,-15.774229811454997
5.413194,1619351245.332696,36.8299,4.31531e-06,-93.798,-2.8584212339627584e-07,-4.305832634531016e-06,1,13.2165,5.01987e-07,-31.518,4.2793185701908456e-07,-2.6242193871168193e-07,1,36.83,1.64827e-05,-4.704,1.6427180728250006e-05,-1.351714693051603e-06,5.0,1,13.217,5.2471e-06,15.546,5.055137942018853e-06,1.4062854607658427e-06,5.0,1,39.506,48.905,3.525,3.544,3.463,3.641,5.877,3.522,2.27297,3.00051,-4068.9,0.4,9.0,2.273,3.0,0,0,0.009249579161405563,-15.773945215225897
5.623225,1619351245.542727,36.8309,4.31345e-06,-93.834,-2.884231304771659e-07,-4.3037963474478845e-06,1,13.2165,5.0478e-07,-31.422,4.307543567660127e-07,-2.631606591553886e-07,1,36.83,1.64827e-05,-4.698,1.6427322189409297e-05,-1.3499944352999734e-06,5.0,1,13.217,5.2471e-06,15.546,5.055137942018853e-06,1.4062854607658427e-06,5.0,1,39.506,48.907,3.525,3.544,3.462,3.641,5.877,3.522,2.27283,2.99999,-4068.9,0.4,9.1,2.273,3.0,0,0,0.009249579161405563,-15.773945215225897
5.823212,1619351245.742714,36.8299,4.31438e-06,-93.888,-2.925422941662235e-07,-4.304450463244287e-06,1,13.2165,5.0804e-07,-31.458,4.333697778369025e-07,-2.6513256544150463e-07,1,36.83,1.64827e-05,-4.698,1.6427322189409297e-05,-1.3499944352999734e-06,5.0,1,13.217,5.2471e-06,15.564,5.054695894957825e-06,1.4078735097644672e-06,5.0,1,39.506,48.907,3.436,3.579,3.462,3.641,5.878,3.522,2.2728,3.00093,-4068.8,0.4,8.9,2.273,3.0,0,0,0.00964348390698433,-15.773660618996798
