time,abs_time,angle,is_rotating,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
37475.132561,1619206532.436698,250.0002,0,36.8309,6.82755e-06,-49.308,4.451511679801145e-06,-5.176821685850691e-06,1,13.2165,1.03107e-05,-0.414,1.031043083927897e-05,-7.450099626938853e-08,1,36.83,1.67602e-05,-4.89,1.669919604103673e-05,-1.428690177408378e-06,5.0,1,13.217,4.2897e-06,19.272,4.049315330029982e-06,1.415828890785949e-06,5.0,1,39.469,48.877,3.739,3.635,3.621,3.793,8.137,3.626,2.27346,3.01327,4104.6,0.5,8.9,2.273,3.0,15.9713,15.9713,0.010016153566539288,15.76339951236503
37477.431823,1619206534.73596,250.1705,1,36.8299,6.82616e-06,-49.326,4.44897917517119e-06,-5.1771656960631525e-06,1,13.2165,1.0307e-05,-0.384,1.0306768517673442e-05,-6.907765988791794e-08,1,36.83,1.67583e-05,-4.896,1.6697153269999617e-05,-1.430276745298303e-06,5.0,1,13.217,4.29343e-06,19.326,4.0514989622553266e-06,1.4208790672481633e-06,5.0,1,39.472,48.877,3.739,3.635,3.621,3.793,8.137,3.626,2.27354,3.01522,4104.6,0.5,8.8,2.273,3.0,15.9713,15.9713,0.010016153566539288,15.76339951236503
37477.62377,1619206534.927907,250.1857,1,36.828,6.8243e-06,-49.35,4.445598506831872e-06,-5.177617638070064e-06,1,13.2165,1.03033e-05,-0.354,1.030310334444104e-05,-6.365817911215812e-08,1,36.83,1.67565e-05,-4.896,1.669535983773704e-05,-1.4301231200414732e-06,5.0,1,13.217,4.29715e-06,19.362,4.0541150049552885e-06,1.4246577305080612e-06,5.0,1,39.472,48.885,3.64,3.635,3.621,3.793,8.088,3.626,2.2736,3.01539,4104.7,0.5,8.9,2.273,3.0,15.9713,15.9713,0.010016153566539288,15.76367816091954
37477.819699,1619206535.123836,250.2038,1,36.8299,6.82057e-06,-49.368,4.4415427217389516e-06,-5.17618328267728e-06,1,13.2165,1.03005e-05,-0.318,1.0300341351426635e-05,-5.716899588539594e-08,1,36.83,1.67546e-05,-4.902,1.6693316933655292e-05,-1.4317090879566081e-06,5.0,1,13.217,4.3046e-06,19.422,4.059646942329557e-06,1.431379706309365e-06,5.0,1,39.475,48.884,3.64,3.601,3.62,3.792,8.088,3.626,2.27381,3.01629,4104.8,0.5,8.9,2.273,3.0,15.9707,15.9707,0.011197895742952824,15.76395680947405
37478.199577,1619206535.503714,250.2356,1,36.829,6.81405e-06,-49.428,4.431879172779126e-06,-5.1758790944521306e-06,1,13.217,1.02996e-05,-0.258,1.0299495579979009e-05,-4.637842162991058e-08,1,36.83,1.67509e-05,-4.902,1.6689630467093597e-05,-1.4313929166588486e-06,5.0,1,13.217,4.30833e-06,19.494,4.06136119577572e-06,1.4377248089767438e-06,5.0,1,39.475,48.884,3.547,3.613,3.62,3.792,8.036,3.626,2.27407,3.01753,4104.9,0.5,8.8,2.273,3.0,15.9707,15.9707,0.010016153566539288,15.76423545802856
37478.40051,1619206535.704647,250.251,1,36.8299,6.81033e-06,-49.47,4.425666437337788e-06,-5.176298995838808e-06,1,13.2165,1.03014e-05,-0.228,1.0301318437578423e-05,-4.0992775056257116e-08,1,36.83,1.67509e-05,-4.914,1.668933031081981e-05,-1.4348883532704377e-06,5.0,1,13.217,4.31392e-06,19.518,4.066027386191328e-06,1.441293537466297e-06,5.0,1,39.47,48.884,3.547,3.613,3.62,3.792,8.036,3.626,2.27393,3.01798,4104.9,0.5,8.9,2.273,3.0,15.9707,15.9707,0.010016153566539288,15.76423545802856
37478.581452,1619206535.885589,250.2661,1,36.829,6.80707e-06,-49.512,4.4197541418730055e-06,-5.177062420938771e-06,1,13.217,1.03033e-05,-0.204,1.0303234692815518e-05,-3.6684530291269706e-08,1,36.83,1.67472e-05,-4.92,1.6685493591101985e-05,-1.4363187185630834e-06,5.0,1,13.217,4.3195e-06,19.566,4.070076294656063e-06,1.4465680784805028e-06,5.0,1,39.47,48.879,3.517,3.613,3.62,3.792,8.036,3.626,2.27427,3.01951,4104.9,0.5,8.7,2.273,3.0,15.9707,15.9707,0.010016153566539288,15.76423545802856
37478.762395,1619206536.066532,250.2812,1,36.8299,6.80334e-06,-49.566,4.4124537408454e-06,-5.178386538343719e-06,1,13.217,1.03042e-05,-0.18,1.0304149150852988e-05,-3.23715457720002e-08,1,36.83,1.67453e-05,-4.926,1.668345010644731e-05,-1.4379028603084884e-06,5.0,1,13.217,4.32137e-06,19.596,4.071080006724542e-06,1.4493261385028926e-06,5.0,1,39.468,48.879,3.517,3.694,3.62,3.792,7.98,3.626,2.27433,3.0197,4105.0,0.5,8.8,2.273,3.0,15.9707,15.9707,0.010016153566539288,15.764514106583071
37479.141274,1619206536.445411,250.3115,1,36.8299,6.7931e-06,-49.68,4.3955158525373924e-06,-5.1793482215518665e-06,1,13.2165,1.0307e-05,-0.138,1.0306970103869649e-05,-2.482494586626525e-08,1,36.83,1.67416e-05,-4.938,1.667946231969193e-05,-1.44107851485515e-06,5.0,1,13.217,4.33068e-06,19.65,4.078480067291738e-06,1.456293103432128e-06,5.0,1,39.468,48.886,3.53,3.694,3.62,3.792,7.98,3.626,2.27428,3.02006,4105.1,0.5,8.8,2.273,3.0,15.9707,15.9707,0.008440500125288963,15.764792755137584
37479.33521,1619206536.639347,250.3285,1,36.8299,6.78565e-06,-49.74,4.385275026659738e-06,-5.1782631125749525e-06,1,13.217,1.03061e-05,-0.12,1.0306077396201614e-05,-2.1585029584343986e-08,1,36.83,1.67397e-05,-4.944,1.667741838797449e-05,-1.4426614302913495e-06,5.0,1,13.217,4.33627e-06,19.674,4.083133373776759e-06,1.459883339466007e-06,5.0,1,39.468,48.886,3.53,3.773,3.62,3.792,7.925,3.626,2.27428,3.02132,4105.2,0.5,8.7,2.273,3.0,15.9713,15.9713,0.010016153566539288,15.765071403692092
