time,abs_time,angle,is_rotating,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
103562.451081,1619454868.070338,238.0014,0,36.8299,7.85483e-06,-34.032,6.509495021022948e-06,-4.396001467262885e-06,1,13.2165,1.53586e-05,0.024,1.535859865259285e-05,6.433395135789697e-09,1,36.83,1.66876e-05,-4.758,1.663009337188957e-05,-1.3841922562399152e-06,5.0,1,13.217,4.61566e-06,22.326,4.269658270561928e-06,1.7533783072178495e-06,5.0,1,39.531,48.958,3.532,3.759,3.475,3.655,5.888,3.534,2.27302,2.99948,4107.0,0.4,9.1,2.273,3.0,15.9751,15.9751,0.010227920487523079,15.770087077673285
103564.649382,1619454870.268639,237.8522,1,36.8299,7.86089e-06,-34.08,6.510829182833016e-06,-4.404849026251634e-06,1,13.2165,1.53343e-05,-0.084,1.5334283520380143e-05,-2.248124991957748e-08,1,36.83,1.66876e-05,-4.746,1.6630382911696913e-05,-1.380709227295603e-06,5.0,1,13.217,4.61939e-06,22.344,4.272557164135725e-06,1.7561375946355962e-06,5.0,1,39.539,48.972,3.594,3.746,3.475,3.655,5.888,3.534,2.27308,2.99956,4107.1,0.4,9.1,2.273,3.0,15.9751,15.9751,0.00904637947678566,15.770365726227796
103565.175217,1619454870.794474,237.7991,1,36.829,7.8525e-06,-34.122,6.500652891280768e-06,-4.404914100988007e-06,1,13.2165,1.53334e-05,-0.072,1.5333387893234223e-05,-1.9268513646551034e-08,1,36.83,1.66857e-05,-4.752,1.662834476401718e-05,-1.382293347658989e-06,5.0,1,13.217,4.62311e-06,22.386,4.274708357763048e-06,1.7606858118843179e-06,5.0,1,39.531,48.972,3.632,3.648,3.475,3.655,5.886,3.534,2.27311,2.99895,4107.0,0.4,9.0,2.273,3.0,15.9734,15.9734,0.010227920487523079,15.770087077673285
103565.470118,1619454871.089375,237.784,1,36.8299,7.84924e-06,-34.146,6.496109186466763e-06,-4.4058068517698485e-06,1,13.2165,1.53343e-05,-0.066,1.5334289826356432e-05,-1.7663841643846516e-08,1,36.83,1.66838e-05,-4.764,1.662616145652327e-05,-1.3856181514472478e-06,5.0,1,13.217,4.6287e-06,22.428,4.2785837299791935e-06,1.7659515722571033e-06,5.0,1,39.531,48.961,3.632,3.648,3.475,3.655,5.886,3.534,2.27305,2.99875,4107.0,0.4,9.1,2.273,3.0,15.9734,15.9734,0.00904637947678566,15.770087077673285
103565.670054,1619454871.289311,237.7658,1,36.8299,7.84552e-06,-34.176,6.49072380570496e-06,-4.4071179412916685e-06,1,13.2165,1.53353e-05,-0.06,1.5335291591481637e-05,-1.6059085671738462e-08,1,36.83,1.66801e-05,-4.782,1.6622038210618224e-05,-1.390532895960284e-06,5.0,1,13.217,4.63615e-06,22.488,4.283615583635884e-06,1.7732806755084765e-06,5.0,1,39.535,48.96,3.621,3.567,3.475,3.655,5.886,3.534,2.2732,3.00068,4106.9,0.4,9.1,2.273,3.0,15.9734,15.9734,0.009440227411687374,15.769808429118772
103566.183891,1619454871.803148,237.7218,1,36.8309,7.83621e-06,-34.32,6.471937879113165e-06,-4.418167861568886e-06,1,13.217,1.53381e-05,-0.048,1.5338094617565496e-05,-1.2849615104947533e-08,1,36.83,1.66708e-05,-4.812,1.66120406304156e-05,-1.3984558389242075e-06,5.0,1,13.217,4.63802e-06,22.566,4.2829243764978e-06,1.7798281674366577e-06,5.0,1,39.535,48.96,3.51,3.559,3.475,3.655,5.885,3.534,2.27315,3.00095,4107.0,0.4,9.0,2.273,3.0,15.9734,15.9734,0.00904637947678566,15.770087077673285
103566.395824,1619454872.015081,237.7067,1,36.829,7.83295e-06,-34.392,6.463690609918352e-06,-4.424455831145036e-06,1,13.2165,1.5339e-05,-0.06,1.5338991589452886e-05,-1.6062960301969724e-08,1,36.83,1.66652e-05,-4.83,1.660602035890188e-05,-1.4032030785799346e-06,5.0,1,13.217,4.63802e-06,22.602,4.2818052321369285e-06,1.782518856687025e-06,5.0,1,39.535,48.963,3.51,3.559,3.474,3.655,5.885,3.534,2.27308,3.00046,4107.0,0.4,9.0,2.273,3.0,15.9734,15.9734,0.008258683606982231,15.770087077673285
103566.59076,1619454872.210017,237.6884,1,36.8309,7.83108e-06,-34.464,6.45658379151201e-06,-4.4315166376292e-06,1,13.217,1.53381e-05,-0.066,1.5338089823835298e-05,-1.7668218928642474e-08,1,36.83,1.66596e-05,-4.86,1.659970350096465e-05,-1.4114233383580865e-06,5.0,1,13.217,4.63802e-06,22.656,4.2801233462546965e-06,1.7865535707740478e-06,5.0,1,39.525,48.963,3.443,3.615,3.475,3.654,5.885,3.534,2.27314,3.0007,4106.9,0.4,9.0,2.273,3.0,15.9729,15.9729,0.00983407348394394,15.769808429118772
103567.168574,1619454872.787831,237.6415,1,36.828,7.83015e-06,-34.734,6.434864869692975e-06,-4.461363371357595e-06,1,13.2165,1.5326e-05,-0.096,1.532597848725025e-05,-2.5678947456435308e-08,1,36.83,1.66484e-05,-4.92,1.6587057627669237e-05,-1.4278451654082853e-06,5.0,1,13.217,4.63429e-06,22.782,4.2727451598769686e-06,1.7945173732365856e-06,5.0,1,39.525,48.956,3.423,3.68,3.475,3.655,5.887,3.534,2.27297,3.00242,4107.0,0.4,8.9,2.273,3.0,15.9729,15.9729,0.009440227411687374,15.770087077673285
103567.475476,1619454873.094733,237.6171,1,36.829,7.83155e-06,-34.806,6.43040300106204e-06,-4.470245255736234e-06,1,13.217,1.53194e-05,-0.09,1.531938110045168e-05,-2.406364735292057e-08,1,36.83,1.66447e-05,-4.938,1.6582921971172186e-05,-1.4327375851895587e-06,5.0,1,13.217,4.63243e-06,22.818,4.269902349087852e-06,1.796480346164145e-06,5.0,1,39.541,48.962,3.423,3.68,3.475,3.655,5.887,3.534,2.2732,3.00325,4106.9,0.4,9.0,2.273,3.0,15.9729,15.9729,0.00983407348394394,15.769808429118772
