time,abs_time,angle,is_rotating,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
168878.497609,1619520184.116866,185.0023,0,36.829,1.07987e-05,-153.24,-9.64216325589733e-06,-4.862160984235654e-06,1,13.217,2.57139e-05,-178.722,-2.5707503588555963e-05,-5.735088965153342e-07,1,36.83,1.63392e-05,-7.398,1.620318690454965e-05,-2.1038514149603677e-06,5.0,1,13.217,8.74704e-06,9.552,8.62576581464992e-06,1.4515071038120412e-06,5.0,1,39.488,48.89,3.44,3.712,3.479,3.66,5.892,3.542,14.1749,15.0117,-4068.9,2.3,25.1,14.165,15.0,-15.9745,-15.9745,0.011155873537063599,-15.77214614731591
168879.304351,1619520184.923608,185.0023,0,36.829,1.07959e-05,-153.264,-9.641698418252717e-06,-4.856861993248632e-06,1,13.217,2.57195e-05,-178.284,-2.570796574989038e-05,-7.701800130250257e-07,1,36.83,1.63411e-05,-7.392,1.6205291339868664e-05,-2.1023990582136346e-06,5.0,1,13.217,8.75263e-06,9.546,8.631430362834166e-06,1.45153084998027e-06,5.0,1,39.481,48.889,3.505,3.759,3.479,3.66,5.893,3.542,14.1705,14.993,-4069.0,2.3,23.5,14.165,15.0,-15.9745,-15.9745,0.009186231531202793,-15.772431626513685
168879.613251,1619520185.232508,185.0023,0,36.8299,1.07941e-05,-153.252,-9.639073597619197e-06,-4.858071118219711e-06,1,13.217,2.57959e-05,-178.092,-2.5781598156204343e-05,-8.588674647469328e-07,1,36.83,1.6343e-05,-7.398,1.6206955272048503e-05,-2.1043407066868196e-06,5.0,1,13.217,8.75449e-06,9.546,8.63326460699562e-06,1.4518393112520207e-06,5.0,1,39.481,48.901,3.595,3.759,3.479,3.66,5.893,3.542,14.1642,14.9939,-4068.9,2.4,24.7,14.165,15.0,-15.9745,-15.9745,0.009580167010426521,-15.772148245434323
168880.281959,1619520185.901216,185.0023,0,36.8299,1.07717e-05,-153.126,-9.608385980559668e-06,-4.869131312522229e-06,1,13.2165,2.63789e-05,-177.048,-2.634389596941769e-05,-1.3584956247623032e-06,1,36.83,1.6343e-05,-7.458,1.6204742725559538e-05,-2.1213114336243024e-06,5.0,1,13.217,8.75077e-06,9.552,8.629444099702765e-06,1.4521260699419799e-06,5.0,1,39.487,48.891,3.631,3.769,3.479,3.66,5.892,3.541,14.1581,15.0053,-4068.9,2.4,22.8,14.165,15.0,-15.9734,-15.9734,0.009974101558327675,-15.772149441557907
168880.572868,1619520186.192125,185.0023,0,36.8299,1.07634e-05,-153.09,-9.597923454733962e-06,-4.871410978050166e-06,1,13.217,2.65372e-05,-176.772,-2.6495095160974186e-05,-1.494294566316245e-06,1,36.83,1.63411e-05,-7.47,1.6202414208894528e-05,-2.1244582870493517e-06,5.0,1,13.217,8.7489e-06,9.552,8.627600026499328e-06,1.4518157571636996e-06,5.0,1,39.478,48.891,3.631,3.698,3.479,3.66,5.891,3.541,14.1577,14.9936,-4069.0,2.3,22.9,14.165,15.0,-15.9734,-15.9734,0.009580167010426521,-15.772434136384167
168881.182671,1619520186.801928,185.0023,0,36.8299,1.07382e-05,-152.946,-9.563207391655053e-06,-4.8840560627611705e-06,1,13.2165,2.69824e-05,-175.884,-2.6912806405352764e-05,-1.936688190701675e-06,1,36.83,1.63281e-05,-7.53,1.6187292704850913e-05,-2.139720658749738e-06,5.0,1,13.217,8.74331e-06,9.558,8.621935545670983e-06,1.4517910326197874e-06,5.0,1,39.489,48.889,3.651,3.583,3.479,3.66,5.889,3.541,14.1607,14.9978,-4068.9,2.3,23.3,14.165,15.0,-15.9734,-15.9734,0.009580167010426521,-15.772148931734742
168881.508565,1619520187.127822,185.0023,0,36.8299,1.07345e-05,-152.91,-9.5568426797213e-06,-4.888378897452347e-06,1,13.2165,2.70383e-05,-175.788,-2.6965272698387045e-05,-1.985883982417482e-06,1,36.83,1.63243e-05,-7.536,1.6183301366987278e-05,-2.1409174097259577e-06,5.0,1,13.217,8.74331e-06,9.558,8.621935545670983e-06,1.4517910326197874e-06,5.0,1,39.489,48.889,3.565,3.564,3.479,3.66,5.889,3.541,14.1637,15.0122,-4069.0,2.3,24.8,14.165,15.0,-15.9734,-15.9734,0.008004451170563698,-15.772432959882378
168881.704504,1619520187.323761,185.0023,0,36.8299,1.07326e-05,-152.874,-9.552078323044727e-06,-4.893516370711252e-06,1,13.217,2.70606e-05,-175.77,-2.6986886738507263e-05,-1.9960001310072097e-06,1,36.83,1.63188e-05,-7.548,1.617740027595472e-05,-2.1435843234032335e-06,5.0,1,13.217,8.74331e-06,9.558,8.621935545670983e-06,1.4517910326197874e-06,5.0,1,39.483,48.896,3.459,3.598,3.479,3.66,5.889,3.541,14.1653,14.9909,-4068.9,2.4,24.7,14.165,15.0,-15.9734,-15.9734,0.009580167010426521,-15.772148029739906
168882.223337,1619520187.842594,185.0023,0,36.8299,1.07354e-05,-152.808,-9.548925605230224e-06,-4.905795852436034e-06,1,13.2165,2.69228e-05,-176.034,-2.685832713467799e-05,-1.8621018679492466e-06,1,36.83,1.63076e-05,-7.548,1.6166297322116774e-05,-2.14211312794633e-06,5.0,1,13.217,8.74704e-06,9.564,8.625461622530997e-06,1.4533136481313796e-06,5.0,1,39.484,48.895,3.459,3.598,3.479,3.66,5.889,3.541,14.1638,15.0034,-4068.8,2.3,24.6,14.165,15.0,-15.9745,-15.9745,0.009186231531202793,-15.771863707463302
168882.52224,1619520188.141497,185.0023,0,36.8309,1.07382e-05,-152.784,-9.549359840943316e-06,-4.911075836125833e-06,1,13.217,2.68278e-05,-176.136,-2.676681550554761e-05,-1.8078828866870691e-06,1,36.83,1.63076e-05,-7.548,1.6166297322116774e-05,-2.14211312794633e-06,5.0,1,13.217,8.7489e-06,9.57,8.627143499380131e-06,1.4545261259610152e-06,5.0,1,39.484,48.895,3.43,3.668,3.479,3.66,5.89,3.541,14.1628,15.0001,-4068.9,2.3,24.1,14.165,15.0,-15.9745,-15.9745,0.009580167010426521,-15.77214851995449
168883.243008,1619520188.862265,185.0023,0,36.8309,1.07587e-05,-152.724,-9.562432329376015e-06,-4.930467892209053e-06,1,13.2165,2.62988e-05,-176.472,-2.6248959705345166e-05,-1.6183311858719622e-06,1,36.83,1.63038e-05,-7.53,1.6163202258765462e-05,-2.1365362581147825e-06,5.0,1,13.217,8.75449e-06,9.6,8.631892446573365e-06,1.45997532543865e-06,5.0,1,39.476,48.891,3.547,3.75,3.479,3.66,5.892,3.542,14.1646,15.0073,-4068.9,2.4,23.8,14.165,15.0,-15.9745,-15.9745,0.009580167010426521,-15.77214816699999
168883.533915,1619520189.153172,185.0023,0,36.8319,1.07634e-05,-152.718,-9.566093137560457e-06,-4.933623581458027e-06,1,13.2165,2.61908e-05,-176.508,-2.614217187364534e-05,-1.595259969029064e-06,1,36.83,1.63057e-05,-7.524,1.6165309548883584e-05,-2.135092428625315e-06,5.0,1,13.217,8.75449e-06,9.612,8.631586480739894e-06,1.4617831527310403e-06,5.0,1,39.476,48.891,3.547,3.769,3.479,3.66,5.893,3.542,14.1634,14.9931,-4068.8,2.4,25.6,14.165,15.0,-15.9745,-15.9745,0.00953814759850502,-15.771863785898518
168884.32766,1619520189.946917,185.0023,0,36.8299,1.07783e-05,-152.67,-9.57519341503272e-06,-4.94847673074392e-06,1,13.217,2.57922e-05,-176.298,-2.57383810943446e-05,-1.6653286409247953e-06,1,36.83,1.63113e-05,-7.506,1.617153152486405e-05,-2.130745369660145e-06,5.0,1,13.217,8.75449e-06,9.636,8.63097341321514e-06,1.465398614873571e-06,5.0,1,39.472,48.893,3.649,3.729,3.479,3.66,5.89,3.541,14.1617,14.9911,-4068.8,2.8,25.2,14.248,15.083,-15.9734,-15.9734,0.009932082146406174,-15.771864119248177
168884.617567,1619520190.236824,185.0023,0,36.8309,1.07801e-05,-152.67,-9.57679249356524e-06,-4.949303137330797e-06,1,13.2165,2.57363e-05,-176.184,-2.56792406211991e-05,-1.7128160463278156e-06,1,36.83,1.6315e-05,-7.494,1.6175645828987132e-05,-2.1278409280703164e-06,5.0,1,13.217,8.75449e-06,9.636,8.63097341321514e-06,1.465398614873571e-06,5.0,1,39.489,48.892,3.599,3.619,3.479,3.66,5.89,3.541,14.1659,15.0072,-4068.9,2.7,25.4,14.248,15.083,-15.9734,-15.9734,0.00953814759850502,-15.772147912088409
168885.213375,1619520190.832632,185.0023,0,36.8299,1.07848e-05,-152.688,-9.582522939804556e-06,-4.948450782630808e-06,1,13.216,2.56562e-05,-175.758,-2.558591542700507e-05,-1.897769796931113e-06,1,36.83,1.63188e-05,-7.47,1.6180303467459845e-05,-2.121559129722048e-06,5.0,1,13.217,8.75449e-06,9.6,8.631892446573365e-06,1.45997532543865e-06,5.0,1,39.481,48.884,3.599,3.567,3.479,3.66,5.889,3.541,14.1794,15.0224,-4068.9,2.6,24.2,14.248,15.083,-15.9734,-15.9734,0.009144212119281292,-15.772145264929662
168885.518278,1619520191.137535,185.0023,0,36.829,1.07857e-05,-152.7,-9.584358886246481e-06,-4.9468564998014785e-06,1,13.2165,2.56692e-05,-175.728,-2.5597882131374107e-05,-1.912134678383901e-06,1,36.83,1.63225e-05,-7.47,1.618397206581448e-05,-2.1220401558256816e-06,5.0,1,13.217,8.75449e-06,9.6,8.631892446573365e-06,1.45997532543865e-06,5.0,1,39.481,48.884,3.479,3.567,3.479,3.66,5.889,3.541,14.1817,15.0175,-4068.9,2.6,25.2,14.248,15.083,-15.9745,-15.9745,0.00953814759850502,-15.772144813932247
