time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
16375.401463,1620165157.453298,177.0102,0,21.96,1.70526e-06,0.75,1.705113906238851e-06,2.2321163743990818e-08,1,318.899,1.45287e-06,-178.62,-1.4524486056838907e-06,-3.498978060693681e-08,1,318.9,3.48689e-06,2.766,3.48282759712486e-06,1.6826705204964027e-07,1.0,1,37.44,46.04,3.284,3.439,3.474,3.46,5.759,3.3,75.5968,77.1224,1.3241,7.8,0.0,75.607,77.0,0.001,0.001,0.006926727946847677,0.010293672590912652
16376.03326,1620165158.085095,177.0102,0,21.96,1.70712e-06,0.996,1.7068620731642186e-06,2.96741906974099e-08,1,318.899,1.42214e-06,-178.602,-1.421716688674683e-06,-3.4696350584666643e-08,1,318.9,3.49247e-06,2.706,3.4885756742094806e-06,1.6488318960363086e-07,1.0,1,37.442,46.047,3.209,3.506,3.474,3.461,5.762,3.3,75.6021,77.1155,1.3242,7.7,0.0,75.607,77.0,0.0005,0.0005,0.006532581523060799,0.010294015111890539
16376.393156,1620165158.444991,177.0102,0,21.96,1.70992e-06,0.936,1.7096918383911642e-06,2.7932492524678104e-08,1,318.899,1.42819e-06,-178.902,-1.4279277580796889e-06,-2.736775119577857e-08,1,318.9,3.48689e-06,2.766,3.48282759712486e-06,1.6826705204964027e-07,1.0,1,37.442,46.047,3.209,3.568,3.474,3.461,5.762,3.3,75.6187,77.1174,1.3242,7.4,0.0,75.607,77.0,0.0005,0.0005,0.005350138060748577,0.010293684050172083
16376.941972,1620165158.993807,177.0102,0,21.96,1.71271e-06,0.858,1.7125179673686937e-06,2.5646745200864052e-08,1,318.899,1.44495e-06,-179.13,-1.444783425806335e-06,-2.1939804358985226e-08,1,318.9,3.49434e-06,2.814,3.490126424450221e-06,1.7155050846417513e-07,1.0,1,37.45,46.047,3.262,3.603,3.474,3.461,5.763,3.3,75.624,77.1201,1.3241,7.6,0.0,75.607,77.0,0.0005,0.0005,0.006532581523060799,0.010293130129411961
16377.200886,1620165159.252721,177.0102,0,21.96,1.71085e-06,0.828,1.7106713554427995e-06,2.472319088416516e-08,1,318.899,1.44868e-06,-178.89,-1.448408149849211e-06,-2.8063746193010536e-08,1,318.9,3.49061e-06,2.844,3.486310716532376e-06,1.7319284018547278e-07,1.0,1,37.45,46.047,3.262,3.603,3.474,3.461,5.763,3.3,75.6096,77.1166,1.3242,8.8,0.0,75.607,77.0,0.0005,0.0005,0.006532581523060799,0.010293865535812925
16377.34584,1620165159.397675,177.0102,0,21.96,1.70992e-06,0.804,1.7097516529530443e-06,2.3993574646826995e-08,1,318.906,1.45287e-06,-178.578,-1.4524225666043158e-06,-3.6054471546969436e-08,1,318.9,3.48875e-06,2.82,3.484525209938158e-06,1.716409735623541e-07,1.0,1,37.45,46.047,3.345,3.598,3.474,3.461,5.762,3.3,75.6076,77.1183,1.3242,7.4,0.0,75.607,77.0,0.0005,0.0005,0.006532581523060799,0.010293905422766952
16377.50479,1620165159.556625,177.0102,0,21.96,1.70852e-06,0.792,1.7083567744072299e-06,2.3616132979918616e-08,1,318.899,1.45846e-06,-178.326,-1.4578375574466595e-06,-4.2605489059012346e-08,1,318.9,3.49061e-06,2.79,3.486472398531798e-06,1.699069933108436e-07,1.0,1,37.439,46.043,3.382,3.519,3.475,3.461,5.762,3.3,75.6271,77.1223,1.3242,7.2,0.0,75.607,77.0,0.0005,0.0005,0.006926727946847677,0.010293516524965154
16377.985636,1620165160.037471,177.0102,0,21.96,1.70433e-06,0.876,1.7041308051157891e-06,2.6056629778458844e-08,1,318.899,1.47988e-06,-178.038,-1.4790124254413023e-06,-5.066616020813799e-08,1,318.9,3.48689e-06,2.85,3.4825771618702226e-06,1.733729613288844e-07,1.0,1,37.441,46.043,3.382,3.519,3.475,3.461,5.762,3.3,75.6282,77.1206,1.3243,7.8,0.0,75.607,77.0,0.0005,0.0005,0.008109134621918201,0.010293942807306517
16378.241558,1620165160.293393,177.0102,0,21.96,1.70386e-06,0.9,1.7036497990202024e-06,2.6763069674918776e-08,1,318.899,1.48686e-06,-177.894,-1.4858557018686803e-06,-5.4639663471983884e-08,1,318.9,3.48689e-06,2.82,3.482667462352208e-06,1.715494645087315e-07,1.0,1,37.441,46.04,3.407,3.519,3.475,3.46,5.76,3.3,75.6286,77.1191,1.3243,7.5,0.0,75.607,77.0,0.0005,0.0005,0.006926727946847677,0.010293934829899917
16378.405501,1620165160.457336,177.0102,0,21.96,1.70386e-06,0.93,1.703635552377702e-06,2.7655094914351247e-08,1,318.906,1.49338e-06,-177.906,-1.4923827590955304e-06,-5.456670005060061e-08,1,318.9,3.48875e-06,2.79,3.484614603286477e-06,1.6981645698408177e-07,1.0,1,37.441,46.04,3.407,3.437,3.475,3.46,5.76,3.3,75.6326,77.1147,1.3243,7.5,0.0,75.607,77.0,0.0005,0.0005,0.006532581523060799,0.010293855055833894
16378.550455,1620165160.60229,177.0102,0,21.96,1.70386e-06,0.942,1.7036297229433015e-06,2.801190290091485e-08,1,318.899,1.49757e-06,-178.242,-1.4968651194284399e-06,-4.5942563473130376e-08,1,318.9,3.49061e-06,2.898,3.4861459377675e-06,1.764785332190797e-07,1.0,1,37.446,46.04,3.32,3.427,3.475,3.46,5.759,3.3,75.6019,77.1145,1.3243,6.5,0.0,75.607,77.0,0.0005,0.0005,0.006532581523060799,0.010294467321790611
16379.058293,1620165161.110128,177.0102,0,21.96,1.70107e-06,0.84,1.7008871909388717e-06,2.4938095357789865e-08,1,318.899,1.50456e-06,-178.578,-1.5040966478832859e-06,-3.733721235259062e-08,1,318.9,3.49061e-06,2.844,3.486310716532376e-06,1.7319284018547278e-07,1.0,1,37.44,46.047,3.225,3.427,3.474,3.46,5.759,3.3,75.6284,77.1089,1.3244,7.9,0.0,75.607,77.0,0.0005,0.0005,0.0061384341679513454,0.0102943870387614
16379.317211,1620165161.369046,177.0102,0,21.96,1.70107e-06,0.876,1.7008711861308054e-06,2.600678930561745e-08,1,318.906,1.50689e-06,-178.506,-1.5063777489253859e-06,-3.928803434237569e-08,1,318.9,3.49434e-06,2.844,3.4900361223991634e-06,1.7337791078742824e-07,1.0,1,37.44,46.047,3.225,3.47,3.474,3.46,5.76,3.3,75.6181,77.106,1.3245,8.5,0.0,75.607,77.0,0.0005,0.0005,0.0061384341679513454,0.010295040677953086
16379.462163,1620165161.513998,177.0102,0,21.96,1.70246e-06,1.02,1.702190231939287e-06,3.030620217836319e-08,1,318.899,1.50968e-06,-178.458,-1.5091332960964658e-06,-4.06250786216715e-08,1,318.9,3.4962e-06,2.922,3.491654440977715e-06,1.782237492608676e-07,1.0,1,37.442,46.046,3.205,3.47,3.474,3.46,5.76,3.3,75.6261,77.1087,1.3244,7.5,0.0,75.607,77.0,0.0005,0.0005,0.0061384341679513454,0.01029443290894019
16379.982999,1620165162.034834,177.0102,0,21.96,1.71038e-06,1.44,1.7098398436663707e-06,4.298201264437556e-08,1,318.906,1.52691e-06,-178.65,-1.5264861759241672e-06,-3.597364052208699e-08,1,318.9,3.49434e-06,2.814,3.490126424450221e-06,1.7155050846417513e-07,1.0,1,37.438,46.042,3.205,3.528,3.474,3.46,5.761,3.3,75.623,77.1131,1.3244,8.0,0.0,75.607,77.0,0.0005,0.0005,0.0077149891294538975,0.010294494733963776
16380.228918,1620165162.280753,177.0102,0,21.96,1.70759e-06,1.32,1.7071368552052654e-06,3.9336569498074526e-08,1,318.899,1.52412e-06,-178.896,-1.5238370767674198e-06,-2.9365589878705105e-08,1,318.9,3.49434e-06,2.844,3.4900361223991634e-06,1.7337791078742824e-07,1.0,1,37.438,46.042,3.244,3.528,3.474,3.461,5.761,3.3,75.6204,77.1134,1.3244,7.9,0.0,75.607,77.0,0.0005,0.0005,0.007320844102650881,0.010294546587209364
16380.374874,1620165162.426709,177.0102,0,21.96,1.70619e-06,1.176,1.7058306219659458e-06,3.501721381370234e-08,1,318.899,1.52086e-06,-179.124,-1.520682248313648e-06,-2.3251650774714223e-08,1,318.9,3.49061e-06,2.874,3.4862195550815283e-06,1.7501824438369605e-07,1.0,1,37.438,46.042,3.244,3.596,3.474,3.461,5.762,3.3,75.6157,77.1138,1.3245,7.4,0.0,75.607,77.0,0.0005,0.0005,0.008503277786076069,0.01029508854258225
16380.519825,1620165162.57166,177.0102,0,21.96,1.70479e-06,1.05,1.7045037390736335e-06,3.124015979476208e-08,1,318.899,1.5162e-06,-179.268,-1.5160762635970667e-06,-1.937015636378566e-08,1,318.9,3.48502e-06,2.85,3.4807094748216785e-06,1.7327998235975e-07,1.0,1,37.443,46.044,3.298,3.61,3.474,3.461,5.763,3.3,75.6228,77.1165,1.3244,8.6,0.0,75.607,77.0,0.0005,0.0005,0.007320844102650881,0.010294498722674975
16381.036663,1620165163.088498,177.0102,0,21.96,1.7183e-06,0.588,1.7182095154209921e-06,1.7633806076930353e-08,1,318.899,1.48966e-06,-178.908,-1.4893894521878356e-06,-2.8389704324253076e-08,1,318.9,3.48875e-06,2.85,3.484434861287491e-06,1.734654430842801e-07,1.0,1,37.447,46.045,3.298,3.61,3.474,3.46,5.763,3.3,75.6153,77.1125,1.3245,7.5,0.0,75.607,77.0,0.0005,0.0005,0.006926727946847677,0.010295096520020445
16381.297577,1620165163.349412,177.0102,0,21.96,1.72389e-06,0.432,1.7238409995886226e-06,1.2997701231333286e-08,1,318.899,1.48407e-06,-178.818,-1.4837542097798286e-06,-3.061388346217816e-08,1,318.9,3.48502e-06,2.85,3.4807094748216785e-06,1.7327998235975e-07,1.0,1,37.447,46.045,3.369,3.61,3.474,3.46,5.762,3.3,75.6256,77.1109,1.3246,7.2,0.0,75.607,77.0,0.0005,0.0005,0.006926727946847677,0.0102953393212557
16381.44553,1620165163.497365,177.0102,0,21.96,1.72947e-06,0.33,1.7294413143660828e-06,9.960977046249407e-09,1,318.899,1.48034e-06,-178.824,-1.4800281931795804e-06,-3.0381951773820496e-08,1,318.9,3.4813e-06,2.796,3.4771556699299595e-06,1.69817952743323e-07,1.0,1,37.439,46.04,3.369,3.564,3.475,3.46,5.762,3.3,75.6304,77.1113,1.3246,8.2,0.0,75.607,77.0,0.0005,0.0005,0.006532581523060799,0.010295243591807817
16382.002353,1620165164.054188,177.0102,0,21.96,1.74018e-06,0.546,1.7401009865706821e-06,1.658279034837797e-08,1,318.899,1.47103e-06,-179.418,-1.4709541093094993e-06,-1.494219547113263e-08,1,318.9,3.48316e-06,2.742,3.4791720456803367e-06,1.6662971570672512e-07,1.0,1,37.44,46.032,3.403,3.465,3.474,3.46,5.76,3.3,75.5983,77.1165,1.3252,8.2,0.0,75.607,77.0,0.0005,0.0005,0.0061384341679513454,0.010298573110571535
