time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
450.266504,1620149232.318339,177.0102,0,21.96,6.1747e-06,0.348,6.174586106810722e-06,3.750332758599029e-08,1,318.899,3.27315e-06,-179.31,-3.2729126530907952e-06,-3.9416845867875505e-08,1,318.9,1.0944e-05,0.648,1.0943300083540914e-05,1.2377108536905463e-07,1.0,1,39.775,49.793,3.545,3.876,3.738,3.721,5.912,3.524,296.703,300.535,-0.0924,45.2,0.0,296.8,300.0,0.0005,0.0005,0.007192691322416067,0.005645249196545292
450.656377,1620149232.708212,177.0102,0,21.96,6.18634e-06,0.522,6.186083258232573e-06,5.636060516589253e-08,1,318.899,3.29084e-06,-179.556,-3.2907411912798683e-06,-2.5501325729349997e-08,1,318.9,1.09496e-05,0.63,1.0948938088819297e-05,1.2039471417815023e-07,1.0,1,39.775,49.793,3.584,3.876,3.738,3.721,5.911,3.524,296.72,300.542,-0.0925,38.2,0.0,296.8,300.0,0.0,0.0,0.005221239291131496,0.005645312041502202
450.800331,1620149232.852166,177.0102,0,21.96,6.18215e-06,0.588,6.181824451934986e-06,6.344342328958563e-08,1,318.899,3.29736e-06,-179.706,-3.297316590497091e-06,-1.69195636066655e-08,1,318.9,1.09505e-05,0.636,1.0949825365633195e-05,1.2155127369087696e-07,1.0,1,39.775,49.793,3.584,3.789,3.738,3.721,5.911,3.524,296.728,300.547,-0.0925,40.3,0.0,296.8,300.0,0.0,0.0,0.007192691322416067,0.005645550737706755
450.96028,1620149233.012115,177.0102,0,21.96,6.16958e-06,0.624,6.169214114476867e-06,6.719067003235875e-08,1,318.899,3.30574e-06,-179.886,-3.3057334566072e-06,-6.5773450427524055e-09,1,318.9,1.09468e-05,0.642,1.0946112809043855e-05,1.2265647836967292e-07,1.0,1,39.781,49.793,3.584,3.789,3.738,3.721,5.911,3.524,296.744,300.548,-0.0923,40.3,0.0,296.8,300.0,0.0,0.0,0.007586986292153597,0.005646916899236527
451.104234,1620149233.156069,177.0102,0,21.96,6.15514e-06,0.63,6.1547679173682335e-06,6.76779353607894e-08,1,318.906,3.31273e-06,179.976,-3.312729709374808e-06,1.3876330569324721e-09,1,318.9,1.09431e-05,0.63,1.0942438481748963e-05,1.2032324438544933e-07,1.0,1,39.781,49.787,3.614,3.789,3.738,3.721,5.909,3.524,296.796,300.549,-0.0923,32.7,0.0,296.8,300.0,0.0,0.0,0.007192691322416067,0.0056484684247755605
451.265184,1620149233.317019,177.0102,0,21.96,6.14164e-06,0.642,6.141254455414925e-06,6.881572092431743e-08,1,318.899,3.32065e-06,179.838,-3.320636726740592e-06,9.388904170874047e-09,1,318.9,1.09422e-05,0.606,1.0941587972991576e-05,1.1573015720240403e-07,1.0,1,39.781,49.787,3.614,3.696,3.738,3.721,5.909,3.524,296.814,300.543,-0.0925,37.5,0.0,296.8,300.0,0.0,0.0,0.007192691322416067,0.005648116721905695
451.413135,1620149233.46497,177.0102,0,21.96,6.13093e-06,0.648,6.130537900327438e-06,6.933770654438031e-08,1,318.899,3.32577e-06,179.748,-3.325737832498311e-06,1.4627453279290729e-08,1,318.9,1.0944e-05,0.6,1.0943399933536165e-05,1.1460320536819396e-07,1.0,1,39.78,49.787,3.614,3.696,3.738,3.721,5.909,3.524,296.818,300.542,-0.0924,40.2,0.0,296.8,300.0,0.0,0.0,0.007586986292153597,0.00564868045471733
451.576084,1620149233.627919,177.0102,0,21.96,6.12487e-06,0.66,6.124463645864843e-06,7.055187722460205e-08,1,318.899,3.3267e-06,179.7,-3.3266543984195145e-06,1.7418480877985793e-08,1,318.9,1.09459e-05,0.618,1.0945263279320218e-05,1.1806166339855422e-07,1.0,1,39.78,49.79,3.614,3.696,3.738,3.721,5.909,3.524,296.801,300.538,-0.0924,41.7,0.0,296.8,300.0,0.0,0.0,0.007586986292153597,0.00564817322524842
451.723048,1620149233.774883,177.0102,0,21.96,6.12534e-06,0.66,6.124933614682721e-06,7.055729111621046e-08,1,318.899,3.32297e-06,179.736,-3.322934725712899e-06,1.5311092428026706e-08,1,318.9,1.09431e-05,0.636,1.0942425821529667e-05,1.2146913320182965e-07,1.0,1,39.78,49.79,3.536,3.683,3.738,3.721,5.909,3.524,296.827,300.519,-0.0924,33.6,0.0,296.8,300.0,0.0,0.0,0.007192691322416067,0.0056489489879655765
451.881985,1620149233.93382,177.0102,0,21.96,6.12813e-06,0.648,6.127738079399632e-06,6.930603996552127e-08,1,318.899,3.31692e-06,179.856,-3.3169095242652808e-06,8.336320427503973e-09,1,318.9,1.09403e-05,0.63,1.0939638651010973e-05,1.202924573978243e-07,1.0,1,39.784,49.79,3.536,3.683,3.738,3.721,5.909,3.524,296.811,300.515,-0.0923,42.1,0.0,296.8,300.0,0.0,0.0,0.007586986292153597,0.005648915980219513
