time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
249757.408949,1620398539.460784,267.0031,0,85.78,3.22425e-06,0.684,3.22402024736889e-06,3.849035016004469e-08,1,14.1182,5.24338e-06,-172.926,-5.203466994428843e-06,-6.457283192563731e-07,1,14.118,1.6898e-05,-0.042,1.6897995459971213e-05,-1.238687984474575e-08,5.0,1,38.899,48.113,3.721,3.711,3.718,3.647,5.966,3.632,3.81485,4.51664,-59.531,2.9,17.5,3.76,4.5,-0.2495,-0.2495,0.035475362092256546,-0.2643395620035811
249757.985764,1620398540.037599,267.0031,0,85.78,3.22053e-06,0.594,3.220356930280934e-06,3.338746009443974e-08,1,14.1172,5.24012e-06,-172.944,-5.2004342885791995e-06,-6.436931136572385e-07,1,14.118,1.68999e-05,-0.042,1.6899895459460737e-05,-1.2388272617364108e-08,5.0,1,38.899,48.113,3.752,3.622,3.718,3.647,5.965,3.633,3.81543,4.51644,-59.531,2.9,17.5,3.76,4.5,-0.2495,-0.2495,0.03429357334971428,-0.2643395620035811
249758.236684,1620398540.288519,267.0031,0,85.78,3.22053e-06,0.564,3.2203739704738026e-06,3.1701280649120116e-08,1,14.1182,5.23965e-06,-172.95,-5.200035220921091e-06,-6.430908362588753e-07,1,14.118,1.68999e-05,-0.042,1.6899895459460737e-05,-1.2388272617364108e-08,5.0,1,38.896,48.113,3.752,3.622,3.719,3.647,5.965,3.633,3.81453,4.51578,-59.532,2.9,17.5,3.76,4.5,-0.2495,-0.2495,0.03508143499493599,-0.2643441531610119
249758.384636,1620398540.436471,267.0031,0,85.78,3.22053e-06,0.534,3.220390127782883e-06,3.001509251271461e-08,1,14.1177,5.23918e-06,-172.95,-5.199568774392443e-06,-6.43033150594176e-07,1,14.118,1.68999e-05,-0.042,1.6899895459460737e-05,-1.2388272617364108e-08,5.0,1,38.904,48.109,3.768,3.526,3.719,3.648,5.964,3.634,3.81466,4.51432,-59.531,2.9,17.6,3.76,4.5,-0.2495,-0.2495,0.03389967232942581,-0.2643395620035811
249758.96745,1620398541.019285,267.0031,0,85.78,3.22239e-06,0.444,3.2222932465171004e-06,2.4970894062610493e-08,1,14.1177,5.24012e-06,-172.95,-5.20050166744974e-06,-6.431485219235746e-07,1,14.118,1.68999e-05,-0.048,1.6899894069499817e-05,-1.4158025460265797e-08,5.0,1,38.904,48.109,3.647,3.523,3.719,3.648,5.964,3.635,3.8154,4.51351,-59.531,2.8,17.5,3.76,4.5,-0.2495,-0.2495,0.03468750789761543,-0.2643395620035811
249759.211371,1620398541.263206,267.0031,0,85.78,3.22239e-06,0.444,3.2222932465171004e-06,2.4970894062610493e-08,1,14.1172,5.24105e-06,-172.956,-5.201491969901535e-06,-6.427179704581528e-07,1,14.118,1.69018e-05,-0.048,1.690179406883307e-05,-1.4159617200357426e-08,5.0,1,38.903,48.108,3.647,3.523,3.719,3.648,5.964,3.635,3.81555,4.51356,-59.532,2.8,17.5,3.76,4.5,-0.2495,-0.2495,0.03429357334971428,-0.2643441531610119
249759.365321,1620398541.417156,267.0031,0,85.78,3.22425e-06,0.414,3.2241658309857934e-06,2.329714153467524e-08,1,14.1177,5.24198e-06,-172.95,-5.202347604775881e-06,-6.433768098732357e-07,1,14.118,1.69018e-05,-0.048,1.690179406883307e-05,-1.4159617200357426e-08,5.0,1,38.89,48.111,3.564,3.577,3.719,3.649,5.965,3.636,3.8153,4.51404,-59.531,2.8,17.5,3.76,4.5,-0.2495,-0.2495,0.03429357334971428,-0.2643395620035811
249759.90515,1620398541.956985,267.0031,0,85.78,3.22612e-06,0.414,3.226035782169462e-06,2.3310653407101334e-08,1,14.1177,5.2457e-06,-172.956,-5.206106872957228e-06,-6.43288207063915e-07,1,14.118,1.69036e-05,-0.048,1.6903594068201415e-05,-1.4161125164654755e-08,5.0,1,38.89,48.111,3.543,3.577,3.719,3.649,5.967,3.636,3.81495,4.51425,-59.532,2.9,17.5,3.76,4.5,-0.2495,-0.2495,0.03468750789761543,-0.2643441531610119
249760.165065,1620398542.2169,267.0031,0,85.78,3.22798e-06,0.414,3.2278957336141808e-06,2.3324093023525153e-08,1,14.1177,5.24663e-06,-172.956,-5.207029853568368e-06,-6.434022543850675e-07,1,14.118,1.69036e-05,-0.048,1.6903594068201415e-05,-1.4161125164654755e-08,5.0,1,38.904,48.111,3.543,3.639,3.72,3.649,5.967,3.637,3.81509,4.51409,-59.532,2.8,17.5,3.76,4.5,-0.2495,-0.2495,0.03429357334971428,-0.2643441531610119
249760.30802,1620398542.359855,267.0031,0,85.78,3.22798e-06,0.414,3.2278957336141808e-06,2.3324093023525153e-08,1,14.1177,5.24663e-06,-172.962,-5.207097201944031e-06,-6.428569719670516e-07,1,14.118,1.69036e-05,-0.048,1.6903594068201415e-05,-1.4161125164654755e-08,5.0,1,38.904,48.1,3.543,3.639,3.72,3.65,5.967,3.637,3.81548,4.51426,-59.531,2.8,17.5,3.76,4.5,-0.2495,-0.2495,0.03429357334971428,-0.2643395620035811
