time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
250412.998753,1620399195.050588,267.0031,0,85.78,3.26151e-06,0.348,3.2614498410002487e-06,1.9809460857204913e-08,1,14.1182,5.29041e-06,-172.92,-5.250070742693671e-06,-6.520699079178063e-07,1,14.118,1.7183e-05,-0.042,1.7182995383399537e-05,-1.259579573749948e-08,5.0,1,39.197,48.599,3.442,3.646,3.685,3.643,5.897,3.538,7.22506,7.99327,58.727,1.1,18.1,7.228,8.0,0.249,0.249,0.008750276640057564,0.2717453326510493
250413.655543,1620399195.707378,267.0031,0,85.78,3.26151e-06,0.324,3.2614578526411726e-06,1.844330624453695e-08,1,14.1177,5.2918e-06,-172.932,-5.251586633881021e-06,-6.51141357035632e-07,1,14.118,1.7183e-05,-0.042,1.7182995383399537e-05,-1.259579573749948e-08,5.0,1,39.196,48.605,3.521,3.744,3.685,3.643,5.898,3.538,7.23467,7.99229,58.726,1.1,18.1,7.228,8.0,0.249,0.249,0.008356339298188686,0.2717404414923485
250413.870476,1620399195.922311,267.0031,0,85.78,3.26151e-06,0.324,3.2614578526411726e-06,1.844330624453695e-08,1,14.1177,5.2918e-06,-172.932,-5.251586633881021e-06,-6.51141357035632e-07,1,14.118,1.7183e-05,-0.042,1.7182995383399537e-05,-1.259579573749948e-08,5.0,1,39.196,48.597,3.521,3.744,3.685,3.643,5.898,3.538,7.23484,7.99224,58.726,1.1,18.1,7.228,8.0,0.249,0.249,0.008750276640057564,0.27174043545059584
250414.028425,1620399196.08026,267.0031,0,85.78,3.26337e-06,0.294,3.2633270379729515e-06,1.6745152572687983e-08,1,14.1172,5.2918e-06,-172.932,-5.251586633881021e-06,-6.51141357035632e-07,1,14.118,1.71849e-05,-0.042,1.7184895382889055e-05,-1.2597188510117837e-08,5.0,1,39.195,48.601,3.583,3.698,3.685,3.643,5.897,3.537,7.23794,7.99239,58.727,1.1,18.1,7.228,8.0,0.249,0.249,0.008750276640057564,0.27174487490385507
250414.576249,1620399196.628084,267.0031,0,85.78,3.26523e-06,0.264,3.2651953386396898e-06,1.5045046548346725e-08,1,14.1182,5.29134e-06,-172.932,-5.251130129506028e-06,-6.510847553076309e-07,1,14.118,1.71867e-05,-0.042,1.7186695382405447e-05,-1.2598507978914176e-08,5.0,1,39.19,48.601,3.616,3.589,3.684,3.643,5.895,3.537,7.24112,7.9938,58.727,1.1,18.1,7.228,8.0,0.249,0.249,0.009144212119281292,0.27174476188863167
250414.844164,1620399196.895999,267.0031,0,85.78,3.26709e-06,0.264,3.267055318895252e-06,1.5053616782780416e-08,1,14.1177,5.29087e-06,-172.926,-5.250595496953059e-06,-6.515767677536183e-07,1,14.118,1.71867e-05,-0.036,1.718669660748151e-05,-1.0798721381362916e-08,5.0,1,39.19,48.599,3.616,3.589,3.684,3.643,5.895,3.537,7.24305,7.99376,58.727,1.1,18.1,7.228,8.0,0.249,0.249,0.009144212119281292,0.27174469329763123
250414.984119,1620399197.035954,267.0031,0,85.78,3.26709e-06,0.234,3.2670627531093353e-06,1.3342988632640723e-08,1,14.1177,5.29041e-06,-172.92,-5.250070742693671e-06,-6.520699079178063e-07,1,14.118,1.71867e-05,-0.036,1.718669660748151e-05,-1.0798721381362916e-08,5.0,1,39.19,48.599,3.569,3.54,3.684,3.643,5.894,3.537,7.24266,7.99397,58.727,1.1,18.1,7.228,8.0,0.249,0.249,0.009932082146406174,0.2717447071579888
250415.137069,1620399197.188904,267.0031,0,85.78,3.26709e-06,0.234,3.2670627531093353e-06,1.3342988632640723e-08,1,14.1177,5.28994e-06,-172.914,-5.249536019114377e-06,-6.525617117336717e-07,1,14.118,1.71867e-05,-0.036,1.718669660748151e-05,-1.0798721381362916e-08,5.0,1,39.197,48.61,3.449,3.573,3.684,3.642,5.894,3.537,7.24906,7.99485,58.727,1.1,18.1,7.228,8.0,0.249,0.249,0.00953814759850502,0.27174447970596693
250415.724882,1620399197.776717,267.0031,0,85.78,3.26709e-06,0.234,3.2670627531093353e-06,1.3342988632640723e-08,1,14.1177,5.28948e-06,-172.908,-5.249011173602379e-06,-6.530546453378761e-07,1,14.118,1.71886e-05,-0.036,1.7188596607106466e-05,-1.0799915186492733e-08,5.0,1,39.191,48.61,3.449,3.573,3.684,3.642,5.894,3.537,7.24853,7.99564,58.728,1.1,18.0,7.228,8.0,0.249,0.249,0.008750276640057564,0.27174904817187184
250415.879832,1620399197.931667,267.0031,0,85.78,3.26709e-06,0.234,3.2670627531093353e-06,1.3342988632640723e-08,1,14.1177,5.28994e-06,-172.908,-5.249467654228047e-06,-6.531114382810114e-07,1,14.118,1.71886e-05,-0.036,1.7188596607106466e-05,-1.0799915186492733e-08,5.0,1,39.191,48.594,3.449,3.573,3.684,3.642,5.894,3.537,7.24778,7.9961,58.728,1.1,18.0,7.228,8.0,0.249,0.249,0.009144212119281292,0.2717490748261481
