time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
250223.921691,1620399005.973526,267.0031,0,85.78,3.22612e-06,0.708,3.2258736989596506e-06,3.9863928060130646e-08,1,14.1177,5.25967e-06,-172.908,-5.219429244360735e-06,-6.493742156968675e-07,1,14.118,1.69446e-05,-0.042,1.6944595447451073e-05,-1.2421039425806535e-08,5.0,1,39.186,48.523,3.695,3.701,4.171,3.814,7.461,3.606,3.76876,4.49865,56.388,0.7,13.3,3.76,4.5,0.2474,0.2474,0.009496250189840794,0.26118872397204906
250224.743429,1620399006.795264,267.0031,0,85.78,3.22984e-06,0.768,3.229549850593982e-06,4.329189448833389e-08,1,14.1182,5.262e-06,-172.872,-5.221332192660505e-06,-6.529426727416756e-07,1,14.118,1.69427e-05,-0.048,1.694269405448047e-05,-1.4193881500224574e-08,5.0,1,39.186,48.531,3.704,3.701,4.167,3.814,7.436,3.606,3.7704,4.50109,56.459,0.6,13.3,3.76,4.5,0.2474,0.2474,0.009890214540064335,0.26151149304706683
250224.882384,1620399006.934219,267.0031,0,85.78,3.22984e-06,0.768,3.229549850593982e-06,4.329189448833389e-08,1,14.1172,5.262e-06,-172.86,-5.221195326151282e-06,-6.540362116702727e-07,1,14.118,1.69427e-05,-0.048,1.694269405448047e-05,-1.4193881500224574e-08,5.0,1,39.184,48.531,3.593,3.616,4.163,3.814,7.406,3.606,3.77106,4.50236,56.529,0.6,13.3,3.76,4.5,0.2474,0.2474,0.00910231377929449,0.2618297160787745
250225.437208,1620399007.489043,267.0031,0,85.78,3.23357e-06,0.828,3.23323235515631e-06,4.672774839834581e-08,1,14.1177,5.26014e-06,-172.824,-5.218937921652604e-06,-6.570843093061931e-07,1,14.118,1.69427e-05,-0.048,1.694269405448047e-05,-1.4193881500224574e-08,5.0,1,39.183,48.531,3.593,3.616,4.159,3.814,7.406,3.606,3.77233,4.50348,56.594,0.7,13.2,3.76,4.5,0.2474,0.2474,0.00910231377929449,0.26212520889393154
250225.684356,1620399007.736191,267.0031,0,85.78,3.23543e-06,0.828,3.2350921609377194e-06,4.675462692951134e-08,1,14.1177,5.25921e-06,-172.818,-5.217946380083673e-06,-6.575145615662815e-07,1,14.118,1.69427e-05,-0.048,1.694269405448047e-05,-1.4193881500224574e-08,5.0,1,39.183,48.529,3.593,3.616,4.159,3.814,7.406,3.606,3.77062,4.5043,56.628,0.7,13.2,3.76,4.5,0.2474,0.2474,0.009496250189840794,0.26227977436647526
250225.830309,1620399007.882144,267.0031,0,85.78,3.23729e-06,0.828,3.236951966719128e-06,4.6781505460676874e-08,1,14.1177,5.25735e-06,-172.812,-5.216032114580859e-06,-6.578282467035964e-07,1,14.118,1.69427e-05,-0.048,1.694269405448047e-05,-1.4193881500224574e-08,5.0,1,39.182,48.528,3.507,3.672,4.154,3.814,7.378,3.606,3.76739,4.50509,56.659,0.7,13.2,3.76,4.5,0.2474,0.2474,0.00870834942907095,0.26242070170908866
250226.366139,1620399008.417974,267.0031,0,85.78,3.24288e-06,0.738,3.2426109937706594e-06,4.1768857749028065e-08,1,14.1177,5.25129e-06,-172.824,-5.210157242696032e-06,-6.559787881342547e-07,1,14.118,1.69427e-05,-0.048,1.694269405448047e-05,-1.4193881500224574e-08,5.0,1,39.18,48.528,3.489,3.74,4.154,3.814,7.347,3.606,3.75729,4.50533,56.75,0.7,13.3,3.76,4.5,0.2479,0.2479,0.009496250189840794,0.2628343916503086
250226.637557,1620399008.689392,267.0031,0,85.78,3.24474e-06,0.738,3.2444708394783058e-06,4.1792814872144916e-08,1,14.1177,5.25036e-06,-172.83,-5.2093031804897125e-06,-6.553171013637356e-07,1,14.118,1.69427e-05,-0.048,1.694269405448047e-05,-1.4193881500224574e-08,5.0,1,39.18,48.52,3.489,3.74,4.15,3.814,7.347,3.606,3.75562,4.5051,56.765,0.7,13.3,3.76,4.5,0.2479,0.2479,0.009517302736639977,0.2629025822999602
250226.778517,1620399008.830352,267.0031,0,85.78,3.24474e-06,0.708,3.244492277398961e-06,4.009400826188372e-08,1,14.1182,5.24989e-06,-172.836,-5.208905445743073e-06,-6.547129671910883e-07,1,14.118,1.69427e-05,-0.042,1.694269544796155e-05,-1.2419646653188176e-08,5.0,1,39.18,48.52,3.542,3.81,4.15,3.814,7.316,3.606,3.75269,4.50453,56.793,0.7,13.3,3.76,4.5,0.2479,0.2479,0.009123368188738823,0.2630298715126433
250227.349335,1620399009.40117,267.0031,0,85.78,3.24661e-06,0.588,3.2464390355938702e-06,3.331786716372162e-08,1,14.1177,5.24943e-06,-172.884,-5.208995652030271e-06,-6.50291951380092e-07,1,14.118,1.69427e-05,-0.036,1.694269665564518e-05,-1.064541166995511e-08,5.0,1,39.175,48.52,3.631,3.825,4.145,3.814,7.283,3.606,3.7553,4.50188,56.878,0.7,13.3,3.76,4.5,0.2479,0.2479,0.009517302736639977,0.26341628519400256
