time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
249541.064064,1620398323.115899,267.0031,0,85.78,3.23729e-06,0.234,3.237263001635498e-06,1.3221283671573628e-08,1,14.1177,5.20333e-06,-172.908,-5.163520291208298e-06,-6.424183147919892e-07,1,14.118,1.66242e-05,-0.012,1.6624199635390493e-05,-3.481764280665951e-09,5.0,1,38.758,48.063,3.508,3.571,4.101,3.722,7.426,3.387,1.62758,2.00038,-57.032,0.0,4.8,1.282,2.0,-0.2468,-0.2468,0.003192947944626212,-0.25287247706422017
249541.796829,1620398323.848664,267.0031,0,85.78,3.23729e-06,0.234,3.237263001635498e-06,1.3221283671573628e-08,1,14.1172,5.20193e-06,-172.836,-5.161319857249249e-06,-6.487318830338042e-07,1,14.118,1.66279e-05,-0.006,1.6627899908827336e-05,-1.7412696129716646e-09,5.0,1,38.757,48.063,3.508,3.571,4.097,3.722,7.426,3.387,1.62759,2.00033,-57.129,0.0,4.8,1.282,2.0,-0.2468,-0.2468,0.003192947944626212,-0.25331743119266054
249542.055746,1620398324.107581,267.0031,0,85.78,3.23729e-06,0.234,3.237263001635498e-06,1.3221283671573628e-08,1,14.1177,5.20193e-06,-172.824,-5.161183873961973e-06,-6.498128531007092e-07,1,14.118,1.66279e-05,-0.006,1.6627899908827336e-05,-1.7412696129716646e-09,5.0,1,38.757,48.063,3.409,3.571,4.097,3.722,7.403,3.387,1.62763,2.00033,-57.148,0.0,4.8,1.282,2.0,-0.2468,-0.2468,0.004374837968498468,-0.2534045871559633
249542.196701,1620398324.248536,267.0031,0,85.78,3.23729e-06,0.234,3.237263001635498e-06,1.3221283671573628e-08,1,14.1177,5.20193e-06,-172.818,-5.1611157974198895e-06,-6.503533274481312e-07,1,14.118,1.66298e-05,-0.006,1.662979990881692e-05,-1.7414685805060282e-09,5.0,1,38.76,48.06,3.321,3.625,4.093,3.722,7.378,3.387,1.62759,2.00027,-57.223,0.0,4.7,1.282,2.0,-0.2468,-0.2468,0.004374837968498468,-0.253748623853211
249542.742527,1620398324.794362,267.0031,0,85.78,3.23543e-06,0.234,3.235403017147534e-06,1.3213687321654675e-08,1,14.1177,5.20519e-06,-172.8,-5.164145522135106e-06,-6.523832940165823e-07,1,14.118,1.66335e-05,-0.012,1.6633499635186524e-05,-3.4837120680969367e-09,5.0,1,38.755,48.05,3.321,3.625,4.089,3.722,7.378,3.387,1.62767,2.00031,-57.295,0.0,4.8,1.282,2.0,-0.2474,-0.2474,0.003192947944626212,-0.2540788990825688
249543.008441,1620398325.060276,267.0031,0,85.78,3.23357e-06,0.234,3.2335430326595696e-06,1.3206090971735722e-08,1,14.1172,5.20566e-06,-172.8,-5.164611816044724e-06,-6.524422006363575e-07,1,14.118,1.66335e-05,-0.012,1.6633499635186524e-05,-3.4837120680969367e-09,5.0,1,38.755,48.05,3.302,3.625,4.089,3.722,7.378,3.387,1.62768,2.00032,-57.33,0.0,4.8,1.282,2.0,-0.2474,-0.2474,0.003586891805753112,-0.2542394495412844
249543.16439,1620398325.216225,267.0031,0,85.78,3.23357e-06,0.264,3.2335356747197413e-06,1.48991682568571e-08,1,14.1177,5.20705e-06,-172.794,-5.165922485322919e-06,-6.531573915489882e-07,1,14.118,1.66335e-05,-0.006,1.663349990879663e-05,-1.7418560435992626e-09,5.0,1,38.752,48.05,3.302,3.713,4.085,3.722,7.352,3.387,1.6277,2.00032,-57.364,0.0,4.8,1.282,2.0,-0.2474,-0.2474,0.003192947944626212,-0.2543954128440367
249543.688223,1620398325.740058,267.0031,0,85.78,3.22984e-06,0.294,3.2297974793929456e-06,1.657310191163446e-08,1,14.1177,5.21031e-06,-172.8,-5.169225149405836e-06,-6.530250001724315e-07,1,14.118,1.66354e-05,-0.006,1.6635399908786214e-05,-1.7420550111336264e-09,5.0,1,38.752,48.05,3.354,3.763,4.08,3.722,7.323,3.387,1.62762,2.00043,-57.448,0.0,4.8,1.282,2.0,-0.2474,-0.2474,0.003192947944626212,-0.25478073394495415
249543.95114,1620398326.002975,267.0031,0,85.78,3.22984e-06,0.294,3.2297974793929456e-06,1.657310191163446e-08,1,14.1177,5.21031e-06,-172.806,-5.1692935056803685e-06,-6.524836766010056e-07,1,14.118,1.66354e-05,-0.006,1.6635399908786214e-05,-1.7420550111336264e-09,5.0,1,38.752,48.046,3.354,3.763,4.08,3.722,7.323,3.387,1.62761,2.00034,-57.48,0.0,4.8,1.282,2.0,-0.2474,-0.2474,0.003192947944626212,-0.2549275229357798
249544.092095,1620398326.14393,267.0031,0,85.78,3.22984e-06,0.324,3.229788359003825e-06,1.826421756819854e-08,1,14.1177,5.21078e-06,-172.806,-5.1697598057561165e-06,-6.525425343902738e-07,1,14.118,1.66354e-05,-0.006,1.6635399908786214e-05,-1.7420550111336264e-09,5.0,1,38.752,48.046,3.439,3.777,4.08,3.722,7.292,3.387,1.6276,2.0003,-57.496,0.0,4.8,1.282,2.0,-0.2474,-0.2474,0.003586891805753112,-0.2550009174311927
249544.249043,1620398326.300878,267.0031,0,85.78,3.22984e-06,0.324,3.229788359003825e-06,1.826421756819854e-08,1,14.1177,5.21078e-06,-172.818,-5.1698963605584105e-06,-6.514597681245563e-07,1,14.118,1.66354e-05,-0.012,1.663539963514485e-05,-3.4841100031634822e-09,5.0,1,38.756,48.052,3.486,3.711,4.074,3.721,7.259,3.388,1.62754,2.00025,-57.557,0.0,4.8,1.282,2.0,-0.2474,-0.2474,0.004768779966980219,-0.25528073394495415
249544.796869,1620398326.848704,267.0031,0,85.78,3.22612e-06,0.414,3.226035782169462e-06,2.3310653407101334e-08,1,14.1172,5.20798e-06,-172.842,-5.167390612161259e-06,-6.489452532746428e-07,1,14.118,1.66354e-05,-0.012,1.663539963514485e-05,-3.4841100031634822e-09,5.0,1,38.756,48.063,3.486,3.711,4.069,3.721,7.259,3.388,1.62755,2.00035,-57.631,0.0,4.8,1.282,2.0,-0.2484,-0.2484,0.003586891805753112,-0.2556201834862385
249545.063783,1620398327.115618,267.0031,0,85.78,3.22612e-06,0.414,3.226035782169462e-06,2.3310653407101334e-08,1,14.1182,5.20752e-06,-172.848,-5.1670021203138e-06,-6.483468509005784e-07,1,14.118,1.66335e-05,-0.006,1.663349990879663e-05,-1.7418560435992626e-09,5.0,1,38.756,48.063,3.516,3.594,4.069,3.721,7.224,3.388,1.62749,2.00032,-57.646,0.0,4.8,1.282,2.0,-0.2484,-0.2484,0.003192947944626212,-0.2556889908256881
249545.204739,1620398327.256574,267.0031,0,85.78,3.22425e-06,0.414,3.2241658309857934e-06,2.329714153467524e-08,1,14.1172,5.20659e-06,-172.854,-5.166147210588331e-06,-6.476900698871413e-07,1,14.118,1.66335e-05,-0.006,1.663349990879663e-05,-1.7418560435992626e-09,5.0,1,38.755,48.05,3.516,3.594,4.063,3.72,7.224,3.388,1.62739,2.00032,-57.688,0.0,4.7,1.282,2.0,-0.2484,-0.2484,0.003980864770710468,-0.2558816513761468
