time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
162883.710098,1620311665.761933,149.9978,0,85.78,3.60982e-06,11.34,3.5393477344041223e-06,7.098014140366357e-07,1,13.8893,2.36892e-05,-177.018,-2.3657123100982764e-05,-1.232364891153464e-06,1,13.89,2.41195e-05,2.334,2.409949057142776e-05,9.822598676849783e-07,5.0,1,39.302,48.384,3.258,3.594,3.353,3.548,5.784,3.358,14.161,14.9936,4155.3,1.9,21.9,14.165,15.0,15.9751,15.9751,0.007587510626763105,15.903683870449886
162883.954018,1620311666.005853,149.9978,0,85.78,3.60982e-06,11.37,3.538975598103669e-06,7.11654514794067e-07,1,13.8893,2.36892e-05,-177.018,-2.3657123100982764e-05,-1.232364891153464e-06,1,13.89,2.41214e-05,2.334,2.4101388995196316e-05,9.8233724465169e-07,5.0,1,39.302,48.384,3.281,3.594,3.353,3.548,5.784,3.358,14.1613,14.9925,4155.2,1.8,22.4,14.165,15.0,15.9751,15.9751,0.007193454075604677,15.90340563902834
162884.110968,1620311666.162803,149.9978,0,85.78,3.60796e-06,11.406,3.536704487972866e-06,7.135101445337633e-07,1,13.8898,2.36874e-05,-177.012,-2.3655196365465365e-05,-1.234748424284995e-06,1,13.89,2.41232e-05,2.334,2.4103187501924424e-05,9.824105491464695e-07,5.0,1,39.301,48.372,3.355,3.683,3.353,3.548,5.786,3.358,14.1637,15.006,4155.2,1.8,21.7,14.165,15.0,15.9751,15.9751,0.005223133135586977,15.903405408994166
162884.757761,1620311666.809596,149.9978,0,85.78,3.59678e-06,11.544,3.5240218599464486e-06,7.197890656432435e-07,1,13.8898,2.36818e-05,-177.006,-2.3649474577153478e-05,-1.2369330881544854e-06,1,13.89,2.41288e-05,2.304,2.4109294059758137e-05,9.700151442688249e-07,5.0,1,39.301,48.382,3.427,3.683,3.353,3.548,5.784,3.358,14.1637,15.001,4155.4,1.8,22.4,14.165,15.0,15.9745,15.9745,0.006405339576303959,15.903961814351435
162885.135153,1620311667.186988,149.9978,0,85.78,3.59306e-06,11.526,3.5206028314669333e-06,7.179386231893452e-07,1,13.8893,2.36818e-05,-177.006,-2.3649474577153478e-05,-1.2369330881544854e-06,1,13.89,2.41307e-05,2.292,2.4111395170456182e-05,9.650416696195785e-07,5.0,1,39.295,48.382,3.461,3.652,3.353,3.548,5.784,3.358,14.1654,14.9903,4155.3,1.8,22.6,14.165,15.0,15.9745,15.9745,0.007981566712260246,15.90368344873908
162885.633993,1620311667.685828,149.9978,0,85.78,3.58933e-06,11.49,3.5173979817563523e-06,7.149834171757689e-07,1,13.8893,2.36781e-05,-176.994,-2.364552008682409e-05,-1.2416921653930448e-06,1,13.89,2.41307e-05,2.262,2.4111897159931845e-05,9.52416840921393e-07,5.0,1,39.302,48.382,3.461,3.552,3.353,3.548,5.784,3.358,14.1631,14.9938,4155.2,1.9,23.0,14.165,15.0,15.9745,15.9745,0.006405339576303959,15.903405466502708
162885.902909,1620311667.954744,149.9978,0,85.78,3.58933e-06,11.46,3.51777186402375e-06,7.131416139750021e-07,1,13.8898,2.36762e-05,-176.994,-2.3643622701131616e-05,-1.2415925283818722e-06,1,13.89,2.41307e-05,2.25,2.411209610481401e-05,9.473668361373569e-07,5.0,1,39.302,48.392,3.434,3.552,3.353,3.548,5.784,3.358,14.1636,14.9977,4155.2,1.8,22.2,14.165,15.0,15.9745,15.9745,0.007587510626763105,15.903405418578922
162886.039865,1620311668.0917,149.9978,0,85.78,3.58747e-06,11.442,3.5161726960717174e-06,7.1166745907042e-07,1,13.8893,2.36743e-05,-176.994,-2.3641725315439145e-05,-1.2414928913706998e-06,1,13.89,2.41307e-05,2.238,2.41122939920213e-05,9.423167897971612e-07,5.0,1,39.302,48.392,3.434,3.552,3.353,3.548,5.782,3.358,14.1642,14.994,4155.2,1.8,23.1,14.165,15.0,15.9745,15.9745,0.007587510626763105,15.903405361070377
162886.194814,1620311668.246649,149.9978,0,85.78,3.58561e-06,11.388,3.515018483761688e-06,7.079859680203292e-07,1,13.8903,2.36706e-05,-176.988,-2.36379002883365e-05,-1.2437742233465363e-06,1,13.89,2.41325e-05,2.226,2.4114289463253663e-05,9.37336616383571e-07,5.0,1,39.303,48.383,3.312,3.492,3.353,3.548,5.782,3.358,14.1685,15.0039,4155.3,1.8,22.9,14.165,15.0,15.9745,15.9745,0.007587510626763105,15.90368315162465
162886.697653,1620311668.749488,149.9978,0,85.78,3.58002e-06,11.244,3.511304039427635e-06,6.980595555532318e-07,1,13.8898,2.3665e-05,-176.982,-2.363217767795092e-05,-1.2459547334306816e-06,1,13.89,2.41344e-05,2.202,2.411657857533779e-05,9.2730856760753e-07,5.0,1,39.3,48.383,3.312,3.501,3.353,3.548,5.782,3.358,14.1686,14.9928,4155.2,1.8,23.6,14.165,15.0,15.9751,15.9751,0.008375621400773525,15.90340493934106
162886.875596,1620311668.927431,149.9978,0,85.78,3.57816e-06,11.196,3.510063010374472e-06,6.947565392285996e-07,1,13.8898,2.36613e-05,-176.982,-2.362848280968942e-05,-1.2457599296058899e-06,1,13.89,2.41344e-05,2.19,2.4116772261452856e-05,9.222575829008373e-07,5.0,1,39.3,48.374,3.312,3.501,3.353,3.548,5.782,3.358,14.1689,14.9838,4155.1,1.8,23.3,14.165,15.0,15.9751,15.9751,0.007587510626763105,15.903126707886267
162887.01855,1620311669.070385,149.9978,0,85.78,3.57816e-06,11.142,3.5107162439575515e-06,6.914480747045175e-07,1,13.8898,2.36594e-05,-176.976,-2.3626454870160283e-05,-1.2481340586168668e-06,1,13.89,2.41344e-05,2.184,2.411686870780592e-05,9.197320753631142e-07,5.0,1,39.3,48.374,3.264,3.501,3.353,3.548,5.783,3.358,14.1687,14.9767,4155.2,1.8,23.7,14.165,15.0,15.9751,15.9751,0.007587510626763105,15.903404929756299
162887.157516,1620311669.209351,149.9978,0,85.78,3.57816e-06,11.088,3.5113663590966172e-06,6.881389959917745e-07,1,13.8898,2.36576e-05,-176.976,-2.3624657376615802e-05,-1.2480391009549857e-06,1,13.89,2.41344e-05,2.178,2.411696488968792e-05,9.172065577394002e-07,5.0,1,39.303,48.386,3.267,3.641,3.353,3.548,5.785,3.358,14.1689,14.9743,4155.2,1.8,22.7,14.165,15.0,15.9751,15.9751,0.007587510626763105,15.903404910586787
162887.70933,1620311669.761165,149.9978,0,85.78,3.57443e-06,10.884,3.5101312938039494e-06,6.749282370431771e-07,1,13.8903,2.36501e-05,-176.964,-2.3616905996368055e-05,-1.252589784691922e-06,1,13.89,2.41344e-05,2.148,2.4117441831995225e-05,9.045788193003114e-07,5.0,1,39.305,48.386,3.267,3.641,3.353,3.548,5.785,3.358,14.1667,14.9929,4155.3,1.9,22.3,14.165,15.0,15.9751,15.9751,0.007981566712260246,15.903683324142708
162887.960249,1620311670.012084,149.9978,0,85.78,3.57257e-06,10.836,3.5088686535844905e-06,6.716376826773223e-07,1,13.8903,2.36501e-05,-176.964,-2.3616905996368055e-05,-1.252589784691922e-06,1,13.89,2.41344e-05,2.142,2.4117536427028824e-05,9.020532417422597e-07,5.0,1,39.305,48.386,3.331,3.641,3.353,3.548,5.785,3.358,14.1671,14.998,4155.2,1.8,22.4,14.165,15.0,15.9751,15.9751,0.006405339576303959,15.903405083112418
162888.1162,1620311670.168035,149.9978,0,85.78,3.57257e-06,10.752,3.509849554556699e-06,6.66492692591704e-07,1,13.8893,2.36483e-05,-176.964,-2.3615108522750885e-05,-1.2524944505659587e-06,1,13.89,2.41344e-05,2.136,2.4117630757584042e-05,8.995276542920874e-07,5.0,1,39.3,48.378,3.331,3.677,3.353,3.548,5.785,3.358,14.1658,15.0046,4155.3,1.9,22.6,14.165,15.0,15.9751,15.9751,0.007587510626763105,15.903683410401735
