time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
215172.311076,1620363954.362911,243.9997,0,85.78,3.44777e-06,1.854,3.445965135550781e-06,1.1154486751296434e-07,1,13.8903,3.36442e-06,-169.38,-3.3067911126901394e-06,-6.200439286320858e-07,1,13.89,1.78331e-05,0.45,1.78325499851953e-05,1.4005939993847808e-07,5.0,1,38.42,47.359,3.547,3.606,3.56,3.564,5.842,3.46,2.27316,3.00803,-1358.5,0.4,9.6,2.273,3.0,-6.1823,-6.1823,0.00865253247320652,-6.210015424164525
215174.477382,1620363956.529217,243.4075,1,85.78,3.43659e-06,1.752,3.434983477452353e-06,1.0506825271859763e-07,1,13.8898,3.38491e-06,-168.72,-3.3195236830714254e-06,-6.621013711116427e-07,1,13.89,1.78312e-05,0.372,1.7830824171539592e-05,1.1577047827215403e-07,5.0,1,38.412,47.362,3.507,3.505,3.559,3.564,5.84,3.46,2.27326,3.01258,-1358.48,0.4,9.4,2.273,3.0,-6.1823,-6.1823,0.008258683606982231,-6.209933161953728
215175.001217,1620363957.053052,243.2266,1,85.78,3.43473e-06,1.806,3.4330238513111654e-06,1.0824698253832228e-07,1,13.8898,3.40586e-06,-168.732,-3.3402084470488925e-06,-6.654997143975543e-07,1,13.89,1.78145e-05,0.408,1.78140483345527e-05,1.2685497317888453e-07,5.0,1,38.412,47.362,3.507,3.478,3.559,3.564,5.839,3.46,2.27344,3.01491,-1358.48,0.4,9.5,2.273,3.0,-6.1823,-6.1823,0.00786486454308033,-6.209933161953728
215175.160186,1620363957.212021,243.1786,1,85.78,3.43287e-06,1.866,3.431049599321811e-06,1.117814112168883e-07,1,13.8898,3.41424e-06,-168.744,-3.3485665651260522e-06,-6.664358457645518e-07,1,13.89,1.78051e-05,0.414,1.780463519804145e-05,1.28652534617057e-07,5.0,1,38.416,47.362,3.507,3.478,3.559,3.564,5.839,3.46,2.27361,3.01473,-1358.49,0.4,9.5,2.273,3.0,-6.1823,-6.1823,0.009440227411687374,-6.209974293059126
215175.302141,1620363957.353976,243.1296,1,85.78,3.43101e-06,1.89,3.429143487293249e-06,1.1315725188557371e-07,1,13.8898,3.42309e-06,-168.762,-3.357456078022031e-06,-6.671085610700264e-07,1,13.89,1.7794e-05,0.426,1.7793508169425218e-05,1.3229899696536827e-07,5.0,1,38.416,47.36,3.383,3.478,3.559,3.564,5.839,3.46,2.27378,3.01557,-1358.53,0.4,9.4,2.273,3.0,-6.1823,-6.1823,0.008258683606982231,-6.21013881748072
215175.476084,1620363957.527919,243.0643,1,85.78,3.42914e-06,1.95,3.427154191992891e-06,1.1668454870100247e-07,1,13.8903,3.44963e-06,-168.858,-3.384608870660699e-06,-6.666107781493684e-07,1,13.89,1.77586e-05,0.468,1.7758007589488037e-05,1.4505313400713877e-07,5.0,1,38.412,47.362,3.342,3.496,3.559,3.564,5.841,3.459,2.27379,3.01356,-1358.52,0.4,9.7,2.273,3.0,-6.1828,-6.1828,0.00865253247320652,-6.210097686375322
215176.065954,1620363958.117789,242.8704,1,85.78,3.42542e-06,2.088,3.4231456804064174e-06,1.248031534653107e-07,1,13.8898,3.45615e-06,-168.888,-3.391355208408513e-06,-6.660950929863188e-07,1,13.89,1.77493e-05,0.468,1.7748707899727457e-05,1.4497717114146993e-07,5.0,1,38.409,47.362,3.342,3.562,3.559,3.564,5.841,3.459,2.2739,3.01475,-1358.52,0.4,9.4,2.273,3.0,-6.1828,-6.1828,0.00865253247320652,-6.210097686375322
215176.211907,1620363958.263742,242.822,1,85.78,3.42356e-06,2.118,3.4212211350852e-06,1.265267499240117e-07,1,13.8893,3.46267e-06,-168.942,-3.398380428532369e-06,-6.641490735280363e-07,1,13.89,1.77418e-05,0.48,1.7741177409695148e-05,1.4863161750637725e-07,5.0,1,38.409,47.36,3.342,3.562,3.559,3.564,5.841,3.459,2.2741,3.01196,-1358.5,0.4,9.7,2.273,3.0,-6.1828,-6.1828,0.00865253247320652,-6.210015424164525
215176.459827,1620363958.511662,242.7454,1,85.78,3.42356e-06,2.118,3.4212211350852e-06,1.265267499240117e-07,1,13.8898,3.46547e-06,-168.972,-3.4014760050097943e-06,-6.629052030589377e-07,1,13.89,1.77381e-05,0.486,1.7737461880857318e-05,1.5045808430763416e-07,5.0,1,38.412,47.358,3.424,3.664,3.559,3.564,5.842,3.459,2.27423,3.01083,-1358.48,0.4,9.7,2.273,3.0,-6.1828,-6.1828,0.00904637947678566,-6.209933161953728
215177.071633,1620363959.123468,242.5384,1,85.78,3.42356e-06,2.148,3.421154416863298e-06,1.2831807969552895e-07,1,13.8893,3.46779e-06,-169.086,-3.4050662743371437e-06,-6.565753204863566e-07,1,13.89,1.77437e-05,0.468,1.774310808653829e-05,1.4493143006106722e-07,5.0,1,38.412,47.358,3.424,3.664,3.559,3.564,5.842,3.459,2.27409,3.01015,-1358.49,0.4,9.5,2.273,3.0,-6.1828,-6.1828,0.00865253247320652,-6.209974293059126
