time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
245600.806172,1620394382.858007,216.2005,0,85.78,4.10902e-06,8.49,4.06399190386523e-06,6.066425353681193e-07,1,14.1177,4.76468e-06,-9.672,4.696953365368087e-06,-8.005027082761167e-07,1,14.118,2.13777e-05,2.19,2.1362085752024527e-05,8.169146914768642e-07,5.0,1,39.332,48.487,3.572,3.676,3.497,3.665,5.891,3.522,2.27351,3.01601,-4121.0,0.4,8.7,2.273,3.0,-15.9729,-15.9729,0.008314382284879684,-15.922100035473571
245602.977867,1620394385.029702,216.5176,1,85.78,4.09785e-06,8.82,4.049392592276063e-06,6.283265521365042e-07,1,14.1177,4.76607e-06,-9.54,4.700155901176896e-06,-7.899099629274164e-07,1,14.118,2.13777e-05,2.184,2.1362171182000073e-05,8.146776546129196e-07,5.0,1,39.332,48.487,3.605,3.676,3.497,3.664,5.889,3.522,2.27351,3.0159,-4121.0,0.4,8.7,2.273,3.0,-15.9729,-15.9729,0.008314382284879684,-15.922100035473571
245603.584674,1620394385.636509,216.6171,1,85.78,4.09785e-06,9.03,4.047062461351734e-06,6.431640975813618e-07,1,14.1177,4.75722e-06,-9.564,4.691097621588206e-06,-7.904082699019967e-07,1,14.118,2.13758e-05,2.172,2.136044270420484e-05,8.101315451099169e-07,5.0,1,39.333,48.494,3.567,3.535,3.496,3.663,5.888,3.522,2.27377,3.02098,-4121.1,0.4,8.6,2.273,3.0,-15.9729,-15.9729,0.00870834942907095,-15.922383824051082
245603.771613,1620394385.823448,216.6533,1,85.78,4.09785e-06,9.102,4.046251042290826e-06,6.482492770997932e-07,1,14.1177,4.7549e-06,-9.576,4.688644303310125e-06,-7.910048084793905e-07,1,14.118,2.13758e-05,2.166,2.136052742385997e-05,8.0789468034273e-07,5.0,1,39.341,48.494,3.567,3.535,3.496,3.663,5.888,3.522,2.27378,3.02087,-4121.0,0.4,8.6,2.273,3.0,-15.9729,-15.9729,0.008314382284879684,-15.922100035473571
245603.910569,1620394385.962404,216.6713,1,85.78,4.09785e-06,9.198,4.045159211081678e-06,6.550279226880786e-07,1,14.1177,4.75303e-06,-9.582,4.686717533300792e-06,-7.911845195344391e-07,1,14.118,2.13758e-05,2.16,2.1360611909270706e-05,8.056578067159868e-07,5.0,1,39.341,48.487,3.567,3.535,3.496,3.663,5.888,3.522,2.27402,3.02286,-4121.1,0.4,8.5,2.273,3.0,-15.9729,-15.9729,0.00870834942907095,-15.922383824051082
245604.084512,1620394386.136347,216.7019,1,85.78,4.09599e-06,9.318,4.041942995676782e-06,6.63197481749897e-07,1,14.1182,4.74931e-06,-9.606,4.6827178712772815e-06,-7.925268538796447e-07,1,14.118,2.1374e-05,2.16,2.1358813188219952e-05,8.055899643871809e-07,5.0,1,39.329,48.495,3.445,3.547,3.495,3.663,5.887,3.521,2.27451,3.02334,-4121.0,0.4,8.5,2.273,3.0,-15.974,-15.974,0.00870834942907095,-15.922100035473571
245604.672325,1620394386.72416,216.8021,1,85.78,4.09971e-06,9.756,4.040421303491418e-06,6.947069701627504e-07,1,14.1177,4.74093e-06,-9.696,4.6732069028249265e-06,-7.98470104818871e-07,1,14.118,2.13665e-05,2.142,2.1351570458271654e-05,7.98599533847371e-07,5.0,1,39.329,48.495,3.405,3.62,3.495,3.663,5.888,3.521,2.27476,3.02441,-4121.1,0.4,8.6,2.273,3.0,-15.974,-15.974,0.00870834942907095,-15.922383824051082
245604.81428,1620394386.866115,216.826,1,85.78,4.09971e-06,9.828,4.039545119007267e-06,6.997837634616644e-07,1,14.1182,4.73906e-06,-9.72,4.67102887508681e-06,-8.001118245003286e-07,1,14.118,2.13647e-05,2.142,2.1349771715996365e-05,7.985322566067876e-07,5.0,1,39.338,48.495,3.405,3.62,3.495,3.663,5.888,3.521,2.27468,3.02425,-4121.0,0.4,8.5,2.273,3.0,-15.974,-15.974,0.008314382284879684,-15.922100035473571
245604.972228,1620394387.024063,216.8504,1,85.78,4.09971e-06,9.948,4.0380706366812255e-06,7.08242625992589e-07,1,14.1177,4.7372e-06,-9.756,4.668692126735683e-06,-8.02731378330414e-07,1,14.118,2.13591e-05,2.136,2.13442591120688e-05,7.960877884177823e-07,5.0,1,39.338,48.485,3.405,3.62,3.495,3.662,5.888,3.521,2.27494,3.02513,-4121.1,0.4,8.5,2.273,3.0,-15.974,-15.974,0.008314382284879684,-15.922383824051082
245605.112186,1620394387.164021,216.8744,1,85.78,4.09971e-06,10.014,4.037252120838813e-06,7.128936785261228e-07,1,14.1177,4.73394e-06,-9.816,4.664636673987745e-06,-8.07064200227308e-07,1,14.118,2.13535e-05,2.136,2.1338663003102246e-05,7.958790674690935e-07,5.0,1,39.333,48.488,3.462,3.695,3.495,3.662,5.889,3.521,2.27508,3.0261,-4121.0,0.4,8.4,2.273,3.0,-15.974,-15.974,0.00870834942907095,-15.922100035473571
