time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
162922.912793,1620311704.964628,149.9978,0,85.78,3.6061e-06,10.518,3.5455088944410366e-06,6.582734154130028e-07,1,13.8893,2.36725e-05,-176.958,-2.3639143132187745e-05,-1.2562516570898342e-06,1,13.89,2.41307e-05,2.166,2.4113459103609585e-05,9.120156514818773e-07,5.0,1,39.308,48.387,3.275,3.657,3.353,3.548,5.785,3.358,14.16,14.9596,4155.2,1.8,23.6,14.165,15.0,15.9751,15.9751,0.006799397058784962,15.903405763630188
162925.173454,1620311707.225289,149.6805,1,85.78,3.60796e-06,10.458,3.548025394687005e-06,6.548978242872132e-07,1,13.8898,2.36557e-05,-177.042,-2.3624181871702434e-05,-1.2207265798392919e-06,1,13.89,2.41325e-05,2.178,2.4115066262280963e-05,9.171343499173825e-07,5.0,1,39.308,48.387,3.346,3.68,3.353,3.548,5.785,3.358,14.1605,14.9647,4155.3,1.9,23.5,14.165,15.0,15.9751,15.9751,0.007587510626763105,15.903683918371568
162925.323406,1620311707.375241,149.6562,1,85.78,3.60796e-06,10.488,3.547682004648092e-06,6.567554761828013e-07,1,13.8898,2.3652e-05,-177.048,-2.3620614486148672e-05,-1.2180621070961259e-06,1,13.89,2.41381e-05,2.184,2.41205660201161e-05,9.198730777778767e-07,5.0,1,39.297,48.383,3.346,3.68,3.354,3.548,5.785,3.358,14.1604,14.9707,4155.3,1.8,24.6,14.165,15.0,15.9751,15.9751,0.007587510626763105,15.903683927955907
162925.845241,1620311707.897076,149.5506,1,85.78,3.60982e-06,10.614,3.5480573226987894e-06,6.648982382616901e-07,1,13.8898,2.36352e-05,-177.054,-2.3603964114398936e-05,-1.214725123707932e-06,1,13.89,2.41474e-05,2.208,2.4129471683685277e-05,9.303349000388872e-07,5.0,1,39.299,48.382,3.424,3.659,3.353,3.548,5.784,3.358,14.1627,14.9716,4155.2,1.9,22.2,14.165,15.0,15.9751,15.9751,0.007587510626763105,15.903405504841738
162926.124151,1620311708.175986,149.5201,1,85.78,3.60982e-06,10.644,3.5477086964512264e-06,6.667559055039103e-07,1,13.8893,2.36315e-05,-177.048,-2.3600141689050495e-05,-1.217006370871051e-06,1,13.89,2.41493e-05,2.22,2.4131174879548102e-05,9.354621438982506e-07,5.0,1,39.299,48.382,3.449,3.659,3.353,3.548,5.784,3.358,14.163,14.9768,4155.3,1.8,22.9,14.165,15.0,15.9729,15.9729,0.007587510626763105,15.903683678763159
162926.267104,1620311708.318939,149.4959,1,85.78,3.61168e-06,10.686,3.549046729846473e-06,6.697012257462698e-07,1,13.8898,2.36296e-05,-177.048,-2.359824421029506e-05,-1.2169085221477515e-06,1,13.89,2.41493e-05,2.22,2.4131174879548102e-05,9.354621438982506e-07,5.0,1,39.299,48.382,3.449,3.563,3.353,3.548,5.784,3.358,14.1647,14.9478,4155.3,1.8,24.9,14.165,15.0,15.9729,15.9729,0.007587510626763105,15.903683515829439
162926.419056,1620311708.470891,149.4776,1,85.78,3.61355e-06,10.71,3.5506033200083243e-06,6.715353054351378e-07,1,13.8898,2.36259e-05,-177.048,-2.3594549120087093e-05,-1.2167179746339575e-06,1,13.89,2.4153e-05,2.232,2.4134675620447212e-05,9.406602446106304e-07,5.0,1,39.298,48.382,3.456,3.491,3.353,3.548,5.782,3.358,14.1654,14.9664,4155.2,1.8,22.8,14.165,15.0,15.9729,15.9729,0.007981566712260246,15.903405246053293
162926.929892,1620311708.981727,149.3708,1,85.78,3.62286e-06,10.872,3.5578333036240027e-06,6.833277129049534e-07,1,13.8903,2.3624e-05,-177.048,-2.359265164133165e-05,-1.2166201259106578e-06,1,13.89,2.41605e-05,2.244,2.4141972328260355e-05,9.460086424083496e-07,5.0,1,39.298,48.379,3.456,3.491,3.353,3.548,5.782,3.358,14.1649,14.9646,4155.3,1.9,24.0,14.165,15.0,15.9729,15.9729,0.007193454075604677,15.903683496660761
162927.199809,1620311709.251644,149.3402,1,85.78,3.62286e-06,10.896,3.5575467598612658e-06,6.848179546424062e-07,1,13.8898,2.3624e-05,-177.048,-2.359265164133165e-05,-1.2166201259106578e-06,1,13.89,2.41623e-05,2.244,2.4143770947916027e-05,9.46079121726093e-07,5.0,1,39.298,48.379,3.353,3.491,3.353,3.548,5.782,3.358,14.1654,14.9815,4155.1,1.9,21.8,14.165,15.0,15.9729,15.9729,0.007587510626763105,15.903127043367505
162927.339764,1620311709.391599,149.3218,1,85.78,3.62472e-06,10.944,3.558797972336061e-06,6.881511974099424e-07,1,13.8898,2.36222e-05,-177.048,-2.359085402987913e-05,-1.2165274271201635e-06,1,13.89,2.41642e-05,2.244,2.4145669490885907e-05,9.461535165614886e-07,5.0,1,39.299,48.39,3.271,3.49,3.353,3.548,5.782,3.358,14.1641,15.0097,4155.2,1.9,24.6,14.165,15.0,15.9729,15.9729,0.007587510626763105,15.903405370655138
162927.913581,1620311709.965416,149.2049,1,85.78,3.6359e-06,11.124,3.5675884726238987e-06,7.014850675538853e-07,1,13.8903,2.3624e-05,-177.042,-2.359252410780904e-05,-1.2190907359377837e-06,1,13.89,2.41679e-05,2.226,2.414966275019033e-05,9.38711596854719e-07,5.0,1,39.302,48.384,3.271,3.554,3.353,3.548,5.782,3.358,14.1619,15.0052,4155.2,1.8,22.9,14.165,15.0,15.9756,15.9756,0.007193454075604677,15.903405581519795
162928.203488,1620311710.255323,149.1744,1,85.78,3.6359e-06,11.178,3.5669257541405335e-06,7.048471284250121e-07,1,13.8898,2.3624e-05,-177.036,-2.359239631556545e-05,-1.2215613325960734e-06,1,13.89,2.41679e-05,2.214,2.4149858823824626e-05,9.336536827646027e-07,5.0,1,39.302,48.384,3.255,3.609,3.353,3.548,5.783,3.358,14.1626,14.9975,4155.2,1.8,23.7,14.165,15.0,15.9756,15.9756,0.007587510626763105,15.903405514426495
162928.344442,1620311710.396277,149.1502,1,85.78,3.63962e-06,11.196,3.5703533474800276e-06,7.06689973424105e-07,1,13.8898,2.36259e-05,-177.036,-2.3594293773785885e-05,-1.2216595787242451e-06,1,13.89,2.41661e-05,2.208,2.4148157799808956e-05,9.310553611498443e-07,5.0,1,39.301,48.384,3.255,3.609,3.353,3.548,5.783,3.358,14.1624,14.9944,4155.3,1.9,24.0,14.165,15.0,15.9756,15.9756,0.007193454075604677,15.903683736269175
162928.863279,1620311710.915114,149.0654,1,85.78,3.64335e-06,11.31,3.572597762678331e-06,7.145239314437143e-07,1,13.8898,2.36315e-05,-177.024,-2.359962984019278e-05,-1.2268918680480914e-06,1,13.89,2.41586e-05,2.172,2.4141243420775037e-05,9.155981972928469e-07,5.0,1,39.302,48.384,3.307,3.671,3.353,3.548,5.785,3.358,14.1629,14.997,4155.2,1.8,22.6,14.165,15.0,15.9756,15.9756,0.007981566712260246,15.903405485672224
162929.078216,1620311711.130051,149.0288,1,85.78,3.64707e-06,11.358,3.5756450576680917e-06,7.182492648612638e-07,1,13.8898,2.36315e-05,-177.024,-2.359962984019278e-05,-1.2268918680480914e-06,1,13.89,2.41549e-05,2.16,2.413773728268617e-05,9.104025933740019e-07,5.0,1,39.302,48.387,3.307,3.671,3.353,3.548,5.785,3.358,14.1639,14.9967,4155.2,1.8,23.3,14.165,15.0,15.9756,15.9756,0.007981566712260246,15.903405389824652
162929.22317,1620311711.275005,149.0046,1,85.78,3.64707e-06,11.382,3.5753438844376838e-06,7.197469645049239e-07,1,13.8893,2.36334e-05,-177.018,-2.3601398658239453e-05,-1.2294620510015652e-06,1,13.89,2.41493e-05,2.154,2.41322364443539e-05,9.076644114415536e-07,5.0,1,39.302,48.387,3.373,3.671,3.353,3.548,5.785,3.358,14.1643,14.9956,4155.2,1.8,23.3,14.165,15.0,15.9756,15.9756,0.007587510626763105,15.903405351485624
162929.364125,1620311711.41596,148.9804,1,85.78,3.64707e-06,11.406,3.5750420838787564e-06,7.212445378620472e-07,1,13.8898,2.36371e-05,-177.018,-2.360509364817046e-05,-1.2296545332338596e-06,1,13.89,2.41474e-05,2.142,2.413052734346144e-05,9.025391329242509e-07,5.0,1,39.298,48.377,3.432,3.685,3.354,3.548,5.785,3.358,14.1645,15.0023,4155.3,1.8,23.2,14.165,15.0,15.9756,15.9756,0.007193454075604677,15.903683534998105
162929.890955,1620311711.94279,148.8766,1,85.78,3.65452e-06,11.442,3.5818901457707e-06,7.249685607188441e-07,1,13.8893,2.36408e-05,-177.0,-2.360840110522593e-05,-1.2372638743481858e-06,1,13.89,2.41381e-05,2.118,2.412160963464933e-05,8.92087576189927e-07,5.0,1,39.297,48.377,3.432,3.612,3.353,3.548,5.784,3.358,14.1657,14.9843,4155.2,1.8,22.8,14.165,15.0,15.9745,15.9745,0.007587510626763105,15.903405217299019
162930.15887,1620311712.210705,148.8525,1,85.78,3.65639e-06,11.436,3.5837989191569064e-06,7.249642330141449e-07,1,13.8893,2.36408e-05,-177.0,-2.360840110522593e-05,-1.2372638743481858e-06,1,13.89,2.41381e-05,2.112,2.4121702921580163e-05,8.895615622490936e-07,5.0,1,39.297,48.377,3.464,3.612,3.353,3.548,5.783,3.358,14.166,14.9774,4155.2,1.8,23.8,14.165,15.0,15.9745,15.9745,0.007587510626763105,15.903405188544747
162930.312821,1620311712.364656,148.8223,1,85.78,3.65825e-06,11.43,3.585697929220971e-06,7.249575317771669e-07,1,13.8898,2.36408e-05,-176.988,-2.360814145549777e-05,-1.2422083791408243e-06,1,13.89,2.414e-05,2.112,2.412360163090488e-05,8.8963158296192e-07,5.0,1,39.294,48.377,3.464,3.508,3.353,3.548,5.783,3.358,14.1658,14.9739,4155.2,1.8,22.9,14.165,15.0,15.9745,15.9745,0.006799397058784962,15.90340520771426
162930.919628,1620311712.971463,148.7052,1,85.78,3.6657e-06,11.4,3.593380044810846e-06,7.245525126277628e-07,1,13.8898,2.36315e-05,-176.97,-2.3598463040665445e-05,-1.2491334469731458e-06,1,13.89,2.41549e-05,2.112,2.4138491509293472e-05,8.901806927625055e-07,5.0,1,39.303,48.383,3.414,3.488,3.353,3.548,5.781,3.358,14.1639,14.979,4155.3,1.9,24.5,14.165,15.0,15.9745,15.9745,0.006799397058784962,15.90368359250413
162931.169547,1620311713.221382,148.6807,1,85.78,3.6657e-06,11.4,3.593380044810846e-06,7.245525126277628e-07,1,13.8898,2.36278e-05,-176.97,-2.35947682132846e-05,-1.2489378693012334e-06,1,13.89,2.41586e-05,2.112,2.4142188995873185e-05,8.90317048887483e-07,5.0,1,39.303,48.383,3.289,3.488,3.353,3.548,5.782,3.358,14.162,14.9936,4155.2,1.9,21.6,14.165,15.0,15.9745,15.9745,0.007587510626763105,15.90340557193504
162931.348491,1620311713.400326,148.6507,1,85.78,3.66756e-06,11.37,3.595582423661316e-06,7.230376119247299e-07,1,13.8898,2.3624e-05,-176.958,-2.3590711473431333e-05,-1.2536778602636071e-06,1,13.89,2.41642e-05,2.112,2.4147785191777622e-05,8.90523425725287e-07,5.0,1,39.299,48.375,3.258,3.531,3.353,3.548,5.783,3.358,14.1628,14.9946,4155.2,1.8,23.1,14.165,15.0,15.9751,15.9751,0.006799397058784962,15.903405495256981
162931.87932,1620311713.931155,148.5441,1,85.78,3.66756e-06,11.346,3.5958849734993282e-06,7.21531434493144e-07,1,13.8893,2.36073e-05,-176.94,-2.3573640265942603e-05,-1.260197564641984e-06,1,13.89,2.41773e-05,2.112,2.416087629291121e-05,8.910062001137211e-07,5.0,1,39.298,48.377,3.258,3.588,3.353,3.548,5.783,3.359,14.1617,14.9884,4155.2,1.8,22.6,14.165,15.0,15.9751,15.9751,0.007587510626763105,15.903405600689311
162932.134239,1620311714.186074,148.5196,1,85.78,3.6657e-06,11.322,3.5943630892167736e-06,7.196599703165738e-07,1,13.8898,2.36054e-05,-176.94,-2.3571742974998475e-05,-1.2600961394314423e-06,1,13.89,2.41791e-05,2.112,2.4162675070166207e-05,8.910725355258724e-07,5.0,1,39.298,48.377,3.276,3.588,3.353,3.548,5.783,3.359,14.1623,14.9875,4155.3,1.8,23.4,14.165,15.0,15.9751,15.9751,0.007981566712260246,15.903683745853511
