time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
217092.936167,1620365874.988002,176.9997,0,85.78,4.23196e-06,7.806,4.192745062926901e-06,5.747819403061398e-07,1,13.8898,7.33466e-06,-5.388,7.302252925283048e-06,-6.887231162050285e-07,1,13.89,2.40655e-05,1.962,2.4051391683418695e-05,8.239225332384762e-07,5.0,1,38.704,47.59,3.615,3.66,3.831,3.988,9.444,3.693,2.27275,3.00184,-4123.4,0.4,8.9,2.273,3.0,-15.9734,-15.9734,0.009003925137221813,-15.928910961333806
217095.568326,1620365877.620161,177.1517,1,85.78,4.22823e-06,7.974,4.187347757989389e-06,5.865557829919014e-07,1,13.8898,7.40404e-06,-4.692,7.37922771351475e-06,-6.05645666785361e-07,1,13.89,2.41549e-05,2.046,2.4139500908769318e-05,8.623745621975255e-07,5.0,1,38.704,47.59,3.577,3.737,3.831,3.986,9.353,3.693,2.27334,3.00985,-4123.6,0.4,9.0,2.273,3.0,-15.9734,-15.9734,0.008610078133642673,-15.929478538488826
217095.728272,1620365877.780107,177.1669,1,85.78,4.22823e-06,8.016,4.186916665156773e-06,5.89625111348289e-07,1,13.8898,7.41243e-06,-4.686,7.387653051524351e-06,-6.055583334435537e-07,1,13.89,2.41605e-05,2.046,2.4145097338689917e-05,8.62574492544921e-07,5.0,1,38.704,47.59,3.577,3.737,3.831,3.986,9.353,3.693,2.27325,3.00881,-4123.7,0.4,8.8,2.273,3.0,-15.9734,-15.9734,0.008610078133642673,-15.929762327066335
217095.868227,1620365877.920062,177.1759,1,85.78,4.22823e-06,8.04,4.186669316257478e-06,5.913788711208262e-07,1,13.8898,7.42127e-06,-4.692,7.396399972646772e-06,-6.07055069603108e-07,1,13.89,2.41642e-05,2.04,2.414888518989949e-05,8.601777287591685e-07,5.0,1,38.706,47.599,3.592,3.821,3.828,3.984,9.262,3.693,2.27324,3.01131,-4123.7,0.4,8.7,2.273,3.0,-15.9734,-15.9734,0.007822351530194283,-15.929762327066335
217096.473033,1620365878.524868,177.2378,1,85.78,4.23382e-06,8.166,4.1908920049406625e-06,6.013784127522612e-07,1,13.8898,7.47995e-06,-4.986,7.4516456037967585e-06,-6.500998368838817e-07,1,13.89,2.41996e-05,1.98,2.4185151589011004e-05,8.361117010056793e-07,5.0,1,38.707,47.599,3.671,3.848,3.826,3.982,9.175,3.693,2.27343,3.0146,-4123.6,0.4,8.6,2.273,3.0,-15.9729,-15.9729,0.009003925137221813,-15.929478538488826
217096.751945,1620365878.80378,177.2498,1,85.78,4.23568e-06,8.166,4.192733145832149e-06,6.016426100605358e-07,1,13.8898,7.49159e-06,-5.088,7.462070599818977e-06,-6.643967876331451e-07,1,13.89,2.42071e-05,1.962,2.4192908670905848e-05,8.28770445424243e-07,5.0,1,38.707,47.599,3.671,3.848,3.826,3.982,9.175,3.693,2.27362,3.01568,-4123.6,0.4,8.6,2.273,3.0,-15.9729,-15.9729,0.008610078133642673,-15.929478538488826
217096.8899,1620365878.941735,177.262,1,85.78,4.24127e-06,8.202,4.19788711634046e-06,6.050743519293925e-07,1,13.8893,7.50183e-06,-5.208,7.470860451870358e-06,-6.809533446422291e-07,1,13.89,2.42089e-05,1.938,2.419505267342087e-05,8.186973435828743e-07,5.0,1,38.715,47.595,3.75,3.848,3.824,3.979,9.085,3.693,2.27353,3.01568,-4123.8,0.4,8.7,2.273,3.0,-15.9729,-15.9729,0.008610078133642673,-15.930046115643846
217097.448723,1620365879.500558,177.3163,1,85.78,4.2599e-06,8.364,4.214591381365373e-06,6.19651109997162e-07,1,13.8898,7.53909e-06,-5.796,7.500548373581518e-06,-7.613488843254689e-07,1,13.89,2.42294e-05,1.842,2.421687985827577e-05,7.788159537639018e-07,5.0,1,38.717,47.594,3.784,3.831,3.822,3.977,9.085,3.693,2.27377,3.01764,-4123.7,0.4,8.6,2.273,3.0,-15.9729,-15.9729,0.008610078133642673,-15.929762327066335
217097.700641,1620365879.752476,177.3316,1,85.78,4.26362e-06,8.4,4.217881304267656e-06,6.228425222392694e-07,1,13.8893,7.54328e-06,-5.91,7.503186420433469e-06,-7.767024517939842e-07,1,13.89,2.42294e-05,1.818,2.4217203963387672e-05,7.686719428210802e-07,5.0,1,38.717,47.594,3.784,3.732,3.822,3.977,8.999,3.693,2.27384,3.01789,-4123.6,0.4,8.7,2.273,3.0,-15.9729,-15.9729,0.009003925137221813,-15.929478538488826
217097.844595,1620365879.89643,177.3406,1,85.78,4.26735e-06,8.442,4.221113189050342e-06,6.264818175535918e-07,1,13.8898,7.54607e-06,-6.018,7.504483666379233e-06,-7.91136742887922e-07,1,13.89,2.42313e-05,1.806,2.421926347872358e-05,7.636597659731183e-07,5.0,1,38.717,47.603,3.795,3.732,3.819,3.975,8.999,3.693,2.27393,3.01725,-4123.7,0.4,8.6,2.273,3.0,-15.9729,-15.9729,0.009003925137221813,-15.929762327066335
