time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
165653.380372,1620314435.432207,177.0108,0,85.78,3.49992e-06,11.004,3.4355699811525104e-06,6.68056068757509e-07,1,13.8898,2.48236e-05,-177.354,-2.4797133775226146e-05,-1.1459814542735016e-06,1,13.89,2.5334e-05,2.244,2.5314572420444438e-05,9.919572420592757e-07,5.0,1,39.321,48.426,3.293,3.511,3.352,3.549,5.776,3.344,2.27528,3.02105,4155.0,0.1,7.9,2.273,3.0,15.974,15.974,0.005514137912541628,15.903727399165506
165656.008998,1620314438.060833,177.1715,1,85.78,3.50551e-06,10.956,3.441616558267292e-06,6.662400663127342e-07,1,13.8898,2.47677e-05,-177.336,-2.474093294334234e-05,-1.15117348086103e-06,1,13.89,2.53787e-05,2.232,2.535944570730939e-05,9.883962302778044e-07,5.0,1,39.323,48.423,3.293,3.511,3.352,3.549,5.776,3.344,2.27532,3.02224,4155.0,0.1,7.8,2.273,3.0,15.974,15.974,0.005120048299431801,15.903727399165506
165656.176943,1620314438.228778,177.1868,1,85.78,3.50551e-06,10.956,3.441616558267292e-06,6.662400663127342e-07,1,13.8898,2.47603e-05,-177.33,-2.473342029049863e-05,-1.1534196216255018e-06,1,13.89,2.53824e-05,2.232,2.536314290019622e-05,9.885403300958417e-07,5.0,1,39.323,48.423,3.255,3.511,3.352,3.549,5.776,3.344,2.27555,3.02556,4154.9,0.1,7.7,2.273,3.0,15.974,15.974,0.005120048299431801,15.903449235048676
165656.319901,1620314438.371736,177.1988,1,85.78,3.50551e-06,10.932,3.441895330313126e-06,6.647983869329838e-07,1,13.8898,2.47528e-05,-177.324,-2.4725807547668124e-05,-1.1556595327682076e-06,1,13.89,2.53842e-05,2.226,2.536504492253698e-05,9.859542168280885e-07,5.0,1,39.315,48.424,3.255,3.579,3.352,3.549,5.777,3.344,2.2757,3.02658,4154.9,0.1,7.8,2.273,3.0,15.9745,15.9745,0.005514137912541628,15.903449235048676
165656.838731,1620314438.890566,177.2494,1,85.78,3.50924e-06,10.896,3.445975111258936e-06,6.633407195280297e-07,1,13.8898,2.47323e-05,-177.324,-2.470532990252385e-05,-1.1547024281003821e-06,1,13.89,2.53805e-05,2.226,2.5361347714580317e-05,9.858105041799741e-07,5.0,1,39.322,48.433,3.247,3.649,3.352,3.549,5.778,3.344,2.27621,3.02916,4155.1,0.1,7.8,2.273,3.0,15.9745,15.9745,0.004725958686321974,15.904005563282336
165657.18859,1620314439.240425,177.2706,1,85.78,3.5111e-06,10.914,3.4475929037874688e-06,6.647754355827909e-07,1,13.8898,2.47323e-05,-177.33,-2.470545068721701e-05,-1.1521152856761993e-06,1,13.89,2.53805e-05,2.226,2.5361347714580317e-05,9.858105041799741e-07,5.0,1,39.322,48.433,3.302,3.649,3.352,3.549,5.778,3.344,2.27628,3.02995,4155.0,0.1,7.7,2.273,3.0,15.9745,15.9745,0.006696431431919336,15.903727399165506
165657.328543,1620314439.380378,177.2826,1,85.78,3.51296e-06,10.908,3.449488894083403e-06,6.647663733938867e-07,1,13.8898,2.47323e-05,-177.336,-2.470557120098458e-05,-1.1495281306176695e-06,1,13.89,2.53787e-05,2.226,2.5359549072871675e-05,9.857405899187293e-07,5.0,1,39.319,48.435,3.302,3.685,3.352,3.549,5.778,3.344,2.27649,3.03067,4155.0,0.1,7.8,2.273,3.0,15.9745,15.9745,0.005120048299431801,15.903727399165506
165657.84038,1620314439.892215,177.3351,1,85.78,3.51483e-06,10.926,3.451115983487133e-06,6.662044711795627e-07,1,13.8898,2.47286e-05,-177.354,-2.4702235061556633e-05,-1.141595779425535e-06,1,13.89,2.53656e-05,2.244,2.5346148187732905e-05,9.931945456374345e-07,5.0,1,39.325,48.435,3.392,3.688,3.352,3.549,5.778,3.344,2.27704,3.0318,4155.1,0.1,7.7,2.273,3.0,15.9745,15.9745,0.004725958686321974,15.904005563282336
165658.114292,1620314440.166127,177.3474,1,85.78,3.51483e-06,10.956,3.4507666865861537e-06,6.680113798785306e-07,1,13.8888,2.47267e-05,-177.36,-2.47004564902934e-05,-1.1389214464231384e-06,1,13.89,2.53656e-05,2.25,2.534604404166768e-05,9.958487826182307e-07,5.0,1,39.325,48.425,3.427,3.688,3.352,3.549,5.778,3.344,2.277,3.03212,4155.0,0.1,7.8,2.273,3.0,15.9751,15.9751,0.005120048299431801,15.903727399165506
165658.272241,1620314440.324076,177.3625,1,85.78,3.51483e-06,10.956,3.4507666865861537e-06,6.680113798785306e-07,1,13.8893,2.47267e-05,-177.36,-2.47004564902934e-05,-1.1389214464231384e-06,1,13.89,2.53638e-05,2.25,2.5344245429402448e-05,9.957781149498643e-07,5.0,1,39.325,48.425,3.427,3.688,3.352,3.549,5.777,3.344,2.27713,3.03179,4155.0,0.1,7.8,2.273,3.0,15.9751,15.9751,0.005120048299431801,15.903727399165506
165658.414196,1620314440.466031,177.3717,1,85.78,3.51483e-06,10.986,3.4504164436379163e-06,6.698181054383902e-07,1,13.8898,2.47249e-05,-177.366,-2.469877752417781e-05,-1.1362520940219001e-06,1,13.89,2.53619e-05,2.256,2.5342242485449894e-05,9.983573601964377e-07,5.0,1,39.316,48.429,3.449,3.606,3.352,3.548,5.777,3.344,2.27733,3.03272,4155.0,0.1,7.7,2.273,3.0,15.9751,15.9751,0.004725958686321974,15.903727399165506
165658.907038,1620314440.958873,177.4153,1,85.78,3.51483e-06,11.046,3.4497131199840105e-06,6.734310051595378e-07,1,13.8898,2.4723e-05,-177.366,-2.4696879531575374e-05,-1.136164778037664e-06,1,13.89,2.53582e-05,2.262,2.533844068182787e-05,1.0008651525008752e-06,5.0,1,39.32,48.429,3.449,3.505,3.352,3.548,5.776,3.344,2.27736,3.03316,4155.2,0.1,7.7,2.273,3.0,15.9751,15.9751,0.006696431431919336,15.904283727399164
165659.085983,1620314441.137818,177.4277,1,85.78,3.51296e-06,11.052,3.447807261294969e-06,6.73433775928773e-07,1,13.8903,2.4723e-05,-177.372,-2.469699837505669e-05,-1.1335785206359109e-06,1,13.89,2.53563e-05,2.262,2.5336542162323505e-05,1.000790161224296e-06,5.0,1,39.32,48.423,3.449,3.505,3.352,3.548,5.776,3.344,2.27752,3.03334,4155.1,0.1,7.7,2.273,3.0,15.9751,15.9751,0.005120048299431801,15.904005563282336
165659.225937,1620314441.277772,177.4399,1,85.78,3.5111e-06,11.052,3.4459817575869827e-06,6.730772142761417e-07,1,13.8898,2.4723e-05,-177.372,-2.469699837505669e-05,-1.1335785206359109e-06,1,13.89,2.53563e-05,2.262,2.5336542162323505e-05,1.000790161224296e-06,5.0,1,39.32,48.423,3.358,3.505,3.352,3.548,5.775,3.344,2.27757,3.03337,4155.2,0.1,7.8,2.273,3.0,15.9751,15.9751,0.005120048299431801,15.904283727399164
165659.376888,1620314441.428723,177.4522,1,85.78,3.5111e-06,11.052,3.4459817575869827e-06,6.730772142761417e-07,1,13.8898,2.47249e-05,-177.378,-2.4699014958553343e-05,-1.1310791692707613e-06,1,13.89,2.53544e-05,2.262,2.5334643642819145e-05,1.0007151699477167e-06,5.0,1,39.318,48.429,3.261,3.499,3.352,3.548,5.775,3.344,2.27779,3.03384,4155.1,0.1,7.7,2.273,3.0,15.9751,15.9751,0.005120048299431801,15.904005563282336
165659.907733,1620314441.959568,177.4994,1,85.78,3.5111e-06,11.082,3.4456288628300863e-06,6.748814337587369e-07,1,13.8893,2.47286e-05,-177.378,-2.470271108494199e-05,-1.131248431549933e-06,1,13.89,2.53544e-05,2.262,2.5334643642819145e-05,1.0007151699477167e-06,5.0,1,39.32,48.429,3.261,3.544,3.352,3.548,5.776,3.344,2.27777,3.03413,4155.1,0.1,7.7,2.273,3.0,15.9729,15.9729,0.005120048299431801,15.904005563282336
165660.09567,1620314442.147505,177.5145,1,85.78,3.50924e-06,11.088,3.4437328912055954e-06,6.748845468883937e-07,1,13.8898,2.47323e-05,-177.378,-2.4706407211330635e-05,-1.1314176938291053e-06,1,13.89,2.53526e-05,2.256,2.5332949693698696e-05,9.979912707689961e-07,5.0,1,39.32,48.424,3.261,3.544,3.352,3.549,5.776,3.344,2.2778,3.03421,4155.1,0.1,7.7,2.273,3.0,15.9729,15.9729,0.004725958686321974,15.904005563282336
165660.238624,1620314442.290459,177.5236,1,85.78,3.50924e-06,11.088,3.4437328912055954e-06,6.748845468883937e-07,1,13.8898,2.47323e-05,-177.378,-2.4706407211330635e-05,-1.1314176938291053e-06,1,13.89,2.53507e-05,2.256,2.533105116635168e-05,9.979164783053254e-07,5.0,1,39.32,48.424,3.241,3.544,3.352,3.549,5.777,3.344,2.27792,3.03399,4155.1,0.1,7.7,2.273,3.0,15.9729,15.9729,0.005120048299431801,15.904005563282336
165660.388576,1620314442.440411,177.5386,1,85.78,3.50924e-06,11.088,3.4437328912055954e-06,6.748845468883937e-07,1,13.8903,2.4736e-05,-177.372,-2.470998470272226e-05,-1.134174585869429e-06,1,13.89,2.53489e-05,2.25,2.5329356916762463e-05,9.951931436950543e-07,5.0,1,39.322,48.427,3.268,3.676,3.352,3.549,5.778,3.344,2.2777,3.03393,4155.1,0.1,7.7,2.273,3.0,15.9729,15.9729,0.0039377775974571705,15.904005563282336
165660.931404,1620314442.983239,177.582,1,85.78,3.50738e-06,11.124,3.4414831148028296e-06,6.766893193534328e-07,1,13.8898,2.47454e-05,-177.36,-2.471913664317949e-05,-1.1397827757169022e-06,1,13.89,2.53451e-05,2.244,2.5325663908321083e-05,9.923918645186922e-07,5.0,1,39.322,48.427,3.268,3.676,3.352,3.549,5.778,3.344,2.27803,3.03508,4155.1,0.1,7.7,2.273,3.0,15.9729,15.9729,0.005120048299431801,15.904005563282336
165661.09435,1620314443.146185,177.5972,1,85.78,3.50738e-06,11.124,3.4414831148028296e-06,6.766893193534328e-07,1,13.8898,2.47472e-05,-177.354,-2.4720815230759293e-05,-1.1424544483957685e-06,1,13.89,2.53433e-05,2.238,2.532396906546405e-05,9.896694707930725e-07,5.0,1,39.322,48.426,3.268,3.676,3.352,3.549,5.778,3.344,2.27803,3.03397,4154.9,0.1,7.8,2.273,3.0,15.9729,15.9729,0.005908256396651268,15.903449235048676
165661.236306,1620314443.288141,177.6093,1,85.78,3.50738e-06,11.124,3.4414831148028296e-06,6.766893193534328e-07,1,13.8898,2.47509e-05,-177.348,-2.4724391494918876e-05,-1.1452143973872904e-06,1,13.89,2.53395e-05,2.232,2.5320275447535384e-05,9.868695511245422e-07,5.0,1,39.322,48.426,3.341,3.676,3.352,3.549,5.778,3.344,2.27794,3.03408,4155.3,0.1,7.6,2.273,3.0,15.9729,15.9729,0.005120048299431801,15.904561891515993
165661.401254,1620314443.453089,177.6214,1,85.78,3.50551e-06,11.13,3.4395774046669455e-06,6.766887300706291e-07,1,13.8898,2.47547e-05,-177.336,-2.4727946992758982e-05,-1.150569256195389e-06,1,13.89,2.5334e-05,2.226,2.5314882803773675e-05,9.84004385764483e-07,5.0,1,39.321,48.418,3.411,3.637,3.352,3.548,5.777,3.344,2.27807,3.03424,4155.0,0.1,7.7,2.273,3.0,15.9756,15.9756,0.005514137912541628,15.903727399165506
165661.926085,1620314443.97792,177.6748,1,85.78,3.50365e-06,11.1,3.4381060421964298e-06,6.745295880184955e-07,1,13.8898,2.47677e-05,-177.3,-2.4740204756095583e-05,-1.1667184392412128e-06,1,13.89,2.53265e-05,2.208,2.5307696257023746e-05,9.757624773613256e-07,5.0,1,39.32,48.427,3.411,3.637,3.352,3.548,5.777,3.343,2.27812,3.03421,4154.9,0.1,7.7,2.273,3.0,15.9756,15.9756,0.005120048299431801,15.903449235048676
165662.185002,1620314444.236837,177.6868,1,85.78,3.50365e-06,11.1,3.4381060421964298e-06,6.745295880184955e-07,1,13.8893,2.47733e-05,-177.288,-2.4745553584473232e-05,-1.1721649576590816e-06,1,13.89,2.53246e-05,2.196,2.530600146054923e-05,9.703892202000183e-07,5.0,1,39.32,48.427,3.411,3.637,3.352,3.548,5.777,3.343,2.27806,3.03437,4155.0,0.1,7.7,2.273,3.0,15.9756,15.9756,0.005120048299431801,15.903727399165506
165662.326966,1620314444.378801,177.6989,1,85.78,3.50365e-06,11.1,3.4381060421964298e-06,6.745295880184955e-07,1,13.8898,2.47752e-05,-177.276,-2.474720539719497e-05,-1.1774379257711648e-06,1,13.89,2.53246e-05,2.196,2.530600146054923e-05,9.703892202000183e-07,5.0,1,39.324,48.429,3.445,3.533,3.352,3.548,5.776,3.343,2.27828,3.03421,4155.1,0.1,7.7,2.273,3.0,15.9756,15.9756,0.005120048299431801,15.904005563282336
165662.874781,1620314444.926616,177.7546,1,85.78,3.50365e-06,11.1,3.4381060421964298e-06,6.745295880184955e-07,1,13.8898,2.47789e-05,-177.24,-2.4750156414264508e-05,-1.1931649841666604e-06,1,13.89,2.53191e-05,2.178,2.5300809041803293e-05,9.622300349733016e-07,5.0,1,39.32,48.429,3.418,3.498,3.352,3.548,5.775,3.343,2.27822,3.03253,4155.0,0.1,7.7,2.273,3.0,15.9756,15.9756,0.005120048299431801,15.903727399165506
165663.126713,1620314445.178548,177.7666,1,85.78,3.50365e-06,11.1,3.4381060421964298e-06,6.745295880184955e-07,1,13.8898,2.47789e-05,-177.234,-2.475003133061186e-05,-1.1957568079385434e-06,1,13.89,2.53191e-05,2.172,2.530090966756953e-05,9.595805351749406e-07,5.0,1,39.32,48.431,3.418,3.498,3.351,3.548,5.775,3.343,2.2783,3.03259,4155.0,0.1,7.7,2.273,3.0,15.974,15.974,0.005120048299431801,15.903727399165506
165663.284663,1620314445.336498,177.7789,1,85.78,3.50365e-06,11.1,3.4381060421964298e-06,6.745295880184955e-07,1,13.8898,2.47789e-05,-177.234,-2.475003133061186e-05,-1.1957568079385434e-06,1,13.89,2.53191e-05,2.172,2.530090966756953e-05,9.595805351749406e-07,5.0,1,39.32,48.431,3.295,3.498,3.351,3.548,5.775,3.343,2.2781,3.03294,4155.0,0.1,7.7,2.273,3.0,15.974,15.974,0.005514137912541628,15.903727399165506
