time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
165165.377486,1620313947.429321,177.0108,0,85.78,3.61168e-06,11.868,3.534476723359117e-06,7.427696240642851e-07,1,13.8898,2.47491e-05,-177.312,-2.4721869035645386e-05,-1.1606645486090543e-06,1,13.89,2.48515e-05,2.244,2.483244242941008e-05,9.730648693864408e-07,5.0,1,39.281,48.388,3.289,3.503,3.361,3.556,5.787,3.366,14.1623,14.9845,4155.1,1.8,19.8,14.165,15.0,15.9756,15.9756,0.007899133488535881,15.903127340508025
165166.176232,1620313948.228067,177.0108,0,85.78,3.59119e-06,11.646,3.5172599606451166e-06,7.249330902522756e-07,1,13.8898,2.4764e-05,-177.252,-2.4735522901417556e-05,-1.187266942792394e-06,1,13.89,2.4831e-05,2.166,2.4813258753443938e-05,9.384833693985876e-07,5.0,1,39.282,48.402,3.269,3.591,3.361,3.556,5.789,3.366,14.1611,14.9807,4155.0,1.8,20.2,14.165,15.0,15.974,15.974,0.0075050476007163525,15.902849252862469
165166.337179,1620313948.389014,177.0108,0,85.78,3.58747e-06,11.628,3.5138438775718065e-06,7.230782841097718e-07,1,13.8898,2.47677e-05,-177.252,-2.4739218646641884e-05,-1.1874443328621863e-06,1,13.89,2.48273e-05,2.16,2.4809659524089698e-05,9.357454722012658e-07,5.0,1,39.282,48.402,3.269,3.591,3.361,3.556,5.789,3.366,14.1621,14.9981,4155.0,1.8,19.2,14.165,15.0,15.974,15.974,0.0075050476007163525,15.902849157006477
165166.475134,1620313948.526969,177.0108,0,85.78,3.58561e-06,11.556,3.5129274532410955e-06,7.182894822876275e-07,1,13.8898,2.47714e-05,-177.252,-2.474291439186621e-05,-1.1876217229319784e-06,1,13.89,2.48199e-05,2.148,2.480246016167538e-05,9.30271970181641e-07,5.0,1,39.287,48.407,3.279,3.679,3.361,3.556,5.79,3.366,14.1628,15.0032,4155.0,1.8,21.9,14.165,15.0,15.974,15.974,0.008293217979371548,15.902849089907285
165167.004974,1620313949.056809,177.0108,0,85.78,3.57629e-06,11.37,3.5061036399992714e-06,7.050442749812661e-07,1,13.8903,2.47807e-05,-177.27,-2.4752575718394568e-05,-1.1802914026390998e-06,1,13.89,2.4805e-05,2.148,2.4787570631241777e-05,9.297135049035495e-07,5.0,1,39.287,48.407,3.348,3.679,3.361,3.556,5.79,3.366,14.1641,14.9736,4154.9,1.8,21.1,14.165,15.0,15.974,15.974,0.0075050476007163525,15.90257076261418
165167.195916,1620313949.247751,177.0108,0,85.78,3.57443e-06,11.322,3.5048692628936115e-06,7.017416012490578e-07,1,13.8898,2.47826e-05,-177.282,-2.4754720237712143e-05,-1.1751973079465717e-06,1,13.89,2.48031e-05,2.154,2.47855744784716e-05,9.322378356070776e-07,5.0,1,39.287,48.407,3.348,3.679,3.361,3.556,5.79,3.366,14.1628,14.9827,4155.0,1.9,20.9,14.165,15.0,15.974,15.974,0.0075050476007163525,15.902849089907285
165167.34087,1620313949.392705,177.0108,0,85.78,3.57257e-06,11.298,3.503338944252208e-06,6.99909027364144e-07,1,13.8898,2.47845e-05,-177.294,-2.4756863708906555e-05,-1.1701023667293324e-06,1,13.89,2.48012e-05,2.154,2.4783675820984868e-05,9.321664230865598e-07,5.0,1,39.287,48.407,3.348,3.696,3.361,3.556,5.79,3.366,14.163,14.9887,4155.0,1.8,20.4,14.165,15.0,15.974,15.974,0.0075050476007163525,15.902849070736089
165167.480825,1620313949.53266,177.0108,0,85.78,3.57071e-06,11.244,3.5021727383156097e-06,6.962442208729225e-07,1,13.8898,2.47845e-05,-177.3,-2.4756986105994947e-05,-1.1675098276131348e-06,1,13.89,2.47975e-05,2.16,2.4779880697805012e-05,9.346223047577018e-07,5.0,1,39.285,48.393,3.431,3.661,3.361,3.556,5.79,3.366,14.1641,14.9737,4155.2,1.8,21.4,14.165,15.0,15.974,15.974,0.007484604604542255,15.903405370655138
165168.017653,1620313950.069488,177.0108,0,85.78,3.56698e-06,11.232,3.4986599250269766e-06,6.947841746976065e-07,1,13.8898,2.47863e-05,-177.348,-2.4759753581102414e-05,-1.1468523414486179e-06,1,13.89,2.47956e-05,2.178,2.477768722730815e-05,9.423348798015725e-07,5.0,1,39.282,48.388,3.462,3.661,3.361,3.556,5.79,3.366,14.1664,14.9849,4155.0,1.8,20.0,14.165,15.0,15.974,15.974,0.007878690026700497,15.902848744825723
165168.221588,1620313950.273423,177.0108,0,85.78,3.56698e-06,11.202,3.4990232335648e-06,6.929521854888204e-07,1,13.8898,2.47863e-05,-177.36,-2.4759993234251208e-05,-1.141666645669573e-06,1,13.89,2.47956e-05,2.19,2.4777489321718395e-05,9.475242857736676e-07,5.0,1,39.282,48.388,3.462,3.561,3.361,3.556,5.788,3.366,14.1662,14.9956,4155.1,1.8,20.1,14.165,15.0,15.974,15.974,0.008666889742016792,15.903126966686077
165168.360543,1620313950.412378,177.0108,0,85.78,3.56512e-06,11.208,3.4971261224686833e-06,6.929570678960939e-07,1,13.8898,2.47845e-05,-177.366,-2.475831455528576e-05,-1.1389910585800462e-06,1,13.89,2.47956e-05,2.19,2.4777489321718395e-05,9.475242857736676e-07,5.0,1,39.282,48.388,3.462,3.561,3.361,3.556,5.788,3.366,14.1658,14.993,4155.0,1.8,21.2,14.165,15.0,15.974,15.974,0.007484604604542255,15.902848802339316
165168.4985,1620313950.550335,177.0108,0,85.78,3.56512e-06,11.208,3.4971261224686833e-06,6.929570678960939e-07,1,13.8893,2.47845e-05,-177.378,-2.475855256200289e-05,-1.1338056643622898e-06,1,13.89,2.47956e-05,2.196,2.4777389961349612e-05,9.501189731877925e-07,5.0,1,39.283,48.39,3.458,3.503,3.361,3.556,5.787,3.366,14.1658,14.9737,4155.2,1.8,21.2,14.165,15.0,15.974,15.974,0.007484604604542255,15.90340520771426
165169.004337,1620313951.056172,177.0108,0,85.78,3.57071e-06,11.166,3.5031173295643857e-06,6.914758704435649e-07,1,13.8898,2.47752e-05,-177.414,-2.4749969536817532e-05,-1.1178295785154848e-06,1,13.89,2.48031e-05,2.208,2.478468485707009e-05,9.555972717209523e-07,5.0,1,39.283,48.388,3.346,3.503,3.361,3.556,5.787,3.366,14.1652,14.9805,4155.1,1.8,20.9,14.165,15.0,15.9745,15.9745,0.007484604604542255,15.903127062537859
165169.254257,1620313951.306092,177.0108,0,85.78,3.57443e-06,11.124,3.5072733750106e-06,6.896254765028285e-07,1,13.8898,2.47733e-05,-177.426,-2.4748305028668892e-05,-1.1125606041748913e-06,1,13.89,2.48031e-05,2.208,2.478468485707009e-05,9.555972717209523e-07,5.0,1,39.283,48.388,3.346,3.512,3.361,3.556,5.787,3.366,14.1647,14.9711,4155.1,1.8,22.1,14.165,15.0,15.9745,15.9745,0.007484604604542255,15.90312711046375
165169.398213,1620313951.450048,177.0108,0,85.78,3.57816e-06,11.118,3.511005569046837e-06,6.899774487054621e-07,1,13.8898,2.47696e-05,-177.426,-2.474460876177647e-05,-1.112394438414357e-06,1,13.89,2.4805e-05,2.208,2.478658344640886e-05,9.55670473652012e-07,5.0,1,39.281,48.388,3.346,3.512,3.361,3.556,5.787,3.366,14.1651,14.9646,4155.1,1.8,21.8,14.165,15.0,15.9745,15.9745,0.007484604604542255,15.903127072123036
165169.541165,1620313951.593,177.0108,0,85.78,3.58374e-06,11.094,3.5167700036289936e-06,6.895804008056838e-07,1,13.8898,2.47658e-05,-177.438,-2.4741044996754518e-05,-1.1070420536584376e-06,1,13.89,2.48105e-05,2.208,2.4792079362915825e-05,9.55882373978764e-07,5.0,1,39.282,48.387,3.276,3.573,3.361,3.556,5.788,3.366,14.1615,14.9644,4155.1,1.8,20.6,14.165,15.0,15.9745,15.9745,0.007484604604542255,15.903127417189449
165170.061,1620313952.112835,177.0108,0,85.78,3.60796e-06,10.944,3.542342782965199e-06,6.849693201701582e-07,1,13.8893,2.47565e-05,-177.45,-2.4731985521548965e-05,-1.1014465088656216e-06,1,13.89,2.48124e-05,2.208,2.4793977952254596e-05,9.55955575909824e-07,5.0,1,39.282,48.392,3.266,3.631,3.361,3.556,5.79,3.366,14.1622,14.9799,4154.9,1.8,20.6,14.165,15.0,15.9745,15.9745,0.007878690026700497,15.902570944748554
165170.320916,1620313952.372751,177.0108,0,85.78,3.61168e-06,10.926,3.5462103644389083e-06,6.845615191829485e-07,1,13.8898,2.47528e-05,-177.45,-2.472828918537747e-05,-1.1012818914082752e-06,1,13.89,2.48143e-05,2.208,2.4795876541593363e-05,9.560287778408838e-07,5.0,1,39.282,48.392,3.266,3.631,3.361,3.556,5.79,3.366,14.1622,14.9686,4155.1,1.8,22.3,14.165,15.0,15.9745,15.9745,0.007484604604542255,15.903127350093202
165170.486865,1620313952.5387,177.0108,0,85.78,3.621e-06,10.878,3.555935148084562e-06,6.833492683956164e-07,1,13.8898,2.47491e-05,-177.45,-2.4724592849205968e-05,-1.1011172739509283e-06,1,13.89,2.4818e-05,2.202,2.479967378856459e-05,9.535743184369066e-07,5.0,1,39.281,48.397,3.307,3.684,3.361,3.556,5.791,3.366,14.1621,14.9563,4155.0,1.8,20.7,14.165,15.0,15.9751,15.9751,0.007484604604542255,15.902849157006477
165171.055682,1620313953.107517,177.0108,0,85.78,3.63031e-06,10.686,3.56735365088517e-06,6.731557216694007e-07,1,13.8898,2.4736e-05,-177.438,-2.4711274783763083e-05,-1.105709980670728e-06,1,13.89,2.48217e-05,2.19,2.4803570258307826e-05,9.485216556239109e-07,5.0,1,39.279,48.398,3.389,3.698,3.361,3.556,5.79,3.366,14.1608,14.9625,4155.1,1.8,21.4,14.0,15.0,15.9751,15.9751,0.007878690026700497,15.903127484285696
165171.448677,1620313953.500512,177.0108,0,85.78,3.63031e-06,10.578,3.5686161812711308e-06,6.66430226557779e-07,1,13.8893,2.47286e-05,-177.426,-2.4703650128644208e-05,-1.1105531421489756e-06,1,13.89,2.48236e-05,2.184,2.4805568071097314e-05,9.459966332696815e-07,5.0,1,39.276,48.388,3.442,3.698,3.361,3.556,5.79,3.366,14.1608,14.9491,4155.0,1.2,19.1,14.0,14.833,15.9751,15.9751,0.007484604604542255,15.902849281619263
