time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
114056.212029,1620262838.263864,177.0102,0,85.78,3.5111e-06,11.58,3.4396328914509655e-06,7.048040735187842e-07,1,13.8893,2.46764e-05,-177.42,-2.465138660920251e-05,-1.1107903508904414e-06,1,13.89,2.51905e-05,2.004,2.5175093191419102e-05,8.808933268923532e-07,5.0,1,38.958,48.03,3.432,3.76,3.542,3.725,8.214,3.5,5.2424,6.00167,4153.6,0.8,14.2,5.246,6.0,15.9691,15.9691,0.008195167407393456,15.899809851757487
114057.030768,1620262839.082603,177.0102,0,85.78,3.51296e-06,11.52,3.4421916048237636e-06,7.015731731478913e-07,1,13.8903,2.46839e-05,-177.438,-2.465922686104987e-05,-1.1033810879640273e-06,1,13.89,2.51961e-05,2.016,2.5180504679238653e-05,8.863629667581628e-07,5.0,1,38.957,48.028,3.513,3.76,3.542,3.724,8.214,3.5,5.24238,6.00157,4153.8,0.8,14.1,5.246,6.0,15.9691,15.9691,0.007801289204508066,15.900366183949362
114057.216709,1620262839.268544,177.0102,0,85.78,3.51296e-06,11.49,3.442558475813256e-06,6.997707497504516e-07,1,13.8898,2.46858e-05,-177.444,-2.4661240381349493e-05,-1.100883505779395e-06,1,13.89,2.51961e-05,2.016,2.5180504679238653e-05,8.863629667581628e-07,5.0,1,38.955,48.028,3.513,3.775,3.542,3.724,8.17,3.499,5.24099,6.00204,4153.9,0.9,14.1,5.246,6.0,15.9702,15.9702,0.008195167407393456,15.90064448239032
114057.356663,1620262839.408498,177.0102,0,85.78,3.51483e-06,11.484,3.4444642999953637e-06,6.997825483373036e-07,1,13.8898,2.46858e-05,-177.444,-2.4661240381349493e-05,-1.100883505779395e-06,1,13.89,2.5198e-05,2.022,2.5182310538428946e-05,8.890668963191491e-07,5.0,1,38.955,48.028,3.513,3.775,3.541,3.724,8.17,3.499,5.23547,6.00201,4154.0,0.9,14.1,5.246,6.0,15.9702,15.9702,0.008195167407393456,15.900923176878608
114057.911487,1620262839.963322,177.0102,0,85.78,3.51483e-06,11.4,3.445486532695667e-06,6.947319496847641e-07,1,13.8893,2.46932e-05,-177.456,-2.4668863115748427e-05,-1.0960469043187693e-06,1,13.89,2.52017e-05,2.028,2.5185914979998493e-05,8.918349120143362e-07,5.0,1,38.956,48.034,3.57,3.728,3.541,3.724,8.125,3.5,5.23175,5.99994,4154.1,0.9,14.2,5.246,6.0,15.9702,15.9702,0.008195167407393456,15.901201698711487
114058.15041,1620262840.202245,177.0102,0,85.78,3.51483e-06,11.376,3.4457772390538377e-06,6.932886467543754e-07,1,13.8898,2.46932e-05,-177.456,-2.4668863115748427e-05,-1.0960469043187693e-06,1,13.89,2.52054e-05,2.028,2.5189612662513006e-05,8.919658471962666e-07,5.0,1,38.956,48.034,3.605,3.617,3.541,3.724,8.074,3.5,5.2298,5.99979,4154.2,0.9,14.2,5.246,6.0,15.9702,15.9702,0.007801289204508066,15.901480050788367
114058.303362,1620262840.355197,177.0102,0,85.78,3.51483e-06,11.37,3.4458498211774325e-06,6.929278020049839e-07,1,13.8898,2.46951e-05,-177.456,-2.467076124316488e-05,-1.0961312388367017e-06,1,13.89,2.52073e-05,2.034,2.5191417920839004e-05,8.946711281981311e-07,5.0,1,38.961,48.034,3.605,3.617,3.541,3.724,8.074,3.5,5.22804,6.00046,4154.3,0.9,14.1,5.246,6.0,15.9702,15.9702,0.008195167407393456,15.901758384630604
114058.441316,1620262840.493151,177.0102,0,85.78,3.51483e-06,11.37,3.4458498211774325e-06,6.929278020049839e-07,1,13.8893,2.46951e-05,-177.456,-2.467076124316488e-05,-1.0961312388367017e-06,1,13.89,2.52073e-05,2.034,2.5191417920839004e-05,8.946711281981311e-07,5.0,1,38.961,48.04,3.56,3.571,3.541,3.723,8.021,3.5,5.22992,5.99952,4154.4,0.9,14.2,5.246,6.0,15.9702,15.9702,0.007801289204508066,15.90203636945032
114058.910166,1620262840.962001,177.0102,0,85.78,3.51669e-06,11.31,3.4483974435706864e-06,6.896837153907243e-07,1,13.8898,2.46951e-05,-177.45,-2.4670646321297594e-05,-1.0987147488977608e-06,1,13.89,2.52129e-05,2.04,2.5196920543796888e-05,8.975085066930433e-07,5.0,1,38.958,48.026,3.437,3.571,3.54,3.723,8.021,3.5,5.23501,5.99812,4154.5,0.8,14.2,5.246,6.0,15.9713,15.9713,0.008195167407393456,15.902314046520596
114059.169083,1620262841.220918,177.0102,0,85.78,3.51669e-06,11.31,3.4483974435706864e-06,6.896837153907243e-07,1,13.8893,2.46951e-05,-177.45,-2.4670646321297594e-05,-1.0987147488977608e-06,1,13.89,2.52129e-05,2.046,2.5196826418768444e-05,9.001471171161954e-07,5.0,1,38.958,48.026,3.437,3.589,3.54,3.723,7.969,3.5,5.23767,5.99807,4154.5,0.8,14.2,5.246,6.0,15.9713,15.9713,0.008195167407393456,15.902313791487696
114059.312038,1620262841.363873,177.0102,0,85.78,3.51669e-06,11.286,3.448686035074109e-06,6.882391935837558e-07,1,13.8893,2.46951e-05,-177.45,-2.4670646321297594e-05,-1.0987147488977608e-06,1,13.89,2.52147e-05,2.046,2.5198625271242923e-05,9.002113804421441e-07,5.0,1,38.965,48.026,3.437,3.589,3.54,3.723,7.969,3.5,5.23629,5.99799,4154.6,0.9,14.2,5.246,6.0,15.9713,15.9713,0.008982894010841846,15.902592088909163
114059.451995,1620262841.50383,177.0102,0,85.78,3.51669e-06,11.286,3.448686035074109e-06,6.882391935837558e-07,1,13.8898,2.46951e-05,-177.45,-2.4670646321297594e-05,-1.0987147488977608e-06,1,13.89,2.52185e-05,2.046,2.5202422848689044e-05,9.003470474635909e-07,5.0,1,38.964,48.035,3.402,3.666,3.54,3.723,7.915,3.5,5.23295,5.99902,4154.7,0.9,14.2,5.246,6.0,15.9713,15.9713,0.008195167407393456,15.90287057422149
114059.958833,1620262842.010668,177.0102,0,85.78,3.51669e-06,11.256,3.4490459235183047e-06,6.864333715385373e-07,1,13.8898,2.46932e-05,-177.438,-2.466851756510424e-05,-1.1037968020172388e-06,1,13.89,2.52222e-05,2.046,2.5206120489886584e-05,9.004791443002632e-07,5.0,1,38.964,48.046,3.402,3.666,3.539,3.723,7.915,3.5,5.23542,5.99767,4154.7,0.8,14.3,5.246,6.0,15.9713,15.9713,0.008589016273617744,15.902870337426016
114060.211751,1620262842.263586,177.0102,0,85.78,3.51669e-06,11.256,3.4490459235183047e-06,6.864333715385373e-07,1,13.8903,2.46932e-05,-177.432,-2.466840184051336e-05,-1.1063800770788502e-06,1,13.89,2.52241e-05,2.046,2.5208019278609647e-05,9.005469778109867e-07,5.0,1,38.964,48.046,3.399,3.742,3.539,3.723,7.859,3.499,5.23682,5.99716,4154.8,0.8,14.2,5.246,6.0,15.9713,15.9713,0.009376740083098412,15.903148368323349
114060.349706,1620262842.401541,177.0102,0,85.78,3.51669e-06,11.286,3.448686035074109e-06,6.882391935837558e-07,1,13.8893,2.46913e-05,-177.432,-2.4666503748589392e-05,-1.1062949474825867e-06,1,13.89,2.52241e-05,2.046,2.5208019278609647e-05,9.005469778109867e-07,5.0,1,38.969,48.046,3.399,3.742,3.539,3.723,7.859,3.499,5.239,5.99713,4154.8,0.8,14.2,5.246,6.0,15.9713,15.9713,0.008589016273617744,15.903148159338947
114060.503658,1620262842.555493,177.0102,0,85.78,3.51669e-06,11.286,3.448686035074109e-06,6.882391935837558e-07,1,13.8893,2.46895e-05,-177.426,-2.466458957851076e-05,-1.1087971742471121e-06,1,13.89,2.52296e-05,2.046,2.5213515772281662e-05,9.007433379736073e-07,5.0,1,38.959,48.031,3.463,3.769,3.538,3.722,7.802,3.499,5.24877,5.99846,4154.9,0.8,14.2,5.246,6.0,15.9713,15.9713,0.007801289204508066,15.90342538790738
114061.059479,1620262843.111314,177.0102,0,85.78,3.51669e-06,11.31,3.4483974435706864e-06,6.896837153907243e-07,1,13.8898,2.46876e-05,-177.42,-2.4662575256250823e-05,-1.111294510813687e-06,1,13.89,2.52315e-05,2.046,2.5215414561004725e-05,9.008111714843308e-07,5.0,1,38.959,48.032,3.551,3.769,3.538,3.722,7.745,3.499,5.25599,5.99901,4155.0,0.7,14.1,5.246,6.0,15.9713,15.9713,0.008195167407393456,15.903702860990823
114061.21243,1620262843.264265,177.0102,0,85.78,3.51669e-06,11.31,3.4483974435706864e-06,6.896837153907243e-07,1,13.8898,2.46876e-05,-177.414,-2.46624587465343e-05,-1.1138771635570606e-06,1,13.89,2.52334e-05,2.04,2.5217407551287016e-05,8.982382491815e-07,5.0,1,38.959,48.032,3.551,3.756,3.538,3.722,7.745,3.499,5.25856,5.99819,4155.0,0.7,14.2,5.246,6.0,15.9713,15.9713,0.009376740083098412,15.903702614640926
114061.351387,1620262843.403222,177.0102,0,85.78,3.51855e-06,11.304,3.4502935659887416e-06,6.896871834365883e-07,1,13.8898,2.46858e-05,-177.414,-2.466066057961067e-05,-1.1137959495510655e-06,1,13.89,2.52334e-05,2.04,2.5217407551287016e-05,8.982382491815e-07,5.0,1,38.968,48.032,3.551,3.756,3.538,3.722,7.745,3.5,5.25902,5.99776,4155.1,0.8,14.2,5.246,6.0,15.9713,15.9713,0.007801289204508066,15.903980735753985
114061.512334,1620262843.564169,177.0102,0,85.78,3.51855e-06,11.304,3.4502935659887416e-06,6.896871834365883e-07,1,13.8898,2.46858e-05,-177.414,-2.466066057961067e-05,-1.1137959495510655e-06,1,13.89,2.5239e-05,2.034,2.5223097947977598e-05,8.957962417471381e-07,5.0,1,38.957,48.029,3.598,3.659,3.537,3.72,7.688,3.5,5.26482,6.00163,4155.2,1.0,14.1,5.329,6.083,15.9713,15.9713,0.008195167407393456,15.904258345044875
114062.188138,1620262844.239973,177.0102,0,85.78,3.51669e-06,11.364,3.4477459005346223e-06,6.929334466214675e-07,1,13.8893,2.46895e-05,-177.408,-2.46642400224621e-05,-1.116545728745062e-06,1,13.89,2.5239e-05,2.022,2.5223285009897934e-05,8.905135088578063e-07,5.0,1,38.957,48.029,3.598,3.576,3.537,3.72,7.631,3.5,5.27156,6.00364,4155.1,0.9,15.0,5.329,6.083,15.9713,15.9713,0.008589016273617744,15.903979533772649
114062.329094,1620262844.380929,177.0102,0,85.78,3.51669e-06,11.364,3.4477459005346223e-06,6.929334466214675e-07,1,13.8893,2.46913e-05,-177.408,-2.4666038180871155e-05,-1.116627131054211e-06,1,13.89,2.5239e-05,2.022,2.5223285009897934e-05,8.905135088578063e-07,5.0,1,38.954,48.029,3.598,3.576,3.537,3.72,7.631,3.499,5.27453,6.0083,4155.2,0.9,14.7,5.329,6.083,15.9723,15.9723,0.008195167407393456,15.90425741436494
114062.468049,1620262844.519884,177.0102,0,85.78,3.51669e-06,11.364,3.4477459005346223e-06,6.929334466214675e-07,1,13.8898,2.46932e-05,-177.408,-2.4667936236969607e-05,-1.1167130557138686e-06,1,13.89,2.5239e-05,2.022,2.5223285009897934e-05,8.905135088578063e-07,5.0,1,38.956,48.03,3.506,3.569,3.537,3.72,7.576,3.499,5.27978,6.02644,4155.3,1.0,14.6,5.329,6.083,15.9723,15.9723,0.008195167407393456,15.904535076459354
114062.987883,1620262845.039718,177.0102,0,85.78,3.51669e-06,11.394,3.447382608837432e-06,6.947385870852582e-07,1,13.8903,2.47007e-05,-177.414,-2.4675545405811812e-05,-1.1144682210451353e-06,1,13.89,2.5239e-05,2.022,2.5223285009897934e-05,8.905135088578063e-07,5.0,1,38.956,48.03,3.506,3.569,3.536,3.72,7.576,3.499,5.27974,6.03537,4155.3,1.0,14.6,5.329,6.083,15.9723,15.9723,0.008589016273617744,15.904535080293087
