time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
245905.949699,1620394688.001534,267.0031,0,85.78,3.68433e-06,11.478,3.610647762883222e-06,7.331509266763443e-07,1,14.1177,5.9251e-06,-170.31,-5.840565774828786e-06,-9.972970670259762e-07,1,14.118,1.91909e-05,2.454,1.9173300399607622e-05,8.217022553250253e-07,5.0,1,39.448,48.655,3.51,3.495,3.405,3.581,5.823,3.436,2.27342,3.00539,-4120.8,0.4,7.2,2.273,3.0,-15.9734,-15.9734,0.007920444943010807,-15.921532248627525
245906.213612,1620394688.265447,267.0031,0,85.78,3.67315e-06,11.49,3.5995381858698824e-06,7.316801015228957e-07,1,14.1177,5.92929e-06,-170.316,-5.844800474027349e-06,-9.973902560731586e-07,1,14.118,1.91891e-05,2.454,1.917150205035254e-05,8.216251842100915e-07,5.0,1,39.448,48.655,3.51,3.495,3.405,3.581,5.823,3.436,2.2734,3.00295,-4120.9,0.4,7.4,2.273,3.0,-15.9734,-15.9734,0.008314382284879684,-15.921816142050545
245906.353566,1620394688.405401,267.0031,0,85.78,3.66197e-06,11.496,3.5885058309924115e-06,7.298288716085843e-07,1,14.1177,5.93349e-06,-170.316,-5.848940626050764e-06,-9.980967553463442e-07,1,14.118,1.91891e-05,2.46,1.9171415904845086e-05,8.236328147013468e-07,5.0,1,39.443,48.655,3.396,3.499,3.405,3.581,5.823,3.435,2.27344,2.99744,-4120.7,0.4,7.5,2.273,3.0,-15.9734,-15.9734,0.008314382284879684,-15.9212483552045
245906.963372,1620394689.015207,267.0031,0,85.78,3.61913e-06,11.364,3.548177582045011e-06,7.131183654718362e-07,1,14.1177,5.9563e-06,-170.352,-5.872053969047853e-06,-9.982443962223637e-07,1,14.118,1.91891e-05,2.466,1.917132954909953e-05,8.256404361604579e-07,5.0,1,39.442,48.644,3.328,3.565,3.405,3.58,5.823,3.435,2.2727,2.97927,-4120.7,0.4,7.8,2.273,3.0,-15.9756,-15.9756,0.008293390274047852,-15.9212483552045
245907.239284,1620394689.291119,267.0031,0,85.78,3.60982e-06,11.364,3.5390501029854468e-06,7.112839102346541e-07,1,14.1177,5.96096e-06,-170.364,-5.876857164408084e-06,-9.977945633973866e-07,1,14.118,1.91891e-05,2.466,1.917132954909953e-05,8.256404361604579e-07,5.0,1,39.442,48.644,3.328,3.565,3.405,3.581,5.823,3.435,2.27252,2.97702,-4120.8,0.4,7.7,2.273,3.0,-15.9756,-15.9756,0.008293390274047852,-15.921532248627525
245907.397234,1620394689.449069,267.0031,0,85.78,3.60423e-06,11.304,3.534311457658297e-06,7.064817146715707e-07,1,14.1172,5.96608e-06,-170.376,-5.8821139547219e-06,-9.97419665971093e-07,1,14.118,1.91891e-05,2.466,1.917132954909953e-05,8.256404361604579e-07,5.0,1,39.449,48.657,3.315,3.627,3.405,3.581,5.825,3.435,2.27235,2.97061,-4120.8,0.4,7.9,2.273,3.0,-15.9756,-15.9756,0.007899423129856586,-15.921532248627525
245907.955056,1620394690.006891,267.0031,0,85.78,3.58561e-06,11.064,3.5189658281190185e-06,6.880977929267242e-07,1,14.1177,5.9861e-06,-170.442,-5.903001079675897e-06,-9.939675363638385e-07,1,14.118,1.91928e-05,2.49,1.9174678530286994e-05,8.338315778087429e-07,5.0,1,39.447,48.657,3.37,3.676,3.405,3.58,5.826,3.435,2.27129,2.96,-4120.8,0.4,8.0,2.273,3.0,-15.9756,-15.9756,0.00671754963696003,-15.921532248627525
245908.212972,1620394690.264807,267.0031,0,85.78,3.58188e-06,11.022,3.5158080888065003e-06,6.848049482026109e-07,1,14.1177,5.9903e-06,-170.46,-5.907454967052512e-06,-9.928090965772854e-07,1,14.118,1.91928e-05,2.496,1.9174591106511574e-05,8.358395408732694e-07,5.0,1,39.447,48.66,3.37,3.676,3.405,3.581,5.826,3.435,2.27109,2.95934,-4120.8,0.4,7.9,2.273,3.0,-15.9756,-15.9756,0.008293390274047852,-15.921532248627525
245908.351939,1620394690.403774,267.0031,0,85.78,3.57816e-06,10.974,3.5127285809787552e-06,6.811511594168938e-07,1,14.1177,5.99402e-06,-170.472,-5.911331452890762e-06,-9.921875903600084e-07,1,14.118,1.91947e-05,2.49,1.9176576736343827e-05,8.339141233465402e-07,5.0,1,39.447,48.66,3.456,3.69,3.405,3.581,5.826,3.435,2.27093,2.95634,-4120.9,0.4,8.0,2.273,3.0,-15.9756,-15.9756,0.007899423129856586,-15.921816142050545
245908.980728,1620394691.032563,267.0031,0,85.78,3.57816e-06,10.734,3.515550954881156e-06,6.66431143655661e-07,1,14.1172,6.00799e-06,-170.526,-5.92604339684845e-06,-9.889153142554156e-07,1,14.118,1.92021e-05,2.514,1.918361862261348e-05,8.422713055289453e-07,5.0,1,39.454,48.661,3.501,3.623,3.405,3.58,5.825,3.435,2.26974,2.94919,-4120.7,0.4,8.1,2.273,3.0,-15.9756,-15.9756,0.007899423129856586,-15.9212483552045
245909.23766,1620394691.289495,267.0031,0,85.78,3.57816e-06,10.71,3.5158298004790267e-06,6.649584946924196e-07,1,14.1177,6.00939e-06,-170.538,-5.9276313376010074e-06,-9.879042957647722e-07,1,14.118,1.9204e-05,2.514,1.9185516793927188e-05,8.423546461781716e-07,5.0,1,39.454,48.656,3.531,3.623,3.405,3.58,5.825,3.435,2.26948,2.94861,-4120.7,0.4,8.0,2.273,3.0,-15.9756,-15.9756,0.007505455985665321,-15.9212483552045
245909.393611,1620394691.445446,267.0031,0,85.78,3.57816e-06,10.68,3.5161774899744223e-06,6.631175194467202e-07,1,14.1177,6.01125e-06,-170.55,-5.929672872202209e-06,-9.86968181437075e-07,1,14.118,1.92059e-05,2.52,1.9187326640134595e-05,8.444472836010815e-07,5.0,1,39.454,48.663,3.531,3.517,3.405,3.58,5.823,3.435,2.2691,2.9459,-4120.9,0.4,8.0,2.273,3.0,-15.9756,-15.9756,0.007899423129856586,-15.921816142050545
245909.93044,1620394691.982275,267.0031,0,85.78,3.58002e-06,10.596,3.5189741755161773e-06,6.583038450823748e-07,1,14.1177,6.01544e-06,-170.61,-5.9348370281026405e-06,-9.814417167931167e-07,1,14.118,1.92096e-05,2.532,1.9190845746390416e-05,8.486293055561988e-07,5.0,1,39.454,48.663,3.484,3.494,3.405,3.58,5.823,3.435,2.2686,2.9426,-4120.8,0.4,8.1,2.273,3.0,-15.9756,-15.9756,0.007899423129856586,-15.921532248627525
245910.112528,1620394692.164363,267.0031,0,85.78,3.58188e-06,10.59,3.5208714130764947e-06,6.582771657749692e-07,1,14.1177,6.01637e-06,-170.628,-5.936062650463568e-06,-9.79728629096572e-07,1,14.118,1.92114e-05,2.532,1.919264398905781e-05,8.487088247939758e-07,5.0,1,39.455,48.663,3.484,3.494,3.405,3.58,5.823,3.435,2.26845,2.94156,-4120.8,0.4,8.2,2.273,3.0,-15.9756,-15.9756,0.007899423129856586,-15.921532248627525
245910.253485,1620394692.30532,267.0031,0,85.78,3.58188e-06,10.59,3.5208714130764947e-06,6.582771657749692e-07,1,14.1177,6.01684e-06,-170.646,-5.936833898747882e-06,-9.77940102602416e-07,1,14.118,1.92133e-05,2.532,1.919454213409561e-05,8.487927617671849e-07,5.0,1,39.455,48.662,3.36,3.494,3.405,3.58,5.823,3.435,2.26837,2.94126,-4120.9,0.4,8.1,2.273,3.0,-15.9756,-15.9756,0.007899423129856586,-15.921816142050545
245910.410432,1620394692.462267,267.0031,0,85.78,3.58002e-06,10.56,3.519387105376033e-06,6.560926786002943e-07,1,14.1177,6.0173e-06,-170.67,-5.937696931134987e-06,-9.755277771494516e-07,1,14.118,1.92152e-05,2.532,1.9196440279133407e-05,8.488766987403938e-07,5.0,1,39.448,48.662,3.36,3.525,3.404,3.58,5.823,3.435,2.26819,2.94018,-4120.8,0.4,8.2,2.273,3.0,-15.9756,-15.9756,0.007899423129856586,-15.921532248627525
245910.996245,1620394693.04808,267.0031,0,85.78,3.58002e-06,10.56,3.519387105376033e-06,6.560926786002943e-07,1,14.1177,6.0187e-06,-170.79,-5.9411089991018505e-06,-9.633138381602347e-07,1,14.118,1.9217e-05,2.526,1.919832731902177e-05,8.469457784901902e-07,5.0,1,39.455,48.665,3.316,3.589,3.405,3.58,5.825,3.435,2.26732,2.9375,-4120.8,0.4,8.2,2.273,3.0,-15.9734,-15.9734,0.007899423129856586,-15.921532248627525
245911.291201,1620394693.343036,267.0031,0,85.78,3.58002e-06,10.56,3.519387105376033e-06,6.560926786002943e-07,1,14.1177,6.0187e-06,-170.82,-5.941612574630618e-06,-9.602029488557689e-07,1,14.118,1.9217e-05,2.526,1.919832731902177e-05,8.469457784901902e-07,5.0,1,39.455,48.665,3.316,3.589,3.405,3.58,5.825,3.435,2.26726,2.93744,-4120.7,0.4,8.2,2.273,3.0,-15.9734,-15.9734,0.005141669884324074,-15.9212483552045
245911.433156,1620394693.484991,267.0031,0,85.78,3.58002e-06,10.56,3.519387105376033e-06,6.560926786002943e-07,1,14.1177,6.0187e-06,-170.844,-5.942014262232958e-06,-9.577140478347988e-07,1,14.118,1.9217e-05,2.526,1.919832731902177e-05,8.469457784901902e-07,5.0,1,39.449,48.665,3.406,3.67,3.405,3.58,5.826,3.435,2.26718,2.93743,-4120.8,0.4,8.2,2.273,3.0,-15.9734,-15.9734,0.008293390274047852,-15.921532248627525
245911.992485,1620394694.04432,267.0031,0,85.78,3.58374e-06,10.584,3.5227686836189316e-06,6.582500963264195e-07,1,14.1177,6.0187e-06,-170.94,-5.943610586103949e-06,-9.477567677168373e-07,1,14.118,1.9217e-05,2.526,1.919832731902177e-05,8.469457784901902e-07,5.0,1,39.456,48.665,3.406,3.687,3.405,3.58,5.826,3.434,2.26677,2.93648,-4120.9,0.4,8.3,2.273,3.0,-15.9734,-15.9734,0.007920444943010807,-15.921816142050545
245912.202417,1620394694.254252,267.0031,0,85.78,3.58374e-06,10.584,3.5227686836189316e-06,6.582500963264195e-07,1,14.1182,6.01917e-06,-170.964,-5.944471227318827e-06,-9.453408467206951e-07,1,14.118,1.92189e-05,2.526,1.9200225472839024e-05,8.470295166896558e-07,5.0,1,39.456,48.659,3.406,3.687,3.405,3.58,5.826,3.434,2.26672,2.93533,-4120.8,0.4,8.3,2.273,3.0,-15.9734,-15.9734,0.008314382284879684,-15.921532248627525
245912.344371,1620394694.396206,267.0031,0,85.78,3.58374e-06,10.584,3.5227686836189316e-06,6.582500963264195e-07,1,14.1177,6.01917e-06,-170.982,-5.9447679215519676e-06,-9.434732893869888e-07,1,14.118,1.92189e-05,2.526,1.9200225472839024e-05,8.470295166896558e-07,5.0,1,39.456,48.659,3.489,3.687,3.405,3.58,5.825,3.434,2.26666,2.93578,-4120.9,0.4,8.2,2.273,3.0,-15.9734,-15.9734,0.007132539991289377,-15.921816142050545
245912.50432,1620394694.556155,267.0031,0,85.78,3.58561e-06,10.608,3.524330688474632e-06,6.600698980986215e-07,1,14.1177,6.01917e-06,-171.006,-5.945162601174322e-06,-9.409830681251222e-07,1,14.118,1.92208e-05,2.526,1.9202123626656275e-05,8.471132548891215e-07,5.0,1,39.454,48.658,3.519,3.573,3.405,3.58,5.824,3.434,2.26665,2.935,-4120.8,0.4,8.3,2.273,3.0,-15.9734,-15.9734,0.00870834942907095,-15.921532248627525
245913.122401,1620394695.174236,267.0031,0,85.78,3.59119e-06,10.668,3.5291210897617985e-06,6.647931632459052e-07,1,14.1177,6.01963e-06,-171.03,-5.946010611913124e-06,-9.385644037126668e-07,1,14.118,1.92208e-05,2.526,1.9202123626656275e-05,8.471132548891215e-07,5.0,1,39.45,48.658,3.519,3.573,3.404,3.58,5.824,3.434,2.2664,2.93432,-4120.9,0.4,8.2,2.273,3.0,-15.9707,-15.9707,0.008314382284879684,-15.921816142050545
245913.40036,1620394695.452195,267.0031,0,85.78,3.59119e-06,10.698,3.5287725211271207e-06,6.666409155146018e-07,1,14.1172,6.01963e-06,-171.03,-5.946010611913124e-06,-9.385644037126668e-07,1,14.118,1.92208e-05,2.526,1.9202123626656275e-05,8.471132548891215e-07,5.0,1,39.45,48.658,3.51,3.496,3.404,3.58,5.823,3.434,2.26633,2.93447,-4120.8,0.4,8.3,2.273,3.0,-15.9707,-15.9707,0.00870834942907095,-15.921532248627525
245913.554313,1620394695.606148,267.0031,0,85.78,3.59119e-06,10.698,3.5287725211271207e-06,6.666409155146018e-07,1,14.1182,6.01963e-06,-171.024,-5.945912293076133e-06,-9.391870633404903e-07,1,14.118,1.92226e-05,2.526,1.9203921877641044e-05,8.471925858149312e-07,5.0,1,39.451,48.662,3.397,3.496,3.404,3.58,5.822,3.434,2.26595,2.93421,-4120.8,0.4,8.3,2.273,3.0,-15.9707,-15.9707,0.007920444943010807,-15.921532248627525
245914.115132,1620394696.166967,267.0031,0,85.78,3.59306e-06,10.722,3.5303303221431947e-06,6.684668878533402e-07,1,14.1177,6.0187e-06,-171.0,-5.944599815539954e-06,-9.415321147376381e-07,1,14.118,1.92208e-05,2.526,1.9202123626656275e-05,8.471132548891215e-07,5.0,1,39.452,48.662,3.397,3.496,3.404,3.58,5.822,3.434,2.26617,2.93387,-4120.8,0.4,8.3,2.273,3.0,-15.968,-15.968,0.007920444943010807,-15.921532248627525
245914.390045,1620394696.44188,267.0031,0,85.78,3.59119e-06,10.752,3.528142659717927e-06,6.699664086941339e-07,1,14.1177,6.01824e-06,-170.994,-5.944046856834162e-06,-9.420826191793938e-07,1,14.118,1.92208e-05,2.526,1.9202123626656275e-05,8.471132548891215e-07,5.0,1,39.452,48.662,3.328,3.579,3.404,3.58,5.825,3.434,2.26596,2.93398,-4120.7,0.4,8.3,2.273,3.0,-15.968,-15.968,0.0063446322456002235,-15.9212483552045
245914.540995,1620394696.59283,267.0031,0,85.78,3.59119e-06,10.752,3.528142659717927e-06,6.699664086941339e-07,1,14.1182,6.0173e-06,-170.97,-5.9427233668123005e-06,-9.444248384826997e-07,1,14.118,1.92208e-05,2.526,1.9202123626656275e-05,8.471132548891215e-07,5.0,1,39.452,48.658,3.319,3.579,3.404,3.58,5.827,3.434,2.26587,2.93387,-4120.7,0.4,8.3,2.273,3.0,-15.968,-15.968,0.007920444943010807,-15.9212483552045
245915.108813,1620394697.160648,267.0031,0,85.78,3.58933e-06,10.782,3.525964218822627e-06,6.714656927070363e-07,1,14.1177,6.01777e-06,-170.904,-5.942095614675045e-06,-9.513440381689417e-07,1,14.118,1.92226e-05,2.526,1.9203921877641044e-05,8.471925858149312e-07,5.0,1,39.444,48.662,3.319,3.627,3.404,3.58,5.827,3.434,2.26593,2.93404,-4120.6,0.4,8.4,2.273,3.0,-15.968,-15.968,0.007920444943010807,-15.920964461781479
245915.359733,1620394697.411568,267.0031,0,85.78,3.58933e-06,10.782,3.525964218822627e-06,6.714656927070363e-07,1,14.1172,6.01824e-06,-170.886,-5.94226051421719e-06,-9.532852032709076e-07,1,14.118,1.92226e-05,2.526,1.9203921877641044e-05,8.471925858149312e-07,5.0,1,39.444,48.662,3.383,3.627,3.404,3.58,5.827,3.434,2.26583,2.93473,-4120.7,0.4,8.3,2.273,3.0,-15.9658,-15.9658,0.007920444943010807,-15.9212483552045
