time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
245532.386234,1620394314.438069,216.2005,0,85.78,4.15745e-06,8.598,4.1107269148047155e-06,6.215422225401173e-07,1,14.1177,4.79029e-06,-9.726,4.7214387285369775e-06,-8.092555942167636e-07,1,14.118,2.13758e-05,2.214,2.1359843107854236e-05,8.257893483521363e-07,5.0,1,39.293,48.452,3.65,3.729,3.621,3.794,8.297,3.541,2.27298,3.00162,-4120.1,0.4,8.9,2.273,3.0,-15.9729,-15.9729,0.009123368188738823,-15.919544994666364
245532.52619,1620394314.578025,216.2005,0,85.78,4.15745e-06,8.598,4.1107269148047155e-06,6.215422225401173e-07,1,14.1177,4.78936e-06,-9.738,4.720352534789662e-06,-8.100871292057477e-07,1,14.118,2.13758e-05,2.214,2.1359843107854236e-05,8.257893483521363e-07,5.0,1,39.29,48.452,3.65,3.617,3.62,3.794,8.297,3.541,2.27299,3.00156,-4120.2,0.4,8.9,2.273,3.0,-15.9729,-15.9729,0.008335464634001255,-15.919828888089384
245533.188976,1620394315.240811,216.2005,0,85.78,4.15e-06,8.568,4.103684933960734e-06,6.182798418060286e-07,1,14.1168,4.7833e-06,-9.804,4.713444750022818e-06,-8.144921598654791e-07,1,14.118,2.13796e-05,2.214,2.136364027117958e-05,8.259361498530737e-07,5.0,1,39.292,48.457,3.508,3.563,3.619,3.792,8.235,3.541,2.27321,3.00157,-4120.3,0.4,8.8,2.273,3.0,-15.9729,-15.9729,0.007153622340410948,-15.920112781512408
245533.429899,1620394315.481734,216.2005,0,85.78,4.14814e-06,8.568,4.101845692038525e-06,6.18002733250424e-07,1,14.1177,4.78237e-06,-9.81,4.712443029055122e-06,-8.148272913997094e-07,1,14.118,2.13796e-05,2.214,2.136364027117958e-05,8.259361498530737e-07,5.0,1,39.292,48.457,3.508,3.575,3.619,3.792,8.173,3.541,2.27306,3.00056,-4120.4,0.4,9.0,2.273,3.0,-15.9729,-15.9729,0.008335464634001255,-15.92039667493543
245533.58185,1620394315.633685,216.2005,0,85.78,4.14814e-06,8.55,4.10203964090203e-06,6.167140699451822e-07,1,14.1177,4.7819e-06,-9.822,4.711809157711147e-06,-8.157340689890098e-07,1,14.118,2.13814e-05,2.214,2.1365438927491585e-05,8.260056874061494e-07,5.0,1,39.293,48.452,3.443,3.575,3.617,3.791,8.173,3.541,2.27313,3.0015,-4120.3,0.4,8.9,2.273,3.0,-15.9729,-15.9729,0.008335464634001255,-15.920112781512408
245534.136674,1620394316.188509,216.2005,0,85.78,4.14069e-06,8.544,4.094736880192485e-06,6.151776638431496e-07,1,14.1177,4.78144e-06,-9.828,4.711270459087619e-06,-8.16148966138127e-07,1,14.118,2.13851e-05,2.208,2.1369222562378478e-05,8.239108504775506e-07,5.0,1,39.291,48.451,3.438,3.651,3.616,3.79,8.112,3.541,2.27308,3.00092,-4120.4,0.4,8.9,2.273,3.0,-15.9729,-15.9729,0.008335464634001255,-15.92039667493543
245534.377597,1620394316.429432,216.2005,0,85.78,4.14069e-06,8.544,4.094736880192485e-06,6.151776638431496e-07,1,14.1177,4.78237e-06,-9.822,4.712272268672088e-06,-8.158142452813674e-07,1,14.118,2.1387e-05,2.208,2.137112115171725e-05,8.239840524086105e-07,5.0,1,39.291,48.451,3.438,3.651,3.616,3.79,8.05,3.541,2.27309,3.00118,-4120.5,0.4,8.9,2.273,3.0,-15.9729,-15.9729,0.009517302736639977,-15.920680568358454
245534.519552,1620394316.571387,216.2005,0,85.78,4.14069e-06,8.544,4.094736880192485e-06,6.151776638431496e-07,1,14.1177,4.78284e-06,-9.822,4.7127353796330296e-06,-8.158944215737249e-07,1,14.118,2.1387e-05,2.208,2.137112115171725e-05,8.239840524086105e-07,5.0,1,39.291,48.451,3.438,3.709,3.616,3.79,8.05,3.541,2.2731,3.00107,-4120.4,0.4,8.9,2.273,3.0,-15.9729,-15.9729,0.008335464634001255,-15.92039667493543
245534.673503,1620394316.725338,216.2005,0,85.78,4.14069e-06,8.562,4.094543414365562e-06,6.16464032994308e-07,1,14.1177,4.7847e-06,-9.834,4.714397066244755e-06,-8.171991139146256e-07,1,14.118,2.1387e-05,2.184,2.13714644264554e-05,8.150320660878631e-07,5.0,1,39.293,48.444,3.487,3.758,3.614,3.789,7.988,3.541,2.27293,3.00041,-4120.5,0.4,8.9,2.273,3.0,-15.9729,-15.9729,0.008335464634001255,-15.920680568358454
245535.275309,1620394317.327144,216.2005,0,85.78,4.14069e-06,8.562,4.094543414365562e-06,6.16464032994308e-07,1,14.1177,4.7847e-06,-9.834,4.714397066244755e-06,-8.171991139146256e-07,1,14.118,2.1387e-05,2.184,2.13714644264554e-05,8.150320660878631e-07,5.0,1,39.293,48.444,3.487,3.758,3.614,3.788,7.988,3.541,2.273,3.00063,-4120.5,0.4,8.9,2.273,3.0,-15.9729,-15.9729,0.008335464634001255,-15.920680568358454
245535.417264,1620394317.469099,216.2005,0,85.78,4.14069e-06,8.586,4.094284831309273e-06,6.181790971965931e-07,1,14.1177,4.7847e-06,-9.84,4.714311463504244e-06,-8.176927999392417e-07,1,14.118,2.1387e-05,2.178,2.1371549659231453e-05,8.127940471017532e-07,5.0,1,39.293,48.444,3.572,3.763,3.614,3.788,7.93,3.541,2.27314,3.00056,-4120.5,0.4,8.9,2.273,3.0,-15.974,-15.974,0.008335464634001255,-15.920680568358454
245535.574214,1620394317.626049,216.2005,0,85.78,4.13883e-06,8.592,4.0923809476103885e-06,6.18329967360062e-07,1,14.1177,4.7847e-06,-9.846,4.714225809065523e-06,-8.18186476996853e-07,1,14.118,2.1387e-05,2.178,2.1371549659231453e-05,8.127940471017532e-07,5.0,1,39.287,48.451,3.626,3.763,3.612,3.786,7.93,3.541,2.27299,3.00095,-4120.5,0.4,8.9,2.273,3.0,-15.974,-15.974,0.008729401975870132,-15.920680568358454
