time,abs_time,platform_position,is_rotating,F_1,V1_R,V1_theta,V1_X,V1_Y,Vout_1,F_2,V2_R,V2_theta,V2_X,V2_Y,Vout_2,F_3,V3_R,V3_theta,V3_X,V3_Y,Vout_3,F_4,V4_R,V4_theta,V4_X,V4_Y,Vout_4,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
3.136859,1723639067.224787,0,0,313.3,7.05713e-07,-146.604,-5.891901098104972e-07,-3.884402822448958e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393232.470213,0.0016603197436779737,-7.71000905119016,35.495,34.386,3.154,2.938,3.069,2.991,5.701,3.04,296.792,0.0,1.2866,0.011775683504829819,13.1,0.0,296.8,300.0,0.001,0.001
4.783411,1723639068.871339,0,0,313.3,6.58914e-07,-157.566,-6.090472165880144e-07,-2.514540661082901e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,90.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393233.37142,0.0012456420809030533,-7.35564216146355,35.49,34.384,3.006,2.863,3.068,2.991,5.699,3.039,296.779,0.0,1.2866,0.011775295385731431,12.4,0.0,296.8,300.0,0.001,0.001
5.78335,1723639069.871278,0,0,313.3,6.88833e-07,-161.748,-6.541765678369641e-07,-2.15740399513049e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,90.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393234.521343,0.0016398557927459478,-6.485832508424721,35.494,34.388,3.042,2.739,3.068,2.99,5.702,3.04,296.823,0.0,1.2867,0.01177705333756503,13.5,0.0,296.8,300.0,0.001,0.001
6.813583,1723639070.901511,0,0,313.3,6.30625e-07,-171.774,-6.241367554370804e-07,-9.022860487380929e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393235.432045,0.0004572424804791808,-7.6777938795389025,35.493,34.384,3.113,2.831,3.069,2.991,5.702,3.039,296.775,0.0,1.2864,0.011774287328489447,18.0,0.0,296.8,300.0,0.001,0.001
7.833521,1723639071.921449,0,0,313.3,6.83594e-07,-170.79,-6.747813423383839e-07,-1.0941159384639665e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393236.431519,0.0012456420809030533,-7.387857333399049,35.492,34.388,3.15,2.946,3.068,2.991,5.699,3.039,296.801,0.0,1.2866,0.011775952202667164,11.6,0.0,296.8,300.0,0.001,0.001
8.840785,1723639072.928713,0,0,313.3,6.7626e-07,-155.832,-6.169850793639181e-07,-2.768700045911433e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393237.528816,0.0016398557927459478,-7.452287677184691,35.493,34.378,2.986,2.829,3.068,2.99,5.699,3.04,296.821,0.0,1.2866,0.01177654930897238,14.7,0.0,296.8,300.0,0.0016,0.0016
9.883349,1723639073.971277,0,0,313.3,7.02687e-07,-143.046,-5.615301256685038e-07,-4.2243690408830806e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,45.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393238.587365,0.0012456420809030533,-7.484502849034848,35.499,34.382,3.01,2.739,3.068,2.99,5.703,3.04,296.804,0.0,1.2868,0.011776930404559644,12.9,0.0,296.8,300.0,0.0016,0.0016
10.941046,1723639075.028974,0,0,313.3,5.82779e-07,-148.818,-4.98583146764988e-07,-3.017386428731369e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,45.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393239.519045,0.0012456420809030533,-7.420072505306094,35.501,34.393,3.156,2.879,3.069,2.991,5.702,3.04,296.778,0.0,1.2862,0.011773458403143752,14.0,0.0,296.8,300.0,0.0005,0.0005
11.960984,1723639076.048912,0,0,313.3,8.75447e-07,-145.812,-7.241682514065545e-07,-4.919225482367862e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393240.628969,0.0008514574728906155,-7.8388697375113905,35.496,34.393,2.997,2.947,3.068,2.991,5.7,3.039,296.742,0.0,1.2867,0.01177463505707674,17.1,0.0,296.8,300.0,0.0005,0.0005
13.000919,1723639077.088847,0,0,313.3,6.57052e-07,-152.904,-5.849369985170812e-07,-2.992758568107828e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393241.588915,0.0008514574728906155,-7.8066545659736395,35.494,34.388,2.992,2.752,3.068,2.99,5.703,3.039,296.817,0.0,1.2867,0.01177687420567701,14.4,0.0,296.8,300.0,0.001,0.001
