time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
2.951834,1723641524.771117,0,0,212.002,9.54611e-09,113.358,-3.784794293639982e-09,8.76376336324357e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.197,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.6703e-05,159.444,-2.500280542848356e-05,9.376029527758173e-06,0.004,4395690.107249,0.00037613610038533807,-7.516718020856569,35.305,34.335,2.998,2.872,3.07,2.992,5.701,3.043,296.804,299.992,1.2851,0.011769376999012716,13.6,28.7,296.8,300.0,0.0005,0.0005
4.647845,1723641526.467128,0,0,212.002,1.0361e-08,54.078,6.078626159963935e-09,8.39050803035204e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.197,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.6703e-05,147.996,-2.2644440369816884e-05,1.4152015027472494e-05,0.004,4395691.227167,0.001164565677754581,-7.6777938795389025,35.302,34.338,2.992,2.739,3.069,2.991,5.704,3.043,296.872,300.015,1.2853,0.011772295796919043,11.7,29.4,296.8,300.0,0.0016,0.0016
5.677783,1723641527.497066,0,0,212.002,1.38535e-08,111.396,-5.0539200425851334e-09,1.2898734606664186e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.197,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,156.798,-2.1037130631828568e-05,9.017394949173526e-06,0.004,4395691.83713,-1.807955231925007e-05,-7.581148364414737,35.304,34.34,3.119,2.844,3.07,2.992,5.704,3.043,296.882,300.013,1.2852,0.011771884846238501,15.9,27.5,296.8,300.0,0.0005,0.0005
7.067556,1723641528.886839,0,0,212.002,5.35513e-09,131.988,-3.5824478121909795e-09,3.980387542668184e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.189,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,156.798,-2.1037130631828568e-05,9.017394949173526e-06,0.004,4395693.506885,-1.807955231925007e-05,-8.032160766142567,35.3,34.342,3.053,2.949,3.07,2.992,5.701,3.043,296.789,300.039,1.2852,0.011769373487133174,13.8,28.9,296.8,300.0,0.0005,0.0005
8.667456,1723641530.486739,0,0,212.002,7.79988e-09,157.122,-7.186300493928573e-09,3.032360998522759e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.197,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,165.966,-2.2205129932399402e-05,5.550358688883095e-06,0.004,4395694.706826,0.0023472353350371122,-7.548933192649863,35.318,34.337,3.02,2.74,3.069,2.991,5.704,3.044,296.818,300.029,1.2852,0.011770239291515432,14.0,26.9,296.8,300.0,0.001,0.001
9.687393,1723641531.506676,0,0,212.002,9.89536e-09,157.056,-9.112501538945766e-09,3.857520606855008e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.197,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,156.798,-2.1037130631828568e-05,9.017394949173526e-06,0.004,4395695.806743,0.001558809308335185,-7.9355152519545085,35.323,34.336,3.131,2.916,3.07,2.992,5.703,3.044,296.846,300.043,1.2852,0.011771075240574164,10.6,26.4,296.8,300.0,0.0005,0.0005
11.027398,1723641532.846681,0,0,212.002,1.22237e-08,174.102,-1.2158992678490779e-08,1.2560807037796722e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.197,8.58313e-06,0.0,8.58313e-06,0.0,0.004,322.2,3.43325e-05,164.748,-3.312324555058738e-05,9.031675395268215e-06,0.004,4395697.317228,0.001558809308335185,-8.12880628007575,35.325,34.343,3.088,2.933,3.069,2.991,5.701,3.044,296.788,300.041,1.2857,0.011771565221723625,12.5,27.9,296.8,300.0,0.001,0.001
12.647299,1723641534.466582,0,0,212.002,1.10595e-08,28.722,9.698757992630911e-09,5.314756217398689e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.197,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,171.87,-2.2658266778172038e-05,3.2368539508580523e-06,0.004,4395698.73665,0.0015792414778843522,-7.581148364414737,35.319,34.34,3.064,2.776,3.069,2.991,5.704,3.044,296.782,300.02,1.2853,0.01176960881785483,13.4,26.4,296.8,300.0,0.001,0.001
13.647331,1723641535.466614,0,0,212.002,9.19687e-09,25.644,8.290982374432113e-09,3.980204650989198e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.189,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,164.052,-2.2007362762373076e-05,6.288899835051828e-06,0.004,4395699.696701,0.0019734548404812813,-7.903300080501818,35.325,34.344,3.154,2.933,3.07,2.992,5.702,3.044,296.799,300.0,1.2854,0.011770560676321037,15.0,28.0,296.8,300.0,0.0005,0.0005
14.977239,1723641536.796522,0,0,212.002,5.35513e-09,51.006,3.369656673191458e-09,4.162070545019183e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.197,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,165.966,-2.2205129932399402e-05,5.550358688883095e-06,0.004,4395701.526581,0.0007908131228759885,-7.581148364414737,35.322,34.337,3.012,2.891,3.069,2.991,5.701,3.044,296.754,300.029,1.2852,0.01176832855080976,14.0,28.8,296.8,300.0,0.001,0.001
16.007088,1723641537.826371,0,0,212.002,1.05939e-08,75.786,2.6012713226576177e-09,1.0269571788342447e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.197,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,171.87,-2.2658266778172038e-05,3.2368539508580523e-06,0.004,4395702.546432,0.001185027533210814,-7.742224222813032,35.313,34.333,2.982,2.739,3.069,2.991,5.703,3.044,296.784,300.001,1.2854,0.011770112846485858,14.8,28.0,296.8,300.0,0.001,0.001
17.037035,1723641538.856318,0,0,212.002,8.84762e-09,62.478,4.088389354826782e-09,7.846365537479061e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.189,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,164.052,-2.2007362762373076e-05,6.288899835051828e-06,0.004,4395703.576368,0.0015792414778843522,-8.096591108792998,35.312,34.332,3.134,2.824,3.07,2.991,5.704,3.043,296.781,300.018,1.2853,0.011769578962531894,13.6,29.4,296.8,300.0,0.001,0.001
18.647118,1723641540.466401,0,0,212.002,1.19908e-08,47.916,8.036466710517002e-09,8.89912846579664e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.189,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,156.798,-2.1037130631828568e-05,9.017394949173526e-06,0.004,4395704.686473,0.0015792414778843522,-8.289882136065154,35.311,34.333,2.988,2.837,3.069,2.991,5.7,3.043,296.805,300.01,1.2853,0.011770295490282353,13.5,28.2,296.8,300.0,0.0016,0.0016
19.997034,1723641541.816317,0,0,212.002,1.50177e-08,45.0,1.0619117507825215e-08,1.0619117507825215e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.189,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,150.252,-1.987199136692704e-05,1.1356858544631837e-05,0.004,4395706.616364,0.001185027533210814,-8.032160766142567,35.309,34.332,3.076,2.743,3.069,2.991,5.704,3.043,296.803,300.023,1.2853,0.01177023577963648,13.7,28.9,296.8,300.0,0.0005,0.0005
20.986973,1723641542.806256,0,0,212.002,1.93251e-08,66.954,7.565197498876173e-09,1.778278034540712e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.189,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,156.798,-2.1037130631828568e-05,9.017394949173526e-06,0.004,4395707.306327,0.0015792414778843522,-7.8066545659736395,35.318,34.337,3.123,2.873,3.07,2.991,5.703,3.043,296.775,299.995,1.2853,0.01176939983059428,13.1,28.3,296.8,300.0,0.0005,0.0005
22.626871,1723641544.446154,0,0,212.002,6.40287e-09,58.122,3.3814344922532043e-09,5.43715412798831e-09,0.004,212.0,0.0,0.0,0.0,0.0,0.004,322.189,8.10629e-06,0.0,8.10629e-06,0.0,0.004,322.2,2.28883e-05,165.966,-2.2205129932399402e-05,5.550358688883095e-06,0.004,4395708.686238,0.0007908131228759885,-8.12880628007575,35.327,34.344,2.975,2.876,3.069,2.991,5.701,3.043,296.824,300.001,1.2853,0.011770862741418132,14.3,28.9,296.8,300.0,0.0005,0.0005
