# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x0000018BD7A4A7D0> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 0.519 uV, 34.152 deg, (26% from 2uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 212.002 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 3.262 uV, 3.282 deg, (16% from 20uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 212.0 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 1.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A;ground;DC;no filters 
#         Input Signal  = 2427.120 uV, -0.006 deg, (24% from 10mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 101.189 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 2749.460 uV, -4.974 deg, (27% from 10mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 101.19 Hz, Shift 180.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 1.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = 0.001 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.00585
#                     mid_setting              = 0.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = False
#                     level_gauge              = 0.0
#                     output_value             = 0.0005
#                     output_voltages          = 0.0
#                     ramp_status              = ........ RAMP STATUS: HOLDING ON TARGET AT 0.0000 TESLA;MY-STR=[HOLDING on TARGET=0.0]
#                     current_direction        = Direction.Positive
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 3.07
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 5.704
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 300.000 K
#                 Sample actual T = 299.996 K
#                 VTI Target T    = 296.800 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
71624.27409,1723713146.093373,0,0,212.002,2.74858e-07,63.732,1.2164402304826484e-07,2.464744445589303e-07,0.004,212.0,0.00119794,-2.598,0.0011967087005444743,-5.43003650186249e-05,1.0,118.14,0.00339939,-0.042,0.0033993890866772128,-2.491882795326681e-06,0.004,118.14,0.000550989,12.504,0.0005379200337274221,0.00011929340063762558,1.0,4467310.763416,0.0009715407504700124,-7.387857333399049,35.011,34.082,2.96,2.746,3.032,2.967,5.685,2.999,2.54235,3.21984,1.2892,0.012122601711017604,0.0,0.0,2.273,3.0,0.0005,0.0005
71625.364021,1723713147.183304,0,0,212.002,2.77303e-07,63.684,1.2293438740057338e-07,2.4856405653964887e-07,0.004,212.0,0.00118936,-2.526,0.0011882043284670725,-5.2418349956033335e-05,1.0,118.14,0.00339939,-0.042,0.0033993890866772128,-2.491882795326681e-06,0.004,118.14,0.000555281,12.48,0.0005421605425122125,0.0001199955628507299,1.0,4467311.933352,0.0009715407504700124,-7.516718020856569,35.013,34.081,3.085,2.833,3.032,2.968,5.685,2.999,2.59962,3.25274,1.2892,0.012122601711017604,0.0,0.0,2.273,3.0,0.001,0.001
71626.37395,1723713148.193233,0,0,212.002,2.72647e-07,61.962,1.2815964519563723e-07,2.4064806658755515e-07,0.004,212.0,0.00119198,-2.466,0.0011908761430153398,-5.128676629412232e-05,1.0,118.14,0.00339939,-0.042,0.0033993890866772128,-2.491882795326681e-06,0.004,118.14,0.000553612,12.252,0.0005410027667106316,0.00011748299006852841,1.0,4467312.81329,0.0005774744204245508,-7.548933192649863,35.014,34.078,3.108,2.938,3.033,2.968,5.683,2.999,2.64305,3.28558,1.2893,0.012123053143027656,0.0,0.0,2.273,3.0,0.0016,0.0016
71627.394123,1723713149.213406,0,0,212.002,2.75091e-07,60.96,1.3353470122296373e-07,2.4050684366623293e-07,0.004,212.0,0.00119448,-2.604,0.001193246580456406,-5.426848651928091e-05,1.0,118.14,0.00339939,-0.042,0.0033993890866772128,-2.491882795326681e-06,0.004,118.14,0.000560526,11.976,0.0005483259300699156,0.0001163102363894169,1.0,4467313.793466,0.002547710668295622,-7.645578707859249,35.013,34.076,2.954,2.777,3.032,2.967,5.683,2.999,2.62883,3.31219,1.2893,0.012123053143027656,0.0,0.0,2.273,3.0,0.001,0.001
71628.754038,1723713150.573321,0,0,212.002,2.79515e-07,61.398,1.338101209952382e-07,2.454047406718944e-07,0.004,212.0,0.00119639,-2.67,0.0011950912025035906,-5.573194594235681e-05,1.0,118.14,0.00339939,-0.042,0.0033993890866772128,-2.491882795326681e-06,0.004,118.14,0.000551227,12.87,0.0005373790499799423,0.00012278013752905912,1.0,4467315.443363,0.0013655766379088163,-7.35564216146355,35.019,34.083,3.063,2.807,3.032,2.968,5.686,2.999,2.47729,3.28169,1.2893,0.012123053143027656,0.0,0.0,2.232,2.958,0.001,0.001
71629.693996,1723713151.513279,0,0,212.002,2.79515e-07,61.758,1.322655663825374e-07,2.4624064484667557e-07,0.004,212.0,0.00120545,-2.628,0.0012041822064964645,-5.5271295057256724e-05,1.0,118.137,0.00339939,-0.042,0.0033993890866772128,-2.491882795326681e-06,0.004,118.14,0.000550989,13.164,0.000536510214517287,0.0001254817430529821,1.0,4467316.403324,0.0017596121178939939,-7.999945594774878,35.022,34.08,3.118,2.928,3.033,2.968,5.683,2.999,2.47762,3.24154,1.2892,0.012122601711017604,0.0,0.0,2.232,2.958,0.001,0.001
71631.363892,1723713153.183175,0,0,212.002,2.709e-07,61.698,1.28438821717186e-07,2.3851683185029295e-07,0.004,212.0,0.00120128,-2.754,0.001199892563098907,-5.771893467429464e-05,1.0,118.14,0.00339939,-0.042,0.0033993890866772128,-2.491882795326681e-06,0.004,118.14,0.000560049,12.492,0.0005467905222183024,0.00012114044416806504,1.0,4467317.973224,0.0005774744204245508,-8.06437593748194,35.024,34.088,2.94,2.738,3.032,2.967,5.683,3.0,2.52854,3.23445,1.2894,0.012123504575037707,0.0,0.0,2.232,2.958,0.001,0.001
71632.363821,1723713154.183104,0,0,212.002,2.71482e-07,62.448,1.2557493529285856e-07,2.406936059603462e-07,0.004,212.0,0.00118948,-2.628,0.00118822900243346,-5.45390518434657e-05,1.0,118.14,0.00339939,-0.042,0.0033993890866772128,-2.491882795326681e-06,0.004,118.14,0.000556234,12.864,0.0005422732352180454,0.00012383860917401497,1.0,4467318.883156,0.0013655766379088163,-7.903300080501818,35.026,34.083,3.02,2.771,3.032,2.967,5.685,3.0,2.5618,3.24622,1.2895,0.012123956007047758,0.0,0.0,2.232,2.958,0.001,0.001
71633.404473,1723713155.223756,0,0,212.002,2.73229e-07,61.98,1.2835744886192625e-07,2.412020973429916e-07,0.004,212.0,0.0011958,-2.802,0.0011943703392526118,-5.8456246147015684e-05,1.0,118.14,0.00339939,-0.042,0.0033993890866772128,-2.491882795326681e-06,0.004,118.14,0.000554089,12.024,0.0005419325228711813,0.00011542859513775827,1.0,4467319.783109,0.0009715407504700124,-7.6777938795389025,35.026,34.077,3.112,2.923,3.033,2.968,5.683,3.0,2.55565,3.25877,1.2895,0.012123956007047758,0.0,0.0,2.232,2.958,0.0005,0.0005
71634.543928,1723713156.363211,0,0,212.002,2.69853e-07,62.22,1.2577250198718028e-07,2.387507473347146e-07,0.004,212.0,0.00119007,-2.79,0.0011886593481714477,-5.792718623089823e-05,1.0,118.14,0.00339939,-0.048,0.0033993888070886205,-2.847865973726054e-06,0.004,118.14,0.000545505,11.4,0.0005347428271120224,0.00010782306746351522,1.0,4467321.013266,0.0009715407504700124,-8.289882136065154,35.026,34.081,2.998,2.876,3.032,2.968,5.682,3.0,2.52707,3.25745,1.2895,0.012123956007047758,0.0,0.0,2.19,2.917,0.0005,0.0005
