# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x0000018BD7A4A7D0> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 0.519 uV, 34.152 deg, (26% from 2uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 212.002 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 3.262 uV, 3.282 deg, (16% from 20uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 212.0 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 1.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A;ground;DC;no filters 
#         Input Signal  = 2427.120 uV, -0.006 deg, (24% from 10mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 101.189 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 2749.460 uV, -4.974 deg, (27% from 10mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 101.19 Hz, Shift 180.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 1.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = 0.001 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.00585
#                     mid_setting              = 0.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = False
#                     level_gauge              = 0.0
#                     output_value             = 0.0005
#                     output_voltages          = 0.0
#                     ramp_status              = ........ RAMP STATUS: HOLDING ON TARGET AT 0.0000 TESLA;MY-STR=[HOLDING on TARGET=0.0]
#                     current_direction        = Direction.Positive
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 3.07
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 5.704
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 300.000 K
#                 Sample actual T = 299.996 K
#                 VTI Target T    = 296.800 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
79085.147736,1723720606.967019,0,0,212.002,2.73229e-07,60.276,1.3547307942429443e-07,2.3727859404568885e-07,0.004,212.0,0.0011977,-2.7,0.0011963704032419513,-5.6419396014939005e-05,1.0,118.14,0.00339891,-0.048,0.003398908807257062,-2.8474638499134326e-06,0.004,118.14,0.000560287,11.736,0.0005485743136244251,0.00011396378723301061,1.0,4474771.687069,0.0008055323851294816,-7.35564216146355,34.634,33.99,2.927,2.733,3.026,2.962,5.678,2.99,2.385,3.09851,1.2897,0.012124858871067859,0.0,0.0,0.291,1.0,0.001,0.001
79086.472286,1723720608.291569,0,0,212.002,2.80097e-07,60.24,1.390311948091689e-07,2.4315562152443633e-07,0.004,212.0,0.00120319,-2.694,0.001201860237372951,-5.6552152229901106e-05,1.0,118.14,0.00339843,-0.042,0.0033984290869351385,-2.4911790786353e-06,0.004,118.14,0.000555281,12.408,0.0005423109052712622,0.00011931416925438521,1.0,4474772.961637,0.0011996278772130609,-7.96773042337886,34.628,33.991,3.08,2.779,3.026,2.963,5.678,2.989,2.40964,3.09355,1.2897,0.012124858871067859,0.0,0.0,0.291,1.0,0.001,0.001
79088.23245,1723720610.051733,0,0,212.002,2.74626e-07,58.86,1.4201761529768158e-07,2.350541146654526e-07,0.004,212.0,0.00120772,-2.754,0.0012063251251213805,-5.8028362900272306e-05,1.0,118.14,0.00339891,-0.042,0.003398909086806176,-2.4915309369809906e-06,0.004,118.14,0.000550274,12.186,0.0005378749519182742,0.00011615511686927207,1.0,4474774.761783,0.0008055323851294816,-7.8388697375113905,34.634,33.995,2.955,2.859,3.026,2.963,5.677,2.989,2.3877,3.08532,1.2896,0.012124407439057808,0.0,0.0,0.291,1.0,0.0005,0.0005
79089.372388,1723720611.191671,0,0,212.002,2.7544e-07,59.85,1.3834401844901052e-07,2.381766700568715e-07,0.004,212.0,0.00119949,-2.82,0.0011980374472429155,-5.9013007919257087e-05,1.0,118.14,0.00339891,-0.042,0.003398909086806176,-2.4915309369809906e-06,0.004,118.14,0.00054789,11.67,0.0005365644866764536,0.00011082420194900512,1.0,4474775.941723,0.0011996278772130609,-7.581148364414737,34.633,33.993,2.998,2.728,3.026,2.962,5.679,2.989,2.39825,3.0808,1.2897,0.012124858871067859,0.0,0.0,0.291,1.0,0.001,0.001
79090.58259,1723720612.401873,0,0,212.002,2.8324e-07,61.134,1.367377318142877e-07,2.480477580996932e-07,0.004,212.0,0.00120331,-2.706,0.0012019682329506081,-5.680953333369937e-05,1.0,118.14,0.00339843,-0.048,0.003398428807425503,-2.8470617261008106e-06,0.004,118.14,0.000552658,12.27,0.0005400336238822377,0.000117450202386449,1.0,4474776.981934,-0.0003767575544770807,-7.484502849034848,34.639,33.992,3.096,2.918,3.027,2.963,5.678,2.988,2.41924,3.08969,1.2895,0.012123956007047758,0.0,0.0,0.291,1.0,0.0005,0.0005
79092.282615,1723720614.101898,0,0,212.002,2.80446e-07,59.604,1.4189825766331658e-07,2.418984154311785e-07,0.004,212.0,0.00120915,-2.712,0.001207795736404347,-5.721172627601031e-05,1.0,118.137,0.00339843,-0.042,0.0033984290869351385,-2.4911790786353e-06,0.004,118.14,0.000552896,12.036,0.00054074156166695,0.00011529332288553439,1.0,4474778.761953,0.0011996278772130609,-7.420072505306094,34.642,33.991,2.943,2.776,3.026,2.962,5.677,2.989,2.43902,3.1014,1.2896,0.012124407439057808,0.0,0.0,0.291,1.0,0.0005,0.0005
79093.432554,1723720615.251837,0,0,212.002,2.78118e-07,59.838,1.3973945108742002e-07,2.4046311096254773e-07,0.004,212.0,0.00119937,-2.568,0.0011981655320272993,-5.3737833615977066e-05,1.0,118.14,0.00339843,-0.042,0.0033984290869351385,-2.4911790786353e-06,0.004,118.14,0.000557426,12.672,0.0005438481420032339,0.0001222822305800412,1.0,4474779.951889,0.0008055323851294816,-7.903300080501818,34.647,33.99,2.979,2.732,3.026,2.962,5.679,2.989,2.43356,3.10897,1.2897,0.012124858871067859,0.0,0.0,0.291,1.0,0.0016,0.0016
79094.712474,1723720616.531757,0,0,212.002,2.7742e-07,60.216,1.3780328486201527e-07,2.4077398339778795e-07,0.004,212.0,0.00120748,-2.898,0.0012059357811200623,-6.104786822113451e-05,1.0,118.137,0.00339843,-0.048,0.003398428807425503,-2.8470617261008106e-06,0.004,118.14,0.00054932,12.522,0.0005362532308451995,0.00011910052396226128,1.0,4474781.001831,0.0011996278772130609,-7.452287677184691,34.649,33.996,3.106,2.93,3.026,2.963,5.676,2.989,2.43804,3.12612,1.2897,0.012124858871067859,0.0,0.0,0.291,1.0,0.001,0.001
79096.232371,1723720618.051654,0,0,212.002,2.72763e-07,60.486,1.34372931480283e-07,2.3736800427689316e-07,0.004,212.0,0.00121249,-2.748,0.0012110957100121052,-5.813072587087521e-05,1.0,118.137,0.00339843,-0.042,0.0033984290869351385,-2.4911790786353e-06,0.004,118.14,0.000551943,12.144,0.0005395916046190367,0.00011611190926710864,1.0,4474782.791703,0.0015937227290123701,-7.35564216146355,34.649,33.993,2.928,2.737,3.026,2.962,5.678,2.989,2.40429,3.11198,1.2898,0.01212531030307791,0.0,0.0,0.291,1.0,0.001,0.001
79097.432296,1723720619.251579,0,0,212.002,2.81145e-07,59.904,1.4098025498857946e-07,2.4324283900734904e-07,0.004,212.0,0.00120247,-2.79,0.0012010446498069195,-5.853076174264387e-05,1.0,118.14,0.00339891,-0.042,0.003398909086806176,-2.4915309369809906e-06,0.004,118.14,0.000545982,11.334,0.00053533437320904,0.00010730076041149138,1.0,4474783.891634,0.0015937227290123701,-7.484502849034848,34.66,33.992,3.023,2.766,3.026,2.963,5.679,2.989,2.42194,3.10024,1.2899,0.012125761735087962,0.0,0.0,0.291,1.0,0.0005,0.0005
