# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x0000018BD7A4A7D0> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 0.286 uV, 59.508 deg, (6% from 5uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 212.002 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 2827.660 uV, -6.552 deg, (14% from 20mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 212.0 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 1.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 1.078 uV, 58.314 deg, (54% from 2uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 118.14 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 1.502 uV, -1.032 deg, (30% from 5uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 118.14 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 1.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = 0.001 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.00585
#                     mid_setting              = 0.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = False
#                     level_gauge              = 0.0
#                     output_value             = 0.0005
#                     output_voltages          = 0.0
#                     ramp_status              = ........ RAMP STATUS: HOLDING ON TARGET AT 0.0000 TESLA;MY-STR=[HOLDING on TARGET=0.0]
#                     current_direction        = Direction.Positive
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 3.046
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 5.698
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 1.000 K
#                 Sample actual T = 1.794 K
#                 VTI Target T    = 0.291 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
81949.930718,1723723471.750001,0,0,212.002,2.81727e-07,57.882,1.497842965675192e-07,2.3861007319636245e-07,0.004,212.0,0.00282861,-6.564,0.002810067857975248,-0.0003233468194901614,1.0,118.14,1.12598e-06,57.744,6.009389910908154e-07,9.522096877194397e-07,0.004,118.14,1.50526e-06,-1.134,1.5049651859393113e-06,-2.9790211658437966e-08,1.0,4477636.390056,0.004311187658458948,-7.742224222813032,34.657,34.024,3.044,2.771,3.046,2.979,5.699,3.041,1.7032,1.79349,1.2893,0.012123053143027656,0.0,0.0,0.291,1.0,0.0,0.0
81951.324409,1723723473.143692,0,0,212.002,2.90807e-07,59.85,1.4606233289682473e-07,2.5146472149734474e-07,0.004,212.0,0.00282861,-6.576,0.002810000074744547,-0.00032393535162998296,1.0,118.14,1.10269e-06,58.194,5.811670229716338e-07,9.371073190997327e-07,0.004,118.14,1.50153e-06,-1.158,1.5012233372057998e-06,-3.034522579717541e-08,1.0,4477637.963738,0.003917096648365259,-8.12880628007575,34.659,34.025,3.125,2.942,3.047,2.98,5.696,3.041,1.7033,1.79328,1.2896,0.012124407439057808,0.0,0.0,0.291,1.0,0.0005,0.0005
81952.364417,1723723474.1837,0,0,212.002,2.81261e-07,58.938,1.4512092115660612e-07,2.4093083730327696e-07,0.004,212.0,0.00282766,-6.63,0.0028087498780759936,-0.0003264738856449172,1.0,118.14,1.11515e-06,59.436,5.670543271547877e-07,9.602129516701132e-07,0.004,118.14,1.50153e-06,-1.068,1.5012691512957396e-06,-2.7987073226215965e-08,1.0,4477638.963746,0.004311187658458948,-7.35564216146355,34.658,34.028,2.974,2.883,3.046,2.979,5.696,3.041,1.70316,1.79294,1.2893,0.012123053143027656,0.0,0.0,0.291,1.0,0.0016,0.0016
81953.460546,1723723475.279829,0,0,212.002,2.82425e-07,58.26,1.4857404916981492e-07,2.4018666186590256e-07,0.004,212.0,0.00282766,-6.63,0.0028087498780759936,-0.0003264738856449172,1.0,118.137,1.09373e-06,58.77,5.670714495903931e-07,9.352407625630152e-07,0.004,118.14,1.50456e-06,-1.008,1.5043271672253236e-06,-2.6468236583364996e-08,1.0,4477640.050831,0.005887605249881744,-7.613363536151196,34.662,34.02,3.022,2.75,3.046,2.979,5.699,3.041,1.70307,1.79287,1.2891,0.012122150279007555,0.0,0.0,0.291,1.0,0.001,0.001
81954.611563,1723723476.430846,0,0,212.002,2.85918e-07,59.61,1.44641118318943e-07,2.4663343166619876e-07,0.004,212.0,0.00282766,-6.618,0.002808818193003431,-0.0003258856152899953,1.0,118.14,1.051e-06,57.288,5.679777984995159e-07,8.843088942285061e-07,0.004,118.14,1.50665e-06,-0.996,1.5064223619504603e-06,-2.6189500102074036e-08,1.0,4477640.565453,0.004311187658458948,-8.12880628007575,34.664,34.028,3.129,2.918,3.047,2.98,5.698,3.041,1.70298,1.79284,1.289,0.012121698846997504,0.0,0.0,0.291,1.0,0.001,0.001
81955.771923,1723723477.591206,0,0,212.002,2.81261e-07,58.926,1.4517137840994565e-07,2.409004379646421e-07,0.004,212.0,0.00282766,-6.576,0.002809056324962496,-0.0003238265566444429,1.0,118.14,1.0701e-06,56.694,5.876029754009678e-07,8.943359286643523e-07,0.004,118.14,1.50875e-06,-0.768,1.5086144629714384e-06,-2.0222873519825676e-08,1.0,4477641.626204,0.004311187658458948,-6.96906009601567,34.664,34.032,3.068,2.805,3.047,2.98,5.696,3.041,1.70298,1.79222,1.2891,0.012122150279007555,0.0,0.0,0.332,1.042,0.0005,0.0005
81956.82837,1723723478.647653,0,0,212.002,2.8359e-07,59.79,1.4269420245799644e-07,2.4507478998231604e-07,0.004,212.0,0.00282861,-6.588,0.0028099321682534505,-0.00032452386956041007,1.0,118.137,1.07871e-06,59.682,5.445315595280248e-07,9.311823907151472e-07,0.004,118.14,1.50549e-06,-0.996,1.5052625372135522e-06,-2.6169336281599202e-08,1.0,4477643.155733,0.004311187658458948,-7.516718020856569,34.66,34.022,3.003,2.733,3.046,2.979,5.699,3.042,1.70302,1.79185,1.2891,0.012122150279007555,0.0,0.0,0.332,1.042,0.0005,0.0005
81957.916739,1723723479.736022,0,0,212.002,2.82891e-07,58.044,1.4972511244472767e-07,2.4002022536530887e-07,0.004,212.0,0.00282766,-6.618,0.002808818193003431,-0.0003258856152899953,1.0,118.14,1.0758e-06,60.246,5.338949194320559e-07,9.339710140066652e-07,0.004,118.14,1.50572e-06,-0.846,1.5055558647752298e-06,-2.2231878933410645e-08,1.0,4477644.226093,0.003917096648365259,-7.96773042337886,34.655,34.019,3.115,2.779,3.047,2.98,5.699,3.042,1.70293,1.79158,1.2892,0.012122601711017604,0.0,0.0,0.332,1.042,0.0005,0.0005
81959.491991,1723723481.311274,0,0,212.002,2.77303e-07,56.322,1.5377142918827457e-07,2.3076243492907476e-07,0.004,212.0,0.00282957,-6.6,0.0028108177763599136,-0.0003252227129201005,1.0,118.14,1.06113e-06,59.766,5.343136847511605e-07,9.167910139108245e-07,0.004,118.14,1.50619e-06,-0.948,1.5059838367431612e-06,-2.4919862927954895e-08,1.0,4477645.931337,0.004311187658458948,-7.581148364414737,34.665,34.032,3.02,2.895,3.047,2.98,5.696,3.042,1.70267,1.79134,1.2893,0.012123053143027656,0.0,0.0,0.332,1.042,0.0005,0.0005
81960.489305,1723723482.308588,0,0,212.002,2.74975e-07,57.6,1.4733897294934958e-07,2.3216907131491662e-07,0.004,212.0,0.00282766,-6.552,0.002809191722671388,-0.0003226498735077384,1.0,118.14,1.08104e-06,60.798,5.274287456706001e-07,9.43645272250297e-07,0.004,118.14,1.50898e-06,-1.086,1.5087089465924128e-06,-2.8599910349718423e-08,1.0,4477646.67114,0.0031288834288716316,-7.387857333399049,34.666,34.027,2.976,2.734,3.047,2.979,5.698,3.042,1.70272,1.79133,1.2893,0.012123053143027656,0.0,0.0,0.332,1.042,0.0005,0.0005
