# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x0000018BD7A4A7D0> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 0.895 uV, 102.504 deg, (18% from 5uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 212.002 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 2815.260 uV, -6.582 deg, (14% from 20mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 212.0 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 1.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 1.607 uV, 32.946 deg, (80% from 2uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 118.14 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 1.374 uV, 5.400 deg, (27% from 5uV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 118.14 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 1.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = 4.150 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.0213
#                     mid_setting              = 15.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = True
#                     level_gauge              = 0.0
#                     output_value             = 4.1503
#                     output_voltages          = 0.2
#                     ramp_status              = ........ RAMP STATUS: HOLDING ON PAUSE AT 4.1608 TESLA;MY-STR=[HOLDING on PAUSE]
#                     current_direction        = Direction.Positive
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 3.197
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 5.781
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 3.000 K
#                 Sample actual T = 8.098 K
#                 VTI Target T    = 2.273 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
84114.201215,1723725636.020498,0,0,212.002,8.95936e-07,102.468,-1.9342748779978362e-07,8.748069061567041e-07,0.004,212.0,0.00281431,-6.636,0.002795455114705735,-0.00032522527233526394,1.0,118.14,1.61515e-06,34.02,1.338704684300226e-06,9.03647769173715e-07,0.004,118.14,1.36789e-06,5.196,1.3622689618187416e-06,1.2388029611398166e-07,1.0,4479800.310575,-0.0007294610841199756,-7.516718020856569,35.38,34.793,3.275,2.985,3.193,3.088,5.778,3.096,7.92043,8.12926,882.89,4.192306756726046,0.0,0.0,2.273,3.0,4.1492,4.1492
84115.23116,1723725637.050443,0,0,212.002,8.99894e-07,102.336,-1.92257169732019e-07,8.791168249570893e-07,0.004,212.0,0.00281717,-6.588,0.0027985677086761955,-0.00032321136869681587,1.0,118.14,1.6183e-06,33.84,1.3441533436685837e-06,9.011918101628346e-07,0.004,118.14,1.36439e-06,4.506,1.360172823389409e-06,1.0719124317258154e-07,1.0,4479801.870479,-0.0003353930951561779,-7.71000905119016,35.381,34.791,3.163,2.973,3.192,3.087,5.776,3.09,7.92624,8.14301,882.88,4.192261844507184,0.0,0.0,2.273,3.0,4.1498,4.1498
84116.581117,1723725638.4004,0,0,212.002,9.00593e-07,102.318,-1.9213010034240813e-07,8.798600889865481e-07,0.004,212.0,0.00281717,-6.6,0.002798499954066469,-0.000323797492253989,1.0,118.14,1.59816e-06,34.344,1.3195452462719832e-06,9.016183941341319e-07,0.004,118.14,1.36998e-06,4.86,1.3650544912393788e-06,1.1606651690819777e-07,1.0,4479803.150451,-0.0007294610841199756,-7.387857333399049,35.377,34.788,3.142,2.788,3.191,3.086,5.779,3.087,7.93344,8.15489,882.88,4.192261610654835,0.0,0.0,2.273,3.0,4.1492,4.1492
84118.181018,1723725640.000301,0,0,212.002,8.99196e-07,103.068,-2.0331478091486688e-07,8.759089828729579e-07,0.004,212.0,0.00281622,-6.576,0.0027976915907449553,-0.00032251643597646566,1.0,118.14,1.64728e-06,33.456,1.3743412433108144e-06,9.081396067427542e-07,0.004,118.14,1.35904e-06,5.334,1.3531549614031627e-06,1.263383236789438e-07,1.0,4479804.660356,-0.0011235595447942615,-7.387857333399049,35.383,34.792,3.283,2.992,3.19,3.086,5.776,3.093,7.95235,8.16156,882.89,4.192305719989306,0.0,0.0,2.273,3.0,4.1487,4.1487
84119.210955,1723725641.030238,0,0,212.002,8.971e-07,103.002,-2.018341028327017e-07,8.741003403120939e-07,0.004,212.0,0.00281622,-6.594,0.0027975901311594843,-0.0003233953407813094,1.0,118.14,1.62714e-06,32.772,1.3681501303239207e-06,8.807665981942318e-07,0.004,118.14,1.37883e-06,5.034,1.3735115816630826e-06,1.2098803220722942e-07,1.0,4479805.820288,-0.0007294610841199756,-7.613363536151196,35.387,34.793,3.11,2.899,3.188,3.085,5.775,3.094,7.96039,8.17368,882.88,4.192260735332498,0.0,0.0,2.273,3.0,4.1487,4.1487
84120.57092,1723725642.390203,0,0,212.002,8.94306e-07,103.194,-2.0412437499580588e-07,8.706988349415494e-07,0.004,212.0,0.00281622,-6.606,0.0027975223380401755,-0.0003239812595910927,1.0,118.137,1.59618e-06,32.538,1.3456354622508337e-06,8.585195368382625e-07,0.004,118.14,1.37208e-06,4.968,1.3669253968422417e-06,1.188212349190162e-07,1.0,4479806.92027,5.870413951925002e-05,-7.645578707859249,35.386,34.79,3.103,2.781,3.188,3.084,5.777,3.094,7.97226,8.18927,882.89,4.192305073328013,0.0,0.0,2.273,3.0,4.1492,4.1492
84122.212375,1723725644.031658,0,0,212.002,8.94772e-07,102.63,-1.9564565610387713e-07,8.731206727776426e-07,0.004,212.0,0.00281812,-6.6,0.002799443658193789,-0.0003239066825469572,1.0,118.14,1.59641e-06,33.696,1.3282017145308272e-06,8.856664686084545e-07,0.004,118.14,1.36626e-06,4.794,1.3614802985714052e-06,1.1418311697408229e-07,1.0,4479808.463516,-0.0007294610841199756,-7.8388697375113905,35.39,34.795,3.269,2.999,3.187,3.084,5.773,3.096,7.98514,8.19655,882.89,4.1923046549956435,0.0,0.0,2.273,3.0,4.1498,4.1498
84123.542282,1723725645.361565,0,0,212.002,9.0199e-07,102.45,-1.9445781660776758e-07,8.80779267274236e-07,0.004,212.0,0.00281908,-6.57,0.0028005665670847156,-0.0003225506932674767,1.0,118.14,1.60561e-06,32.454,1.3548499176443715e-06,8.616061587285923e-07,0.004,118.14,1.36975e-06,4.566,1.3654028161400083e-06,1.0904224950419253e-07,1.0,4479809.92164,-0.0015176584711298347,-7.71000905119016,35.393,34.79,3.08,2.837,3.185,3.082,5.774,3.095,7.99717,8.21246,882.88,4.192259540736747,0.0,0.0,2.273,3.0,4.1498,4.1498
84124.572276,1723725646.391559,0,0,212.002,8.95936e-07,102.69,-1.968155812844285e-07,8.740508812761833e-07,0.004,212.0,0.00281717,-6.546,0.0027988038830643208,-0.0003211598247665475,1.0,118.137,1.61539e-06,31.854,1.372105273718053e-06,8.525326796874747e-07,0.004,118.14,1.36277e-06,4.728,1.3581328004520623e-06,1.1232706368564278e-07,1.0,4479811.071613,-0.0007294610841199756,-7.999945594774878,35.389,34.785,3.215,2.791,3.185,3.082,5.775,3.092,8.00647,8.22365,882.88,4.192259238677462,0.0,0.0,2.273,3.0,4.1492,4.1492
84126.212174,1723725648.031457,0,0,212.002,9.00127e-07,103.326,-2.0747146764449942e-07,8.758905218361695e-07,0.004,212.0,0.00281717,-6.576,0.002798635340527006,-0.00032262523096200575,1.0,118.14,1.6318e-06,34.062,1.3518353087805719e-06,9.139543412742979e-07,0.004,118.14,1.36765e-06,5.268,1.361873227412352e-06,1.2557004004723346e-07,1.0,4479812.431518,-0.0007294610841199756,-7.516718020856569,35.391,34.793,3.208,2.995,3.184,3.081,5.771,3.092,8.02396,8.23499,882.89,4.192303394152279,0.0,0.0,2.273,3.0,4.1492,4.1492
