time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
84533.81296,1723726055.632243,0,0,212.002,8.59847e-07,103.482,-2.0046462065545396e-07,8.361523780235663e-07,0.004,212.0,0.00282957,-6.588,0.002810885829196996,-0.00032463400949301935,1.0,118.137,1.61131e-06,34.536,1.327349068206737e-06,9.134902118964973e-07,0.004,118.14,1.32737e-06,4.422,1.3234187125075726e-06,1.0234270020279462e-07,1.0,4480223.987097,0.005202270578593016,-7.516718020856569,35.176,34.673,3.137,2.836,3.077,3.003,5.713,3.064,2.20312,2.85457,882.83,4.192133273703042,0.2,8.4,2.273,3.0,4.1498,4.1498
84538.397699,1723726060.216982,0,0,212.002,8.77077e-07,103.146,-1.9947642202908282e-07,8.540920447958026e-07,0.004,212.0,0.00283243,-6.552,0.0028139305684014766,-0.000323194153900937,1.0,118.14,1.57348e-06,34.338,1.2992607788866853e-06,8.875588650037606e-07,0.004,118.14,1.34926e-06,4.626,1.3448646272966715e-06,1.0881949203237907e-07,1.0,4480224.497052,0.004808211233466864,-7.32342698949959,35.183,34.676,3.168,2.949,3.077,3.003,5.711,3.064,2.20433,2.85539,882.77,4.1918649373881935,0.2,8.5,2.273,3.0,4.1498,4.1498
84539.737616,1723726061.556899,0,0,212.002,8.75447e-07,102.846,-1.9463929253866515e-07,8.535355854380343e-07,0.004,212.0,0.00283338,-6.576,0.002814738692071266,-0.0003244816169784315,1.0,118.14,1.5864e-06,35.64,1.2892580224566603e-06,9.24380176946229e-07,0.004,118.14,1.33506e-06,4.602,1.330755871199871e-06,1.0711682812272164e-07,1.0,4480226.336947,0.004808211233466864,-8.06437593748194,35.179,34.674,2.987,2.745,3.077,3.003,5.713,3.064,2.20575,2.85648,882.84,4.192177996422183,0.2,8.4,2.273,3.0,4.1492,4.1492
84541.402166,1723726063.221449,0,0,212.002,8.73119e-07,103.758,-2.0764648330907847e-07,8.480682320016312e-07,0.004,212.0,0.00283147,-6.54,0.0028130444434303925,-0.00032249545761978246,1.0,118.14,1.56358e-06,34.032,1.295778040386751e-06,8.750666754319192e-07,0.004,118.14,1.3481e-06,3.852,1.3450545195293826e-06,9.05646150192347e-08,1.0,4480228.021504,0.004808211233466864,-7.162351129252638,35.183,34.673,3.147,2.887,3.077,3.003,5.713,3.064,2.20741,2.85842,882.82,4.1920885509839,0.2,8.4,2.273,3.0,4.1492,4.1492
84542.4521,1723726064.271383,0,0,212.002,8.77077e-07,103.38,-2.0296292081934478e-07,8.532702483395752e-07,0.004,212.0,0.00282957,-6.546,0.002811123043125658,-0.0003225734355273838,1.0,118.14,1.61946e-06,35.37,1.3205578789866756e-06,9.374313734061883e-07,0.004,118.14,1.33925e-06,4.314,1.33545561412966e-06,1.0074157627103217e-07,1.0,4480228.471485,0.004808211233466864,-7.452287677184691,35.18,34.674,3.014,2.95,3.077,3.003,5.71,3.064,2.2084,2.85923,882.84,4.192177996422183,0.2,8.5,2.273,3.0,4.1503,4.1503
84543.772174,1723726065.591457,0,0,212.002,8.64271e-07,103.482,-2.0149603145502613e-07,8.404544667909589e-07,0.004,212.0,0.00282957,-6.576,0.00281095375873483,-0.0003240452918258971,1.0,118.137,1.63751e-06,32.52,1.3807547224777057e-06,8.803155096075009e-07,0.004,118.14,1.3304e-06,4.476,1.3263424278632625e-06,1.0382641306424125e-07,1.0,4480230.341516,0.005202270578593016,-7.613363536151196,35.179,34.682,3.013,2.753,3.077,3.003,5.713,3.064,2.20996,2.86004,882.85,4.192222719141324,0.2,8.6,2.273,3.0,4.1498,4.1498
84545.402072,1723726067.221355,0,0,212.002,8.80336e-07,102.552,-1.913195342834987e-07,8.592952395408375e-07,0.004,212.0,0.00282957,-6.558,0.002811055421848972,-0.0003231621886816271,1.0,118.14,1.61271e-06,32.802,1.355559671267999e-06,8.736655662962771e-07,0.004,118.14,1.34041e-06,4.608,1.336077353694284e-06,1.0768599279980293e-07,1.0,4480231.681421,0.004808211233466864,-7.420072505306094,35.172,34.68,3.172,2.934,3.077,3.004,5.713,3.065,2.21157,2.86216,882.87,4.192312164579607,0.2,8.5,2.273,3.0,4.1514,4.1514
84546.43201,1723726068.251293,0,0,212.002,8.71256e-07,103.674,-2.0596251956216222e-07,8.465615500786732e-07,0.004,212.0,0.00282957,-6.546,0.002811123043125658,-0.0003225734355273838,1.0,118.14,1.60398e-06,33.168,1.3426435384932813e-06,8.775307225061928e-07,0.004,118.14,1.33343e-06,4.14,1.3299505814035375e-06,9.62653412417628e-08,1.0,4480232.881349,0.005223133135586977,-7.484502849034848,35.167,34.676,3.041,2.904,3.077,3.003,5.712,3.065,2.21097,2.86266,882.86,4.192267441860466,0.2,8.6,2.273,3.0,4.1536,4.1536
84547.801803,1723726069.621086,0,0,212.002,8.64271e-07,105.084,-2.249134666004583e-07,8.344928363879252e-07,0.004,212.0,0.00283147,-6.54,0.0028130444434303925,-0.00032249545761978246,1.0,118.137,1.63331e-06,33.906,1.355571961311161e-06,9.111126241069279e-07,0.004,118.14,1.31876e-06,4.038,1.3154862661555547e-06,9.286453120603651e-08,1.0,4480234.121287,0.004829073324799538,-7.420072505306094,35.175,34.673,3.042,2.742,3.077,3.003,5.719,3.065,2.21048,2.86387,882.92,4.192535778175313,0.2,8.5,2.273,3.0,4.1547,4.1547
84548.771748,1723726070.591031,0,0,212.002,8.71954e-07,103.158,-1.9848911321326411e-07,8.490617469017268e-07,0.004,212.0,0.00283147,-6.57,0.0028128751996053182,-0.00032396831997178594,1.0,118.14,1.59362e-06,33.9,1.3227241777736797e-06,8.888337605722138e-07,0.004,118.14,1.33599e-06,3.822,1.3330186879487405e-06,8.905311717968157e-08,1.0,4480235.321082,0.005223133135586977,-7.130135957117768,35.174,34.676,3.148,2.805,3.078,3.004,5.723,3.065,2.20996,2.86449,882.97,4.192759391771021,0.2,8.6,2.273,3.0,4.1547,4.1547
