# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x0000018BD7A4A7D0> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 12.029 uV, 16.992 deg, (24% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 19.0334 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 21013.400 uV, -9.594 deg, (42% from 50mV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 19.034 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 9.581 uV, 169.944 deg, (48% from 20uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.488 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 20.012 uV, 7.728 deg, (40% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.49 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = -14.973 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.012
#                     mid_setting              = 15.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = False
#                     level_gauge              = 0.0
#                     output_value             = -14.9735
#                     output_voltages          = 1.0
#                     ramp_status              = ........ RAMP STATUS: HOLDING ON TARGET AT -14.9997 TESLA;MY-STR=[HOLDING on TARGET=-14.9997]
#                     current_direction        = Direction.Negative
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 2.971
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 5.75
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 10.000 K
#                 Sample actual T = 9.977 K
#                 VTI Target T    = 9.210 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
146577.745802,1723788099.565085,0,0,19.0339,1.2029e-05,17.292,1.148531700576978e-05,3.5755187423610994e-06,0.004,19.034,0.0210153,-9.612,0.02072026804173551,-0.0035090349625836147,5.0,63.488,9.60106e-06,170.088,-9.45774781739864e-06,1.652682469832371e-06,0.004,63.49,2.00217e-05,7.8,1.9836456037567102e-05,2.7172564766079116e-06,5.0,4542264.135146,0.010159038938581944,-7.1945663013590035,34.292,35.027,3.241,2.944,2.971,3.063,5.748,3.15,8.66556,9.97615,-3817.5,-15.049245863124796,22.1,21.4,9.21,10.0,-14.9724,-14.9724
146578.795748,1723788100.615031,0,0,19.0339,1.20216e-05,17.304,1.1477502822709765e-05,3.5757230757833334e-06,0.004,19.034,0.0210115,-9.618,0.02071615387717603,-0.0035105698664411223,5.0,63.4861,9.60199e-06,169.98,-9.45553159900639e-06,1.6706687703706093e-06,0.004,63.49,2.0018e-05,7.812,1.983222083988365e-05,2.720908039255393e-06,5.0,4542265.545059,0.011735008098185062,-8.161021451330203,34.283,35.034,3.166,2.946,2.971,3.062,5.746,3.149,8.31393,9.96637,-3817.6,-15.049610242796431,24.7,23.1,9.21,10.0,-14.9719,-14.9719
146579.915677,1723788101.73496,0,0,19.0339,1.20216e-05,17.316,1.147675367329569e-05,3.578126839911336e-06,0.004,19.034,0.0210096,-9.63,0.020713544944486014,-0.003514590729054783,5.0,63.488,9.58802e-06,169.962,-9.441250123940413e-06,1.671204241735631e-06,0.004,63.49,2.0018e-05,7.806,1.9832505663964384e-05,2.7188311990303093e-06,5.0,4542266.744993,0.013704925775527954,-7.6777938795389025,34.285,35.029,3.055,2.762,2.97,3.062,5.748,3.149,8.16771,9.91451,-3817.7,-15.04993215484433,26.2,23.1,9.21,10.0,-14.9719,-14.9719
146581.50558,1723788103.324863,0,0,19.0334,1.20402e-05,17.322,1.1494135335545422e-05,3.584866654168063e-06,0.004,19.034,0.0210057,-9.636,0.02070933180870311,-0.0035161070130241474,5.0,63.488,9.58244e-06,169.932,-9.434879715888704e-06,1.6751719614152637e-06,0.004,63.49,2.00236e-05,7.77,1.9839758626181586e-05,2.707126634432421e-06,5.0,4542267.93492,0.014098914340138435,-7.6777938795389025,34.288,35.026,3.225,2.803,2.971,3.062,5.749,3.149,8.12144,9.86751,-3817.5,-15.049358349245349,26.9,24.2,9.21,10.0,-14.9713,-14.9713
146582.519771,1723788104.339054,0,0,19.0339,1.2057e-05,17.304,1.1511300620001632e-05,3.5862525058827153e-06,0.004,19.034,0.0210057,-9.642,0.020708963489286785,-0.0035182756698966685,5.0,63.4899,9.59454e-06,169.89,-9.445561333870704e-06,1.6842116552520083e-06,0.004,63.49,2.00273e-05,7.764,1.9843708088830435e-05,2.7055488491774655e-06,5.0,4542268.929109,0.014098914340138435,-7.452287677184691,34.294,35.026,3.198,2.97,2.971,3.062,5.745,3.149,8.11704,9.84854,-3817.7,-15.04994262878273,27.2,23.5,9.21,10.0,-14.9724,-14.9724
146583.889678,1723788105.708961,0,0,19.0349,1.207e-05,17.292,1.152446390054379e-05,3.5877056463794554e-06,0.004,19.034,0.0210057,-9.66,0.020707857168458802,-0.0035247814089258474,5.0,63.488,9.61131e-06,169.848,-9.46083164704624e-06,1.694091043110828e-06,0.004,63.49,2.0018e-05,7.764,1.9834493342697603e-05,2.7042924839012003e-06,5.0,4542270.579012,0.015280874446034431,-7.645578707859249,34.293,35.032,3.078,2.756,2.97,3.062,5.748,3.149,8.1249,9.80767,-3817.6,-15.04964931900467,28.5,27.5,9.21,10.0,-14.9735,-14.9735
146585.509579,1723788107.328862,0,0,19.0344,1.20737e-05,17.214,1.1532871629964173e-05,3.5731084026051457e-06,0.004,19.034,0.0210038,-9.654,0.020706353076156245,-0.0035222942417627227,5.0,63.488,9.60665e-06,169.782,-9.454287825777033e-06,1.7041613567570955e-06,0.004,63.49,2.00068e-05,7.746,1.9824244138966037e-05,2.696551605045002e-06,5.0,4542271.868933,0.015280874446034431,-7.484502849034848,34.289,35.032,3.248,2.86,2.971,3.062,5.747,3.149,8.12224,9.79071,-3817.6,-15.04964986887884,28.1,25.1,9.21,10.0,-14.9735,-14.9735
146586.54981,1723788108.369093,0,0,19.0339,1.20663e-05,17.124,1.1531398068852138e-05,3.5528093486244354e-06,0.004,19.034,0.0210038,-9.636,0.020707458615691853,-0.0035157889753808054,5.0,63.4899,9.60479e-06,169.758,-9.451742797042516e-06,1.7077906905282376e-06,0.004,63.49,2.00068e-05,7.734,1.9824808468615078e-05,2.692399565950032e-06,5.0,4542272.899162,0.016068845987319946,-8.225451793754237,34.286,35.031,3.113,2.928,2.97,3.062,5.745,3.149,8.18184,9.79919,-3817.8,-15.050220919706046,28.6,28.3,9.21,10.0,-14.9735,-14.9735
146587.929724,1723788109.749007,0,0,19.0334,1.20346e-05,17.094,1.1502957120188909e-05,3.537453130586366e-06,0.004,19.034,0.0210038,-9.618,0.020708562111483232,-0.0035092833620044284,5.0,63.488,9.62435e-06,169.74,-9.470453040635547e-06,1.7142438938543516e-06,0.004,63.49,2.00124e-05,7.794,1.982752639219546e-05,2.7139180029603688e-06,5.0,4542274.709051,0.017623940482735634,-7.645578707859249,34.299,35.03,3.123,2.767,2.97,3.062,5.749,3.149,8.19704,9.78861,-3817.6,-15.049634406251867,28.6,30.0,9.21,10.0,-14.973,-14.973
146589.529956,1723788111.349239,0,0,19.0339,1.19731e-05,17.202,1.1437519762326553e-05,3.5409413008957883e-06,0.004,19.034,0.0210057,-9.612,0.020710802815295692,-0.0035074320001876077,5.0,63.488,9.65042e-06,169.71,-9.495204862594902e-06,1.7238592731873782e-06,0.004,63.49,2.00198e-05,7.86,1.983171750737093e-05,2.7377678403833613e-06,5.0,4542275.999283,0.0160480048507452,-7.291211817507162,34.3,35.036,3.252,2.939,2.97,3.062,5.747,3.148,8.21199,9.78653,-3817.7,-15.0499230017756,28.9,26.1,9.21,10.0,-14.9724,-14.9724
