# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x0000018BD7A4A7D0> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 12.029 uV, 16.992 deg, (24% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 19.0334 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 21013.400 uV, -9.594 deg, (42% from 50mV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 19.034 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 9.581 uV, 169.944 deg, (48% from 20uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.488 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 20.012 uV, 7.728 deg, (40% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.49 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = -14.973 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.012
#                     mid_setting              = 15.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = False
#                     level_gauge              = 0.0
#                     output_value             = -14.9735
#                     output_voltages          = 1.0
#                     ramp_status              = ........ RAMP STATUS: HOLDING ON TARGET AT -14.9997 TESLA;MY-STR=[HOLDING on TARGET=-14.9997]
#                     current_direction        = Direction.Negative
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 2.971
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 5.75
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 10.000 K
#                 Sample actual T = 9.977 K
#                 VTI Target T    = 9.210 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
146684.657884,1723788206.477167,0,0,19.0339,1.22171e-05,18.054,1.1615589276883713e-05,3.7862406369305316e-06,0.004,19.034,0.0210096,-9.564,0.020717579718936605,-0.0034907281116561754,5.0,63.4899,9.58802e-06,170.352,-9.452406845912764e-06,1.60690147169685e-06,0.004,63.49,1.99155e-05,6.156,1.980065942750252e-05,2.135655984950661e-06,5.0,4542371.049182,0.01841193437576294,-7.742224222813032,34.297,35.042,3.165,2.765,2.985,3.074,5.769,3.173,9.13308,10.0406,-3817.8,-15.050028737988958,33.7,18.9,9.21,10.0,-14.9735,-14.9735
146685.007863,1723788206.827146,0,0,19.0334,1.22097e-05,18.09,1.1606173801501874e-05,3.7912404011525736e-06,0.004,19.034,0.0210096,-9.564,0.020717579718936605,-0.0034907281116561754,5.0,63.488,9.58523e-06,170.346,-9.449488030554715e-06,1.6074234393286607e-06,0.004,63.49,1.99081e-05,6.132,1.97941946113992e-05,2.126571253462913e-06,5.0,4542374.17704,0.01843271404504776,-8.06437593748194,34.295,35.041,3.099,2.763,2.986,3.075,5.769,3.174,9.13494,9.9261,-3817.5,-15.04914882803095,33.6,24.0,9.21,10.0,-14.9735,-14.9735
146688.587643,1723788210.406926,0,0,19.0339,1.21762e-05,18.372,1.1555580955684254e-05,3.8377591399965944e-06,0.004,19.034,0.0210191,-9.564,0.020726947674886736,-0.003492306529001614,5.0,63.4899,9.57778e-06,170.742,-9.453019004866524e-06,1.5408768354519258e-06,0.004,63.49,1.98969e-05,5.85,1.9793279765418895e-05,2.027980704508531e-06,5.0,4542375.05698,0.017644749954342842,-6.936844923709651,34.307,35.039,3.205,2.791,2.986,3.075,5.771,3.174,9.11047,10.0131,-3817.8,-15.050028973624823,32.2,22.5,9.21,10.0,-14.9735,-14.9735
146689.707718,1723788211.527001,0,0,19.033,1.21967e-05,18.39,1.1573827805177986e-05,3.8478566535265955e-06,0.004,19.034,0.0210191,-9.576,0.020726215793330213,-0.0034966474941448096,5.0,63.488,9.5694e-06,170.892,-9.448746268849358e-06,1.5147971174072595e-06,0.004,63.49,1.99025e-05,5.796,1.9800753672552813e-05,2.009890606198845e-06,5.0,4542376.297046,0.018038732931017876,-6.936844923709651,34.303,35.047,3.298,2.953,2.986,3.076,5.769,3.175,9.16913,10.0386,-3817.4,-15.048850063655927,31.6,21.9,9.21,10.0,-14.973,-14.973
146690.727645,1723788212.546928,0,0,19.0339,1.22171e-05,18.342,1.1596410895277281e-05,3.844578879135451e-06,0.004,19.034,0.0210172,-9.582,0.02072397601969468,-0.003498501647151231,5.0,63.488,9.55729e-06,171.264,-9.446412550075421e-06,1.4515791669342644e-06,0.004,63.49,1.98932e-05,5.796,1.979150121637119e-05,2.008951428576051e-06,5.0,4542377.096999,0.018826695159077644,-7.8066545659736395,34.304,35.047,3.148,2.921,2.986,3.076,5.768,3.175,9.11585,10.0009,-3817.8,-15.050027675560585,32.8,23.6,9.21,10.0,-14.973,-14.973
146691.847575,1723788213.666858,0,0,19.0339,1.2219e-05,18.306,1.1600628072154544e-05,3.8378886554380306e-06,0.004,19.034,0.0210172,-9.57,0.020724708289633218,-0.0034941611510644595,5.0,63.488,9.5219e-06,171.75,-9.423361540158218e-06,1.3663223973378105e-06,0.004,63.49,1.98801e-05,5.802,1.9778257839883805e-05,2.009699686290159e-06,5.0,4542378.186931,0.018038732931017876,-6.582478026457757,34.292,35.045,3.181,2.774,2.987,3.076,5.772,3.176,9.13883,9.99277,-3817.9,-15.050314807604646,32.2,24.2,9.21,10.0,-14.9719,-14.9719
146692.957516,1723788214.776799,0,0,19.0334,1.22097e-05,18.318,1.1590995273089315e-05,3.837395297492964e-06,0.004,19.034,0.0210153,-9.564,0.020723200492506685,-0.0034916751620634387,5.0,63.488,9.48278e-06,172.128,-9.393419146279531e-06,1.2987660569591141e-06,0.004,63.49,1.98745e-05,5.814,1.9772265302059187e-05,2.013274714237072e-06,5.0,4542379.796794,0.018038732931017876,-7.001275268293147,34.303,35.045,3.287,2.946,2.987,3.077,5.771,3.176,9.13367,10.0075,-3817.6,-15.049440786461759,33.6,21.7,9.21,10.0,-14.973,-14.973
146694.007404,1723788215.826687,0,0,19.0339,1.22078e-05,18.36,1.1586375918812518e-05,3.84529243464803e-06,0.004,19.034,0.0210191,-9.564,0.020726947674886736,-0.003492306529001614,5.0,63.488,9.48185e-06,172.356,-9.397591269138346e-06,1.2612524571689614e-06,0.004,63.49,1.98783e-05,5.868,1.9774139142399728e-05,2.0322972388444867e-06,5.0,4542380.856726,0.01843271404504776,-7.8066545659736395,34.298,35.043,3.115,2.948,2.987,3.077,5.77,3.176,9.05944,10.0102,-3817.6,-15.049456131258552,34.5,22.8,9.21,10.0,-14.9708,-14.9708
146695.607231,1723788217.426514,0,0,19.0334,1.2206e-05,18.432,1.1579826975634741e-05,3.859280141990471e-06,0.004,19.034,0.0210153,-9.57,0.020722834731511763,-0.0034938452713950924,5.0,63.4899,9.50141e-06,172.482,-9.419734040508927e-06,1.2431422260454946e-06,0.004,63.49,1.98913e-05,5.868,1.9787071023337797e-05,2.0336263195055586e-06,5.0,4542382.056561,0.017644749954342842,-6.904629751375084,34.299,35.045,3.148,2.762,2.988,3.077,5.773,3.177,9.07002,10.0104,-3817.8,-15.050037334564038,33.1,23.5,9.21,10.0,-14.9691,-14.9691
146696.597171,1723788218.416454,0,0,19.0334,1.22116e-05,18.408,1.1586755989982072e-05,3.8561976335004624e-06,0.004,19.034,0.0210096,-9.564,0.020717579718936605,-0.0034907281116561754,5.0,63.4899,9.50141e-06,172.488,-9.419864170408708e-06,1.242155786988996e-06,0.004,63.49,1.98876e-05,5.832,1.978466403332491e-05,2.0208173713771344e-06,5.0,4542383.026511,0.018826695159077644,-7.96773042337886,34.297,35.04,3.277,2.919,2.988,3.077,5.775,3.178,9.14493,9.98372,-3817.5,-15.049146762794702,31.8,24.5,9.21,10.0,-14.9686,-14.9686
