# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x0000018BD7A4A7D0> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 8.861 uV, 21.882 deg, (18% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 19.0339 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 21459.700 uV, -9.858 deg, (43% from 50mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 19.034 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 6.894 uV, 161.046 deg, (34% from 20uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.4899 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 16.121 uV, 2.508 deg, (32% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.49 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = -10.621 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.012
#                     mid_setting              = 0.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = True
#                     level_gauge              = 0.0
#                     output_value             = -10.6219
#                     output_voltages          = 0.1
#                     ramp_status              = ........ RAMP STATUS: HOLDING ON PAUSE AT -10.6397 TESLA;MY-STR=[HOLDING on PAUSE]
#                     current_direction        = Direction.Negative
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 3.353
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 8.32
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 10.000 K
#                 Sample actual T = 10.000 K
#                 VTI Target T    = 9.210 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
149200.496792,1723790722.316075,0,0,19.0339,8.87742e-06,22.074,8.22669855025771e-06,3.3361679843178883e-06,0.004,19.034,0.0214521,-9.804,0.021138813815141117,-0.0036528269735643273,5.0,63.4899,6.31533e-06,167.28,-6.160337552597798e-06,1.3905517778757363e-06,0.004,63.49,1.60543e-05,2.664,1.6036949726954903e-05,7.461849268921687e-07,5.0,4544886.606152,0.011282457038760185,-7.097920784954392,34.579,35.642,3.495,3.056,3.348,3.339,7.995,3.419,9.21202,10.0111,-2506.1,-10.71127075844044,18.8,22.5,9.21,10.0,-10.6187,-10.6187
149201.786713,1723790723.605996,0,0,19.0339,8.90909e-06,21.912,8.265480546291095e-06,3.3247129149722792e-06,0.004,19.034,0.0214521,-9.804,0.021138813815141117,-0.0036528269735643273,5.0,63.488,6.18029e-06,166.632,-6.012836024689404e-06,1.4289112723669457e-06,0.004,63.49,1.60449e-05,2.646,1.6027793378483618e-05,7.407127828225174e-07,5.0,4544888.346045,0.011282457038760185,-7.742224222813032,34.582,35.652,3.422,3.063,3.344,3.337,7.894,3.419,9.22206,9.99378,-2505.7,-10.709778075175487,19.1,21.1,9.21,10.0,-10.6187,-10.6187
149203.436611,1723790725.255894,0,0,19.0334,8.91095e-06,21.756,8.276229653183397e-06,3.3028855006293833e-06,0.004,19.034,0.0214406,-9.834,0.021125567274547473,-0.0036619305958153956,5.0,63.4899,6.49414e-06,166.35,-6.3107158101616435e-06,1.532553523690403e-06,0.004,63.49,1.60766e-05,2.544,1.606075538069757e-05,7.13585426836984e-07,5.0,4544890.065952,0.011282457038760185,-8.096591108792998,34.583,35.649,3.425,2.928,3.34,3.334,7.678,3.419,9.20592,10.009,-2505.7,-10.709780954284643,18.9,21.1,9.21,10.0,-10.6181,-10.6181
149204.786527,1723790726.60581,0,0,19.0339,8.88115e-06,21.63,8.255771468006893e-06,3.273692531460966e-06,0.004,19.034,0.0214597,-9.81,0.021145920050229115,-0.0036563355042061457,5.0,63.4899,6.32278e-06,162.846,-6.041514064605301e-06,1.8648471078285054e-06,0.004,63.49,1.60654e-05,2.478,1.60503771894616e-05,6.946000547154789e-07,5.0,4544891.305871,0.012464075349271297,-8.225451793754237,34.584,35.656,3.516,3.066,3.336,3.333,7.519,3.419,9.11391,9.99524,-2505.1,-10.707561020029607,21.8,20.3,9.21,10.0,-10.6187,-10.6187
149206.41664,1723790728.235923,0,0,19.0339,8.86252e-06,21.618,8.239137346970313e-06,3.265099773078764e-06,0.004,19.034,0.0214635,-9.798,0.021150429940148263,-0.0036525532982942164,5.0,63.4861,6.10951e-06,162.33,-5.821266629529862e-06,1.8544452723178553e-06,0.004,63.49,1.60449e-05,2.538,1.6029161114530996e-05,7.104998060572979e-07,5.0,4544892.616004,0.011282457038760185,-7.581148364414737,34.577,35.64,3.313,2.887,3.332,3.327,7.415,3.419,9.11766,9.99404,-2505.4,-10.708674783383973,19.0,21.2,9.21,10.0,-10.6176,-10.6176
149207.446586,1723790729.265869,0,0,19.0339,8.84949e-06,21.666,8.224289638213432e-06,3.267190414848079e-06,0.004,19.034,0.021475,-9.828,0.021159845801454507,-0.003665590083283755,5.0,63.488,6.25945e-06,162.09,-5.9561217196485385e-06,1.92492294994655e-06,0.004,63.49,1.60505e-05,2.562,1.6034456497282882e-05,7.174643452763261e-07,5.0,4544893.635941,0.011282457038760185,-8.096591108792998,34.58,35.651,3.474,2.966,3.329,3.325,7.269,3.419,9.22692,10.0011,-2505.3,-10.7082863168355,18.3,21.1,9.21,10.0,-10.6181,-10.6181
149208.466478,1723790730.285761,0,0,25.7463,8.85507e-06,21.762,8.223986190579026e-06,3.2830345478026076e-06,0.004,26.41,0.0213491,-9.84,0.02103502975432074,-0.003648505727670045,5.0,63.4861,6.54816e-06,162.198,-6.234625726610726e-06,2.0019593988599455e-06,0.004,63.49,1.60543e-05,2.568,1.6038177460521668e-05,7.193137248897176e-07,5.0,4544894.525834,0.011282457038760185,-7.6777938795389025,34.577,35.647,3.499,3.049,3.326,3.323,7.172,3.419,9.25822,9.98914,-2504.8,-10.70641712343484,18.3,21.8,9.21,10.0,-10.6176,-10.6176
149209.816395,1723790731.635678,0,0,80.5264,8.53842e-06,28.572,7.498583919778993e-06,4.083608122045005e-06,0.004,86.84,0.0180589,-10.422,0.01776096578353581,-0.003266797154105249,5.0,63.488,6.26038e-06,162.75,-5.978787759880882e-06,1.856462945145565e-06,0.004,63.49,1.60207e-05,2.574,1.600453594687812e-05,7.194842702144881e-07,5.0,4544896.285732,0.011282457038760185,-8.096591108792998,34.573,35.648,3.302,2.955,3.321,3.319,7.082,3.419,9.24544,9.9895,-2505.1,-10.707537569150912,18.7,20.9,9.21,10.0,-10.6176,-10.6176
149211.496282,1723790733.315565,0,0,153.137,9.68395e-06,48.012,6.478319945709413e-06,7.19793430669686e-06,0.004,155.5,0.0150223,-10.812,0.014755623892059954,-0.0028179887945251766,5.0,63.488,6.33209e-06,162.21,-6.029306756330429e-06,1.9346379005302896e-06,0.004,63.49,1.60058e-05,2.43,1.5991407058069106e-05,6.786265122565879e-07,5.0,4544897.645649,0.010494678281247616,-7.96773042337886,34.569,35.652,3.477,2.92,3.317,3.315,6.918,3.418,9.24581,10.0125,-2504.8,-10.70641889343521,18.4,22.0,9.21,10.0,-10.6181,-10.6181
149212.826313,1723790734.645596,0,0,195.313,1.45473e-05,60.78,7.101473055242002e-06,1.2696181226481914e-05,0.004,199.04,0.0140534,-8.004,0.013916496698883195,-0.0019568268165510165,5.0,63.488,6.62453e-06,161.718,-6.290150716765929e-06,2.0780764377830443e-06,0.004,63.49,1.59779e-05,2.364,1.596430191437344e-05,6.590544717491271e-07,5.0,4544899.195648,0.011676330119371414,-8.515388333263342,34.574,35.652,3.454,3.077,3.313,3.312,6.84,3.418,9.25405,9.99471,-2504.6,-10.70567242184797,19.0,21.8,9.21,10.0,-10.617,-10.617
