# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x0000018BD7A4A7D0> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 8.861 uV, 21.882 deg, (18% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 19.0339 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 21459.700 uV, -9.858 deg, (43% from 50mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 19.034 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 6.894 uV, 161.046 deg, (34% from 20uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.4899 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 16.121 uV, 2.508 deg, (32% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.49 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = -10.621 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.012
#                     mid_setting              = 0.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = True
#                     level_gauge              = 0.0
#                     output_value             = -10.6219
#                     output_voltages          = 0.1
#                     ramp_status              = ........ RAMP STATUS: HOLDING ON PAUSE AT -10.6397 TESLA;MY-STR=[HOLDING on PAUSE]
#                     current_direction        = Direction.Negative
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 3.353
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 8.32
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 10.000 K
#                 Sample actual T = 10.000 K
#                 VTI Target T    = 9.210 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
149266.483502,1723790788.302785,0,0,313.305,0.000106715,74.328,2.8826918013768503e-05,0.00010274774947816361,0.004,313.3,0.0136681,-4.176,0.01363181211946981,-0.0009953170095381896,5.0,63.4861,6.14396e-06,159.354,-5.749374967080346e-06,2.16631760587174e-06,0.004,63.49,1.59779e-05,2.592,1.5961552913380067e-05,7.22576641864589e-07,5.0,4544955.232717,0.010888554155826569,-7.71000905119016,34.578,35.655,3.383,3.029,3.215,3.216,5.889,3.386,9.23054,10.0061,-2504.4,-10.704931166155127,18.4,20.9,9.21,10.0,-10.617,-10.617
149270.283165,1723790792.102448,0,0,313.305,0.00010676,74.382,2.874218276038344e-05,0.00010281821108232099,0.004,313.3,0.0136719,-4.182,0.013635497697630294,-0.000997021638641286,5.0,63.488,6.13744e-06,159.366,-5.743726807670476e-06,2.162815783289814e-06,0.004,63.49,1.59593e-05,2.544,1.594357098809243e-05,7.083788800193746e-07,5.0,4544956.932506,0.012464075349271297,-7.71000905119016,34.569,35.65,3.277,2.818,3.214,3.214,5.891,3.385,9.22965,10.0153,-2504.2,-10.70418587912612,18.3,20.2,9.21,10.0,-10.617,-10.617
149271.373087,1723790793.19237,0,0,313.292,0.000106767,74.394,2.8722531079150516e-05,0.00010283097051670392,0.004,313.3,0.0136719,-4.182,0.013635497697630294,-0.000997021638641286,5.0,63.488,6.14676e-06,159.456,-5.755844339033278e-06,2.1570615295856913e-06,0.004,63.49,1.5963e-05,2.526,1.594748914989564e-05,7.035330937211274e-07,5.0,4544957.882436,0.010888554155826569,-7.097920784954392,34.569,35.651,3.422,2.943,3.213,3.214,5.89,3.384,9.22684,9.99822,-2503.9,-10.703068211197282,18.4,21.6,9.21,10.0,-10.6176,-10.6176
149272.443032,1723790794.262315,0,0,313.305,0.000106782,74.412,2.8694255131484475e-05,0.00010285443717433524,0.004,313.3,0.01367,-4.176,0.013633707075098388,-0.0009954553683677357,5.0,63.488,6.14955e-06,159.486,-5.75958606134342e-06,2.1550251981075743e-06,0.004,63.49,1.5963e-05,2.556,1.5947118594798707e-05,7.118830826935488e-07,5.0,4544958.962366,0.009685869328677654,-7.96773042337886,34.568,35.653,3.436,3.042,3.212,3.213,5.887,3.384,9.2288,9.99395,-2504.2,-10.70418603055983,18.2,20.8,9.21,10.0,-10.6176,-10.6176
149273.843241,1723790795.662524,0,0,313.305,0.000106782,74.436,2.8651169049507222e-05,0.00010286644757206578,0.004,313.3,0.01367,-4.182,0.013633602756501006,-0.000996883081373209,5.0,63.488,6.157e-06,159.486,-5.766563631435054e-06,2.157635948117884e-06,0.004,63.49,1.59593e-05,2.592,1.594297194315314e-05,7.217354846700465e-07,5.0,4544960.152604,0.010473649017512798,-7.999945594774878,34.574,35.65,3.248,2.863,3.21,3.211,5.888,3.383,9.22478,10.0148,-2504.0,-10.703441856746222,18.3,21.4,9.21,10.0,-10.6176,-10.6176
149275.39324,1723790797.212523,0,0,313.305,0.000106782,74.418,2.868348408269644e-05,0.0001028574414657379,0.004,313.3,0.01367,-4.182,0.013633602756501006,-0.000996883081373209,5.0,63.488,6.17377e-06,159.666,-5.789038518829119e-06,2.1453365797498417e-06,0.004,63.49,1.59593e-05,2.598,1.5942896275772937e-05,7.234050248274042e-07,5.0,4544961.822496,0.011261427775025368,-7.871084909020781,34.578,35.652,3.441,2.993,3.21,3.21,5.887,3.382,9.2208,9.99851,-2503.8,-10.702696564052859,18.5,21.2,9.21,10.0,-10.617,-10.617
149276.423177,1723790798.24246,0,0,313.305,0.00010676,74.394,2.872064793438149e-05,0.00010282422857590183,0.004,313.3,0.01367,-4.176,0.013633707075098388,-0.0009954553683677357,5.0,63.488,6.1719e-06,159.762,-5.79087038383193e-06,2.134987074353903e-06,0.004,63.49,1.59593e-05,2.55,1.5943496719409307e-05,7.100484829818071e-07,5.0,4544963.062507,0.011282457038760185,-7.6777938795389025,34.579,35.644,3.363,3.03,3.208,3.21,5.885,3.381,9.22432,10.0046,-2504.2,-10.704186828704568,18.3,20.3,9.21,10.0,-10.616,-10.616
149277.453112,1723790799.272395,0,0,313.305,0.00010673,74.37,2.8755633602778058e-05,0.00010278329842976816,0.004,313.3,0.0136719,-4.176,0.013635602030726968,-0.0009955937271972823,5.0,63.488,6.16632e-06,159.762,-5.7856348717948296e-06,2.1330568376561443e-06,0.004,63.49,1.59686e-05,2.496,1.5953450019978365e-05,6.954267898581182e-07,5.0,4544963.522478,0.010888554155826569,-7.226781473436876,34.589,35.645,3.241,2.824,3.208,3.208,5.888,3.381,9.22748,10.0128,-2504.4,-10.70493171140876,18.4,20.9,9.21,10.0,-10.6149,-10.6149
149278.473076,1723790800.292359,0,0,313.305,0.0001067,74.352,2.8779830710039046e-05,0.00010274537140086405,0.004,313.3,0.01367,-4.176,0.013633707075098388,-0.0009954553683677357,5.0,63.488,6.16632e-06,159.726,-5.784293490706329e-06,2.1366916379703447e-06,0.004,63.49,1.59686e-05,2.49,1.595352275742679e-05,6.937561446686618e-07,5.0,4544965.082416,0.009706898592412472,-7.516718020856569,34.597,35.643,3.37,2.866,3.207,3.207,5.891,3.38,9.22199,10.0023,-2503.9,-10.703069075040847,18.3,21.6,9.21,10.0,-10.6132,-10.6132
149279.782995,1723790801.602278,0,0,313.305,0.000106663,74.328,2.8812871256173826e-05,0.00010269768263683048,0.004,313.3,0.01367,-4.182,0.013633602756501006,-0.000996883081373209,5.0,63.4899,6.1598e-06,159.654,-5.775490660600724e-06,2.1416917773839015e-06,0.004,63.49,1.59593e-05,2.496,1.5944158843219863e-05,6.950217782011364e-07,5.0,4544966.312339,0.010888554155826569,-7.420072505306094,34.598,35.648,3.421,3.02,3.206,3.207,5.897,3.38,9.21889,9.99535,-2503.9,-10.703069627188281,18.4,21.6,9.21,10.0,-10.6111,-10.6111
149281.422893,1723790803.242176,0,0,313.292,0.000106633,74.334,2.879401574826465e-05,0.00010267181378591053,0.004,313.3,0.0136719,-4.182,0.013635497697630294,-0.000997021638641286,5.0,63.488,6.15235e-06,159.648,-5.7682814275821e-06,2.139705562621038e-06,0.004,63.49,1.59611e-05,2.556,1.5945220485086867e-05,7.117983506345926e-07,5.0,4544967.552264,0.011282457038760185,-7.1945663013590035,34.595,35.643,3.253,2.813,3.206,3.205,5.917,3.379,9.231,10.0143,-2504.0,-10.703440193038617,18.2,20.7,9.21,10.0,-10.6073,-10.6073
149282.452839,1723790804.272122,0,0,313.305,0.000106633,74.358,2.8751006154639237e-05,0.0001026838659872908,0.004,313.3,0.01367,-4.188,0.013633498288394441,-0.000998310783446636,5.0,63.488,6.15887e-06,159.666,-5.775067043712529e-06,2.140158946790034e-06,0.004,63.49,1.59593e-05,2.628,1.5942515316387263e-05,7.317526062526669e-07,5.0,4544969.112166,0.011655330657958984,-7.097920784954392,34.603,35.649,3.414,2.92,3.206,3.205,5.937,3.378,9.20572,9.99818,-2503.4,-10.701208357080695,19.4,21.4,9.21,10.0,-10.6073,-10.6073
149283.802756,1723790805.622039,0,0,313.305,0.000106641,74.406,2.8667122392668813e-05,0.00010271562186310194,0.004,313.3,0.0136681,-4.182,0.01363170781537172,-0.0009967445241051325,5.0,63.488,6.15887e-06,159.516,-5.769444336260763e-06,2.1552706854798084e-06,0.004,63.49,1.59723e-05,2.64,1.595534791136356e-05,7.356903678495037e-07,5.0,4544970.302082,0.010867553763091564,-7.581148364414737,34.602,35.65,3.34,3.033,3.205,3.204,5.98,3.378,9.14453,9.98989,-2503.6,-10.701964699328284,19.2,21.5,9.21,10.0,-10.6073,-10.6073
149284.832699,1723790806.651982,0,0,313.305,0.000106633,74.442,2.860043289993439e-05,0.00010272590679539583,0.004,313.3,0.0136681,-4.182,0.01363170781537172,-0.0009967445241051325,5.0,63.488,6.16166e-06,159.48,-5.770701975180867e-06,2.159873299349673e-06,0.004,63.49,1.59779e-05,2.634,1.596101894865341e-05,7.342768760671478e-07,5.0,4544971.292048,0.011655330657958984,-7.871084909020781,34.603,35.654,3.241,2.817,3.205,3.203,6.027,3.377,9.20707,10.0022,-2503.8,-10.702699009324641,18.0,21.0,9.21,10.0,-10.6045,-10.6045
149285.842647,1723790807.66193,0,0,313.305,0.000106618,74.466,2.855338351248356e-05,0.0001027234258287224,0.004,313.3,0.01367,-4.188,0.013633498288394441,-0.000998310783446636,5.0,63.4899,6.15235e-06,159.522,-5.763562025076278e-06,2.1523854918667886e-06,0.004,63.49,1.59723e-05,2.634,1.59554248651936e-05,7.340195236925568e-07,5.0,4544972.151984,0.010867553763091564,-7.774439394407523,34.597,35.65,3.361,2.876,3.206,3.202,6.089,3.377,9.23875,10.0009,-2503.2,-10.700457031187424,17.8,21.6,9.21,10.0,-10.6034,-10.6034
149287.402806,1723790809.222089,0,0,313.305,0.000106588,74.484,2.851308536410668e-05,0.00010270348439570669,0.004,313.3,0.01367,-4.182,0.013633602756501006,-0.000996883081373209,5.0,63.4899,6.13744e-06,159.564,-5.751166651193331e-06,2.1429540134593854e-06,0.004,63.49,1.59779e-05,2.58,1.5961703899400917e-05,7.192336462163126e-07,5.0,4544973.862144,0.011676330119371414,-7.71000905119016,34.601,35.648,3.405,3.035,3.207,3.202,6.215,3.376,9.2398,9.99226,-2502.9,-10.699338676315897,18.6,21.3,9.21,10.0,-10.6007,-10.6007
149288.722724,1723790810.542007,0,0,313.305,0.000106566,74.484,2.850720019994176e-05,0.00010268228616835739,0.004,313.3,0.0136719,-4.182,0.013635497697630294,-0.000997021638641286,5.0,63.488,6.12906e-06,159.63,-5.7457753893673985e-06,2.1334108039803116e-06,0.004,63.49,1.59872e-05,2.574,1.5971069746635906e-05,7.179797964366764e-07,5.0,4544975.272049,0.01325184851884842,-7.452287677184691,34.595,35.641,3.249,2.845,3.209,3.201,6.345,3.375,9.10773,10.0093,-2503.0,-10.699734904311226,21.4,20.7,9.21,10.0,-10.5986,-10.5986
149289.76265,1723790811.581933,0,0,313.305,0.000106551,74.472,2.8524689663334633e-05,0.00010266186088616577,0.004,313.3,0.0136719,-4.188,0.013635393215003655,-0.0009984495391517237,5.0,63.488,6.14024e-06,159.582,-5.754463679053214e-06,2.142123951609092e-06,0.004,63.49,1.59816e-05,2.514,1.5966218245877248e-05,7.010089050906616e-07,5.0,4544976.301983,0.010888554155826569,-7.742224222813032,34.596,35.65,3.409,2.833,3.211,3.201,6.51,3.375,9.12227,9.99526,-2502.1,-10.696377796692339,18.9,21.8,9.21,10.0,-10.5964,-10.5964
