# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x000001D8C4489900> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 193.194 uV, 74.232 deg, (97% from 200uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 313.305 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 13790.200 uV, -3.798 deg, (28% from 50mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 313.3 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 15.772 uV, 5.436 deg, (79% from 20uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.4899 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 5.722 uV, 14.472 deg, (11% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.49 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = 14.338 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.012
#                     mid_setting              = 15.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = False
#                     level_gauge              = 0.0
#                     output_value             = 14.34
#                     output_voltages          = 1.7
#                     ramp_status              = ........ RAMP STATUS: RAMPING FROM 0.0000 TO 14.9997 TESLA AT 0.0120 A/SEC;MY-STR=[RAMP]
#                     current_direction        = Direction.Positive
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 3.275
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 8.399
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 10.000 K
#                 Sample actual T = 10.018 K
#                 VTI Target T    = 9.210 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
690.30821,1723805227.678241,0,0,313.305,0.0001961,74.058,5.3861637505911455e-05,0.0001885580388240761,0.004,313.3,0.0137921,-3.768,0.013762285989782864,-0.0009063700929677179,5.0,63.488,1.58913e-05,5.232,1.5825090877247024e-05,1.4491081453338909e-06,0.004,63.49,5.77423e-06,14.73,5.584458503902254e-06,1.4681809531164065e-06,5.0,4559392.428291,0.012890410609543324,-7.645578707859249,34.906,35.951,3.465,2.948,3.273,3.336,8.412,3.423,9.21068,9.98872,3673.9,14.53253895071795,19.6,21.5,9.21,10.0,14.4597,14.4597
690.708402,1723805228.078433,0,0,313.305,0.0001961,74.058,5.3861637505911455e-05,0.0001885580388240761,0.004,313.3,0.013794,-3.774,0.013764086879204105,-0.0009079363313148226,5.0,63.488,1.58941e-05,5.232,1.5827879211395663e-05,1.4493634738977552e-06,0.004,63.49,5.77423e-06,14.784,5.583072295920525e-06,1.4734435284138727e-06,5.0,4559394.565284,0.012496685609221458,-7.96773042337886,34.904,35.954,3.3,2.955,3.273,3.336,8.41,3.423,9.22349,10.014,3674.8,14.535190371443672,18.8,19.6,9.21,10.0,14.4624,14.4624
693.626858,1723805230.996889,0,0,313.305,0.00019613,74.04,5.392912108796944e-05,0.00018856995200370374,0.004,313.3,0.0137959,-3.774,0.013765982758939532,-0.0009080613914155546,5.0,63.488,1.59211e-05,5.298,1.5853083817676008e-05,1.4700879836727663e-06,0.004,63.49,5.78354e-06,14.874,5.58974897604453e-06,1.4846013998407544e-06,5.0,4559395.706931,0.01131544727832079,-7.8388697375113905,34.901,35.948,3.43,2.922,3.273,3.336,8.408,3.423,9.20686,10.0014,3675.2,14.536371221556532,19.6,21.9,9.21,10.0,14.4624,14.4624
694.776786,1723805232.146817,0,0,313.305,0.000196219,74.04,5.395359307989739e-05,0.00018865552140016694,0.004,313.3,0.013794,-3.774,0.013764086879204105,-0.0009079363313148226,5.0,63.488,1.59229e-05,5.292,1.5855030005659646e-05,1.4685938613627352e-06,0.004,63.49,5.78354e-06,14.802,5.591610167205715e-06,1.4775759437679246e-06,5.0,4559396.796861,0.01131544727832079,-7.548933192649863,34.896,35.947,3.525,3.067,3.273,3.336,8.406,3.423,9.19356,9.97886,3676.3,14.539615013621578,19.3,22.3,9.21,10.0,14.4684,14.4684
695.906557,1723805233.276588,0,0,313.305,0.000196279,74.052,5.3930565866584086e-05,0.00018872450796414872,0.004,313.3,0.013794,-3.768,0.01376418188260416,-0.000906494954531703,5.0,63.4899,1.59062e-05,5.25,1.5839472338988084e-05,1.455443046783811e-06,0.004,63.49,5.77982e-06,14.814,5.5877042310818815e-06,1.4777958784452066e-06,5.0,4559397.846652,0.01247510313987732,-7.452287677184691,34.895,35.945,3.344,3.021,3.273,3.336,8.407,3.423,9.20789,10.0076,3676.9,14.541381993883984,19.2,19.8,9.21,10.0,14.4684,14.4684
697.123836,1723805234.493867,0,0,313.305,0.000196309,74.07,5.387950753584605e-05,0.00018877028936963228,0.004,313.3,0.013794,-3.768,0.01376418188260416,-0.000906494954531703,5.0,63.488,1.59034e-05,5.262,1.5836378964236208e-05,1.458503637670103e-06,0.004,63.49,5.77795e-06,14.808,5.586051061844231e-06,1.4767327913231092e-06,5.0,4559399.053,0.0112938666716218,-8.096591108792998,34.895,35.947,3.397,2.894,3.273,3.336,8.407,3.423,9.21537,10.011,3677.6,14.543444481086995,19.1,19.8,9.21,10.0,14.4711,14.4711
698.262786,1723805235.632817,0,0,313.305,0.000196398,74.088,5.3844601239443216e-05,0.00018887279666845978,0.004,313.3,0.013794,-3.774,0.013764086879204105,-0.0009079363313148226,5.0,63.488,1.59043e-05,5.268,1.583712234177916e-05,1.4602446444069866e-06,0.004,63.49,5.78354e-06,14.736,5.5933085023392824e-06,1.4711338923629935e-06,5.0,4559400.180385,0.0112938666716218,-7.420072505306094,34.892,35.945,3.514,3.062,3.273,3.337,8.405,3.423,9.21679,9.98308,3678.4,14.54580238907031,18.9,22.0,9.21,10.0,14.4738,14.4738
699.391451,1723805236.761482,0,0,313.292,0.000196517,74.094,5.385743536295742e-05,0.0001889928780275195,0.004,313.3,0.013794,-3.774,0.013764086879204105,-0.0009079363313148226,5.0,63.4899,1.59201e-05,5.244,1.5853466487385198e-05,1.45505475613614e-06,0.004,63.49,5.78913e-06,14.706,5.5994848976529185e-06,1.4696241144785583e-06,5.0,4559401.51154,0.0112938666716218,-7.162351129252638,34.892,35.951,3.388,3.054,3.273,3.336,8.404,3.423,9.24201,9.99282,3679.0,14.547568176485711,18.9,20.7,9.21,10.0,14.4765,14.4765
700.601375,1723805237.971406,0,0,313.305,0.000196547,74.088,5.388545117470058e-05,0.00018901608757113494,0.004,313.3,0.0137959,-3.774,0.013765982758939532,-0.0009080613914155546,5.0,63.4899,1.59285e-05,5.262,1.5861373186352378e-05,1.4608055631266416e-06,0.004,63.49,5.78727e-06,14.646,5.5992212518236885e-06,1.4632892489272144e-06,5.0,4559402.611464,0.011687621474266052,-7.8066545659736395,34.886,35.946,3.353,2.862,3.273,3.336,8.403,3.423,9.20074,10.0152,3679.6,14.549341240831708,19.6,20.0,9.21,10.0,14.4787,14.4787
701.727342,1723805239.097373,0,0,313.305,0.000196577,74.07,5.3953063552226385e-05,0.0001890279975620792,0.004,313.3,0.0137959,-3.774,0.013765982758939532,-0.0009080613914155546,5.0,63.488,1.59211e-05,5.226,1.5854918667142037e-05,1.4501652555177779e-06,0.004,63.49,5.7854e-06,14.646,5.597412014697908e-06,1.4628164265264114e-06,5.0,4559403.641711,0.0112938666716218,-7.35564216146355,34.887,35.955,3.494,3.03,3.273,3.337,8.4,3.423,9.19748,9.99768,3680.4,14.551699661360733,19.2,21.9,9.21,10.0,14.4787,14.4787
