# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x000001D8C4489900> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 193.194 uV, 74.232 deg, (97% from 200uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 313.305 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 13790.200 uV, -3.798 deg, (28% from 50mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 313.3 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 15.772 uV, 5.436 deg, (79% from 20uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.4899 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 5.722 uV, 14.472 deg, (11% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.49 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = 14.338 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.012
#                     mid_setting              = 15.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = False
#                     level_gauge              = 0.0
#                     output_value             = 14.34
#                     output_voltages          = 1.7
#                     ramp_status              = ........ RAMP STATUS: RAMPING FROM 0.0000 TO 14.9997 TESLA AT 0.0120 A/SEC;MY-STR=[RAMP]
#                     current_direction        = Direction.Positive
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 3.275
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 8.399
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 10.000 K
#                 Sample actual T = 10.018 K
#                 VTI Target T    = 9.210 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
73795.718372,1723878333.088403,0,0,313.305,6.25406e-05,91.2,-1.309751504957086e-06,6.252688381292691e-05,0.004,313.3,0.013815,-4.278,0.013776509334694728,-0.00103054138736346,5.0,63.488,1.6559e-05,5.43,1.6484692367415865e-05,1.5669711393835946e-06,0.004,63.49,5.71835e-06,12.024,5.5928918317461996e-06,1.1912546666799015e-06,5.0,4632497.698455,0.010964827612042427,-7.516718020856569,35.243,36.003,3.327,2.982,3.249,3.325,8.203,3.411,22.0975,22.9877,3848.1,15.03720792813421,39.8,34.8,22.093,23.0,14.9702,14.9702
73797.178281,1723878334.548312,0,0,313.305,6.25555e-05,91.212,-1.3231622380715198e-06,6.254150479435029e-05,0.004,313.3,0.0138169,-4.278,0.013778404041009308,-0.001030683119439898,5.0,63.4899,1.65469e-05,5.478,1.6471329101683526e-05,1.579625662628137e-06,0.004,63.49,5.70345e-06,11.97,5.5794360593682424e-06,1.1828927093871936e-06,5.0,4632499.418353,0.010964827612042427,-8.12880628007575,35.244,36.0,3.472,2.979,3.248,3.324,8.021,3.41,22.095,23.0157,3848.4,15.038068867981156,40.1,25.3,22.093,23.0,14.9708,14.9708
73798.728178,1723878336.098209,0,0,313.305,6.2604e-05,91.218,-1.3307425025680644e-06,6.258985493186463e-05,0.004,313.3,0.013815,-4.266,0.01377672486862394,-0.0010276560194143866,5.0,63.4899,1.65264e-05,5.412,1.645272915563453e-05,1.5587175149248598e-06,0.004,63.49,5.69972e-06,12.288,5.569140383670882e-06,1.2130471818384286e-06,5.0,4632500.718266,0.011358554475009441,-7.516718020856569,35.237,36.002,3.484,3.076,3.246,3.323,7.919,3.41,22.0963,23.06,3848.7,15.038929404569915,39.9,31.1,22.093,23.0,14.9713,14.9713
73799.758124,1723878337.128155,0,0,313.305,6.26338e-05,91.218,-1.3313759465425154e-06,6.261964819870012e-05,0.004,313.3,0.013815,-4.266,0.01377672486862394,-0.0010276560194143866,5.0,63.488,1.65376e-05,5.4,1.6464205545819894e-05,1.5563256423362622e-06,0.004,63.49,5.70159e-06,12.318,5.570331420258443e-06,1.216361951304608e-06,5.0,4632501.748213,0.010964827612042427,-7.581148364414737,35.23,35.998,3.296,2.89,3.245,3.32,7.813,3.41,22.0959,22.9639,3849.0,15.039790121513473,40.3,34.9,22.093,23.0,14.9719,14.9719
73801.058325,1723878338.428356,0,0,313.305,6.26598e-05,91.218,-1.3319286157819692e-06,6.264564232412707e-05,0.004,313.3,0.013815,-4.278,0.013776509334694728,-0.00103054138736346,5.0,63.4899,1.65618e-05,5.394,1.6488461271486924e-05,1.5568764044316065e-06,0.004,63.49,5.71462e-06,12.186,5.585855333399739e-06,1.2062760624043286e-06,5.0,4632503.128407,0.010964827612042427,-6.61469319907818,35.237,36.001,3.488,3.034,3.243,3.318,7.599,3.41,22.09,23.0211,3849.3,15.04065056880205,41.0,31.3,22.134,23.042,14.9719,14.9719
73802.748221,1723878340.118252,0,0,313.305,6.2671e-05,91.242,-1.358412206725879e-06,6.26562762800074e-05,0.004,313.3,0.013815,-4.266,0.01377672486862394,-0.0010276560194143866,5.0,63.488,1.65767e-05,5.388,1.6503458383420567e-05,1.5565488353101433e-06,0.004,63.49,5.70717e-06,12.12,5.579957217843472e-06,1.198276619122871e-06,5.0,4632504.818303,0.011358554475009441,-7.452287677184691,35.231,36.002,3.404,3.062,3.24,3.315,7.493,3.41,22.0988,23.0426,3849.4,15.040936243722347,41.0,31.6,22.134,23.042,14.9719,14.9719
73804.108127,1723878341.478158,0,0,313.305,6.26822e-05,91.254,-1.371779985087363e-06,6.266718771823507e-05,0.004,313.3,0.013815,-4.266,0.01377672486862394,-0.0010276560194143866,5.0,63.4899,1.65618e-05,5.418,1.648780768211303e-05,1.5637829381517533e-06,0.004,63.49,5.71462e-06,12.138,5.586863940568275e-06,1.2015960444250478e-06,5.0,4632506.348204,0.011358554475009441,-7.8388697375113905,35.237,35.995,3.422,2.905,3.237,3.312,7.294,3.41,22.103,22.9891,3849.7,15.041795621317716,41.0,30.0,22.134,23.042,14.973,14.973
73805.728036,1723878343.098067,0,0,313.305,6.26934e-05,91.272,-1.3917160208867e-06,6.267795090841123e-05,0.004,313.3,0.0138169,-4.266,0.013778619604581262,-0.0010277973546613565,5.0,63.488,1.65544e-05,5.436,1.6479948872059497e-05,1.5682616281427308e-06,0.004,63.49,5.69414e-06,12.354,5.5622885675026664e-06,1.2182677174698216e-06,5.0,4632507.718123,0.010964827612042427,-7.71000905119016,35.229,35.996,3.507,3.056,3.235,3.309,7.196,3.41,22.1033,23.0883,3849.7,15.041795589554535,41.0,28.4,22.134,23.042,14.973,14.973
73806.80797,1723878344.178001,0,0,313.305,6.26934e-05,91.26,-1.3785887511178538e-06,6.267824101404962e-05,0.004,313.3,0.013815,-4.266,0.01377672486862394,-0.0010276560194143866,5.0,63.488,1.65609e-05,5.478,1.6485265162663137e-05,1.5809621521987994e-06,0.004,63.49,5.6811e-06,12.504,5.5463493892053336e-06,1.2300023019741132e-06,5.0,4632508.778063,0.010571099817752838,-7.871084909020781,35.235,35.99,3.336,2.998,3.232,3.307,7.105,3.41,22.1081,23.0258,3849.9,15.042368296612496,41.5,32.3,22.176,23.083,14.9719,14.9719
73808.067946,1723878345.437977,0,0,313.305,6.26673e-05,91.23,-1.345210053377549e-06,6.265286026353698e-05,0.004,313.3,0.013815,-4.266,0.01377672486862394,-0.0010276560194143866,5.0,63.488,1.65665e-05,5.514,1.648984264824616e-05,1.5918579352700141e-06,0.004,63.49,5.66806e-06,12.534,5.532975378392062e-06,1.2300762682481167e-06,5.0,4632510.308032,0.010964827612042427,-7.613363536151196,35.238,36.004,3.459,2.879,3.23,3.304,6.938,3.409,22.1204,23.0367,3850.0,15.04265360278104,41.4,31.1,22.176,23.083,14.9719,14.9719
73809.077884,1723878346.447915,0,0,313.305,6.26487e-05,91.218,-1.3316926685297407e-06,6.263454483211787e-05,0.004,313.3,0.0138169,-4.266,0.013778619604581262,-0.0010277973546613565,5.0,63.4899,1.65609e-05,5.508,1.6484435113089334e-05,1.5895935997441097e-06,0.004,63.49,5.67737e-06,12.372,5.545525010943056e-06,1.2164219949939267e-06,5.0,4632511.30797,0.010964827612042427,-7.999945594774878,35.239,36.001,3.485,3.043,3.228,3.302,6.859,3.409,22.119,23.1165,3850.0,15.042653750915367,41.4,29.6,22.176,23.083,14.973,14.973
73810.727909,1723878348.09794,0,0,313.305,6.263e-05,91.212,-1.3247380481399603e-06,6.261598812686589e-05,0.004,313.3,0.013815,-4.278,0.013776509334694728,-0.00103054138736346,5.0,63.4899,1.6532e-05,5.52,1.6455335846354637e-05,1.59026607323305e-06,0.004,63.49,5.69414e-06,12.354,5.5622885675026664e-06,1.2182677174698216e-06,5.0,4632512.698008,0.010571099817752838,-7.516718020856569,35.238,36.002,3.298,2.934,3.225,3.299,6.782,3.408,22.1256,23.0293,3850.3,15.04351188947696,41.3,33.3,22.176,23.083,14.973,14.973
73811.727848,1723878349.097879,0,0,313.305,6.26189e-05,91.212,-1.3245032630156691e-06,6.26048906102092e-05,0.004,313.3,0.013815,-4.278,0.013776509334694728,-0.00103054138736346,5.0,63.4899,1.65255e-05,5.478,1.645002683704326e-05,1.5775827428558387e-06,0.004,63.49,5.70531e-06,12.432,5.571533004700858e-06,1.228243531889758e-06,5.0,4632513.657949,0.010964827612042427,-7.8066545659736395,35.238,35.995,3.324,2.848,3.223,3.297,6.718,3.408,22.1291,23.012,3850.3,15.043511519173988,41.4,31.9,22.176,23.083,14.973,14.973
73813.11777,1723878350.487801,0,0,313.305,6.26189e-05,91.218,-1.33105922455529e-06,6.260475156528238e-05,0.004,313.3,0.0138169,-4.278,0.013778404041009308,-0.001030683119439898,5.0,63.488,1.65292e-05,5.514,1.64527152447041e-05,1.5882738166580218e-06,0.004,63.49,5.71462e-06,12.426,5.580753506286499e-06,1.2296633874646136e-06,5.0,4632515.327843,0.010964827612042427,-7.420072505306094,35.238,36.003,3.436,3.056,3.221,3.294,6.594,3.408,22.1387,23.1345,3850.3,15.043510503485843,41.9,32.3,22.217,23.125,14.9724,14.9724
73814.727687,1723878352.097718,0,0,313.305,6.26151e-05,91.23,-1.3440895333489808e-06,6.260067229140868e-05,0.004,313.3,0.013815,-4.266,0.01377672486862394,-0.0010276560194143866,5.0,63.4861,1.65218e-05,5.58,1.6443509834972188e-05,1.6065053834870975e-06,0.004,63.49,5.69414e-06,12.336,5.562671023099565e-06,1.216520212889383e-06,5.0,4632516.81777,0.010964827612042427,-7.8388697375113905,35.234,35.997,3.277,2.854,3.217,3.291,6.539,3.407,22.151,23.0304,3849.9,15.042363756395059,41.8,32.4,22.217,23.125,14.9724,14.9724
73816.077604,1723878353.447635,0,0,313.305,6.26002e-05,91.254,-1.3699854412012652e-06,6.258520735709755e-05,0.004,313.3,0.0138169,-4.266,0.013778619604581262,-0.0010277973546613565,5.0,63.488,1.65376e-05,5.544,1.6460242078538887e-05,1.5976997452267945e-06,0.004,63.49,5.69972e-06,12.306,5.568759018839598e-06,1.2147967189997853e-06,5.0,4632518.288123,0.010571099817752838,-8.096591108792998,35.238,35.999,3.488,3.046,3.215,3.288,6.441,3.406,22.1693,23.1379,3850.3,15.043507265979882,41.3,29.9,22.217,23.125,14.973,14.973
73817.697456,1723878355.067487,0,0,313.305,6.26189e-05,91.254,-1.3703946847460215e-06,6.26039028784789e-05,0.004,313.3,0.0138169,-4.26,0.013778727159718623,-0.0010263544553575851,5.0,63.488,1.65469e-05,5.514,1.6470333342363467e-05,1.5899745914417284e-06,0.004,63.49,5.72394e-06,12.354,5.591398529553403e-06,1.2246434613013045e-06,5.0,4632519.707542,0.010177371092140675,-7.9355152519545085,35.236,35.998,3.343,3.027,3.213,3.286,6.396,3.406,22.1735,23.0988,3850.4,15.043793100735853,42.4,35.2,22.258,23.167,14.973,14.973
73818.697394,1723878356.067425,0,0,313.305,6.26412e-05,91.254,-1.3708827131443142e-06,6.262619753766631e-05,0.004,313.3,0.0138188,-4.272,0.01378040661949077,-0.0010293817763565483,5.0,63.4861,1.65497e-05,5.442,1.647510573797768e-05,1.569541656807764e-06,0.004,63.49,5.71835e-06,12.45,5.583880223747078e-06,1.2328050816517124e-06,5.0,4632520.627485,0.009783642366528511,-8.354312478263006,35.231,35.996,3.28,2.843,3.21,3.283,6.358,3.406,22.1821,23.0661,3850.6,15.044364749168324,42.3,34.6,22.258,23.167,14.9724,14.9724
73820.087335,1723878357.457366,0,0,313.305,6.26487e-05,91.248,-1.3644878554699234e-06,6.263383897369116e-05,0.004,313.3,0.0138188,-4.266,0.013780514340538582,-0.0010279386899083262,5.0,63.4899,1.65683e-05,5.37,1.6495583439971815e-05,1.5505779132077065e-06,0.004,63.49,5.72208e-06,12.294,5.590860560873471e-06,1.218391445829124e-06,5.0,4632522.257417,0.010177371092140675,-7.291211817507162,35.236,36.002,3.474,3.03,3.208,3.28,6.302,3.405,22.1857,23.1683,3850.3,15.043505425045119,42.1,30.4,22.258,23.167,14.973,14.973
