# <TimeDevice> - No Info
# 
# <LpiCore.AutoCollectDevices.auto_arduino_rotator.AutoCollectArduinoRotator object at 0x000001D8C4489900> -- not implemented
# <SR830> at [GPIB0::1::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n42008,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 64.135 uV, 77.280 deg, (64% from 100uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 313.305 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::2::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n44906,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 13752.000 uV, -4.092 deg, (28% from 50mV)
#         RC            = 300 ms
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 313.3 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <SR830> at [GPIB0::3::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46596,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 9.458 uV, 169.980 deg, (47% from 20uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.488 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 0.004 V
#         
# <SR830> at [GPIB0::4::INSTR]
#         IDN           = Stanford_Research_Systems,SR830,s/n46594,ver1.07
#         Input         = A-B;ground;DC;no filters 
#         Input Signal  = 20.171 uV, 3.930 deg, (40% from 50uV)
#         RC            = 1 s
#         SyncFilter    = False
#         Dyn Reserve   = low noise
#         Harmonics     = 1, 63.49 Hz, Shift 0.000 deg
#         Offset x/y/R  = n/a / n/a / n/a  
#         SineOutput    = 5.000 V
#         
# <AutoRemoteClient>
#         RemoteHost                : 127.0.0.1
#         RemotePort                : 35001
#         RemoteMagnetFacility      : 
#                 Magnet Facility (SuperconductingMagnetFacility):
#                     Magnet Field             = -14.973 T
#                     Max Magnet Field         = 16.020 T
#                     Remote Control           = True 
#                     External Trip            = False
#                     TPA                      = 0.14601
#                     heater_voltage           = 2.8
#                     voltage_limit            = 5.0
#                     ramp_rate                = 0.012
#                     mid_setting              = 15.0
#                     units                    = Units.Tesla
#                     max_setting              = 16.02
#                     heater_status            = True 
#                     pause_status             = False
#                     level_gauge              = 0.0
#                     output_value             = -14.9735
#                     output_voltages          = 1.1
#                     ramp_status              = ........ RAMP STATUS: HOLDING ON TARGET AT -14.9997 TESLA;MY-STR=[HOLDING on TARGET=-14.9997]
#                     current_direction        = Direction.Negative
#                     filter_status            = None
#                     current_source_model     = SMS120C
#                     inner_magnet_temperature = 3.068
#                     persistent_status        = ------> Persistent Mode switched off
#                     switch_temperature       = 5.833
#              
#         RemoteTemperatureFacility : 
#             Temperature Facility (cfms16) (VtiForTroyanCfms16BasedOnLs350Facility):
#                 Sample Target T = 30.000 K
#                 Sample actual T = 30.007 K
#                 VTI Target T    = 29.030 K
#         
#         
time,abs_time,platform_position,is_rotating,F371y,V371y_R,V371y_theta,V371y_X,V371y_Y,Vout371y,F371x,V371x_R,V371x_theta,V371x_X,V371x_Y,Vout371x,F370y,V370y_R,V370y_theta,V370y_X,V370y_Y,Vout370y,F370x,V370x_R,V370x_theta,V370x_X,V370x_Y,Vout370x,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
206179.571044,1724010716.941075,0,0,313.305,6.41462e-05,77.262,1.4143798016992485e-05,6.256746720216922e-05,0.004,313.3,0.0137463,-4.08,0.013711462469823243,-0.0009780391754059103,5.0,63.488,9.46788e-06,169.776,-9.317542795595875e-06,1.6805201416940505e-06,0.004,63.49,2.01782e-05,3.948,2.013031608978097e-05,1.3892909578289997e-06,5.0,4764884.364677,0.009855407290160656,-7.903300080501818,35.524,36.031,3.387,2.945,3.069,3.151,5.837,3.304,29.0292,29.9848,-3820.9,-15.054953831158183,4.6,10.8,29.03,30.0,-14.973,-14.973
206182.96483,1724010720.334861,0,0,313.305,6.415e-05,77.274,1.4131530704880238e-05,6.257413475180482e-05,0.004,313.3,0.0137501,-4.092,0.013715047641926138,-0.0009811820369820552,5.0,63.488,9.46602e-06,169.764,-9.315360227411016e-06,1.682141038667384e-06,0.004,63.49,2.01707e-05,3.942,2.0122979209465457e-05,1.3866673088455635e-06,5.0,4764885.232329,0.008280076086521149,-7.96773042337886,35.525,36.039,3.335,2.99,3.069,3.151,5.834,3.304,29.0277,29.9922,-3821.0,-15.05524714974801,5.0,12.6,29.03,30.0,-14.973,-14.973
206184.601111,1724010721.971142,0,0,313.305,6.415e-05,77.274,1.4131530704880238e-05,6.257413475180482e-05,0.004,313.3,0.013752,-4.086,0.013717045486491653,-0.0009798811772449673,5.0,63.488,9.46602e-06,169.776,-9.31571232989502e-06,1.6801899973044353e-06,0.004,63.49,2.01726e-05,3.972,2.0124145830018226e-05,1.3973350965892202e-06,5.0,4764886.671203,0.00946158915758133,-7.8066545659736395,35.524,36.04,3.232,2.783,3.069,3.15,5.837,3.304,29.0319,29.9969,-3820.9,-15.054954574952692,4.8,6.8,29.03,30.0,-14.973,-14.973
206185.959695,1724010723.329726,0,0,313.305,6.415e-05,77.268,1.4138083375451517e-05,6.257265455827155e-05,0.004,313.3,0.0137501,-4.086,0.013715150315867428,-0.000979745795174231,5.0,63.488,9.46136e-06,169.638,-9.307054484052082e-06,1.7017843225526575e-06,0.004,63.49,2.01726e-05,3.972,2.0124145830018226e-05,1.3973350965892202e-06,5.0,4764888.282505,0.010227920487523079,-7.9355152519545085,35.53,36.042,3.413,2.986,3.069,3.151,5.836,3.304,29.0316,29.9976,-3820.9,-15.054954636935568,4.9,12.8,29.03,30.0,-14.9724,-14.9724
206187.039597,1724010724.409628,0,0,313.305,6.41537e-05,77.274,1.413234577368161e-05,6.257774386012254e-05,0.004,313.3,0.013752,-4.086,0.013717045486491653,-0.0009798811772449673,5.0,63.4899,9.46416e-06,169.584,-9.308200315651178e-06,1.7110614802838984e-06,0.004,63.49,2.01707e-05,3.984,2.0121957322837206e-05,1.4014178491507156e-06,5.0,4764889.472692,0.00865253247320652,-7.484502849034848,35.529,36.037,3.272,2.97,3.069,3.151,5.835,3.305,29.0275,30.0095,-3821.1,-15.05553889810406,4.9,8.5,29.03,30.0,-14.9724,-14.9724
206188.608841,1724010725.978872,0,0,313.305,6.415e-05,77.274,1.4131530704880238e-05,6.257413475180482e-05,0.004,313.3,0.0137482,-4.092,0.013713152485489483,-0.000981046456450258,5.0,63.4861,9.46509e-06,169.614,-9.310009711820394e-06,1.7063551429611403e-06,0.004,63.49,2.01707e-05,3.972,2.0122250393779117e-05,1.3972034855582417e-06,5.0,4764890.678924,0.009440227411687374,-7.903300080501818,35.525,36.044,3.264,2.787,3.069,3.151,5.838,3.305,29.0302,30.0051,-3821.0,-15.055246633229828,4.8,12.2,29.03,30.0,-14.9713,-14.9713
206189.643571,1724010727.013602,0,0,313.305,6.41425e-05,77.28,1.4123326478963791e-05,6.256829832605807e-05,0.004,313.3,0.0137501,-4.092,0.013715047641926138,-0.0009811820369820552,5.0,63.488,9.47161e-06,169.68,-9.318383637736472e-06,1.6967976815357828e-06,0.004,63.49,2.01707e-05,3.972,2.0122250393779117e-05,1.3972034855582417e-06,5.0,4764891.80366,0.009440227411687374,-7.387857333399049,35.53,36.037,3.393,2.964,3.069,3.151,5.838,3.305,29.0373,30.0054,-3820.9,-15.05495345926093,4.8,6.2,29.03,30.0,-14.9719,-14.9719
206190.743754,1724010728.113785,0,0,313.305,6.41425e-05,77.28,1.4123326478963791e-05,6.256829832605807e-05,0.004,313.3,0.013752,-4.086,0.013717045486491653,-0.0009798811772449673,5.0,63.488,9.46881e-06,169.746,-9.317576746412295e-06,1.6855641164953888e-06,0.004,63.49,2.01707e-05,3.972,2.0122250393779117e-05,1.3972034855582417e-06,5.0,4764892.646005,0.01062176562845707,-8.032160766142567,35.534,36.043,3.342,2.995,3.069,3.151,5.836,3.305,29.0292,30.0008,-3821.0,-15.055246901819283,4.8,8.0,29.03,30.0,-14.9691,-14.9691
206191.884611,1724010729.254642,0,0,313.305,6.41388e-05,77.28,1.4122511788111825e-05,6.256468913240632e-05,0.004,313.3,0.0137482,-4.086,0.013713255145243203,-0.0009796104131034947,5.0,63.4899,9.46323e-06,169.746,-9.31208586865205e-06,1.6845708081736412e-06,0.004,63.49,2.01707e-05,3.966,2.0122396598253128e-05,1.3950962807673748e-06,5.0,4764893.886078,0.00946158915758133,-7.8388697375113905,35.531,36.045,3.228,2.784,3.069,3.151,5.844,3.305,29.0271,30.0055,-3820.9,-15.0549555666787,4.9,8.2,29.03,30.0,-14.967,-14.967
206192.986402,1724010730.356433,0,0,313.305,6.41351e-05,77.274,1.4128248400788224e-05,6.25596007750659e-05,0.004,313.3,0.013752,-4.086,0.013717045486491653,-0.0009798811772449673,5.0,63.4899,9.46881e-06,169.734,-9.317223518334515e-06,1.6875155482229492e-06,0.004,63.49,2.01744e-05,3.954,2.0126379538210742e-05,1.3911369608676357e-06,5.0,4764895.273501,0.00946158915758133,-7.613363536151196,35.534,36.045,3.373,2.904,3.07,3.151,5.851,3.305,29.0293,29.9927,-3820.7,-15.05437169806009,5.0,11.3,29.03,30.0,-14.9653,-14.9653
